ticker,score,ret,zscore,price_prev,price_last,rank_type
ADBE,0.04120557410595005,0.04120557410595005,2.195642297496972,343.3999938964844,357.54998779296875,gainers
KO,0.040619501463006635,0.040619501463006635,3.498586789548796,68.44000244140625,71.22000122070312,gainers
CRM,0.03590532061759566,0.03590532061759566,1.5029347348917843,254.27999877929688,263.4100036621094,gainers
AMZN,0.025637486886977978,0.025637486886977978,1.5575735094694485,216.47999572753906,222.02999877929688,gainers
MRK,0.01506027637110563,0.01506027637110563,0.5936590582883541,86.31999969482422,87.62000274658203,gainers
UPS,0.013232008376795612,0.013232008376795612,1.0812687365408533,86.91000366210938,88.05999755859375,gainers
GE,0.013050126544909668,0.013050126544909668,1.0603840609699242,302.67999267578125,306.6300048828125,gainers
NKE,0.010943475801721059,0.010943475801721059,0.44966711138866344,67.62000274658203,68.36000061035156,gainers
QCOM,0.010716047754238511,0.010716047754238511,0.4369310008709541,167.0399932861328,168.8300018310547,gainers
MA,0.010011378084546108,0.010011378084546108,0.9235648639879304,566.3599853515625,572.030029296875,gainers
GOOGL,-0.023737990133977593,-0.023737990133977593,-1.5813609282559429,256.54998779296875,250.4600067138672,losers
AVGO,-0.018840873772358657,-0.018840873772358657,-0.6263744704245873,349.239990234375,342.6600036621094,losers
JPM,-0.017429518682984146,-0.017429518682984146,-1.3927220088298722,302.3599853515625,297.0899963378906,losers
WFC,-0.014647693048212895,-0.014647693048212895,-0.6180174213088734,86.0199966430664,84.76000213623047,losers
CAT,-0.012293324959067986,-0.012293324959067986,-0.6787829295394753,531.1799926757812,524.6500244140625,losers
VZ,-0.01225490218994485,-0.01225490218994485,-0.8621567014743267,40.79999923706055,40.29999923706055,losers
LLY,-0.011607513836765171,-0.011607513836765171,-0.4379024570068353,808.9600219726562,799.5700073242188,losers
TSLA,-0.010794954856246153,-0.010794954856246153,-0.32223346152789084,447.42999267578125,442.6000061035156,losers
AMD,-0.01051712173667041,-0.01051712173667041,-0.1617190230983277,240.55999755859375,238.02999877929688,losers
BAC,-0.009992322225507833,-0.009992322225507833,-0.5772462688666242,52.040000915527344,51.52000045776367,losers
KO,3.498586789548796,0.040619501463006635,3.498586789548796,68.44000244140625,71.22000122070312,surprises(|z|)
ADBE,2.195642297496972,0.04120557410595005,2.195642297496972,343.3999938964844,357.54998779296875,surprises(|z|)
GOOGL,1.5813609282559429,-0.023737990133977593,-1.5813609282559429,256.54998779296875,250.4600067138672,surprises(|z|)
AMZN,1.5575735094694485,0.025637486886977978,1.5575735094694485,216.47999572753906,222.02999877929688,surprises(|z|)
CRM,1.5029347348917843,0.03590532061759566,1.5029347348917843,254.27999877929688,263.4100036621094,surprises(|z|)
JNJ,1.4363366522368355,-0.009498225925542614,-1.4363366522368355,193.72000122070312,191.8800048828125,surprises(|z|)
JPM,1.3927220088298722,-0.017429518682984146,-1.3927220088298722,302.3599853515625,297.0899963378906,surprises(|z|)
UPS,1.0812687365408533,0.013232008376795612,1.0812687365408533,86.91000366210938,88.05999755859375,surprises(|z|)
GE,1.0603840609699242,0.013050126544909668,1.0603840609699242,302.67999267578125,306.6300048828125,surprises(|z|)
MA,0.9235648639879304,0.010011378084546108,0.9235648639879304,566.3599853515625,572.030029296875,surprises(|z|)
