fold,roc_auc,pr_auc,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,model
1,0.4424081563869229,0.6013330359537516,0.4458609760232906,0.0088430268540427,0.6084326649886169,0.03324321884373056,gbm_for_shap
2,0.45713437561844456,0.5557411803768343,0.4458609760232906,0.0088430268540427,0.6084326649886169,0.03324321884373056,gbm_for_shap
3,0.44496434937611407,0.6232182543312518,0.4458609760232906,0.0088430268540427,0.6084326649886169,0.03324321884373056,gbm_for_shap
4,0.4510306414423424,0.6174764737601849,0.4458609760232906,0.0088430268540427,0.6084326649886169,0.03324321884373056,gbm_for_shap
5,0.43376735729262894,0.6443943805210619,0.4458609760232906,0.0088430268540427,0.6084326649886169,0.03324321884373056,gbm_for_shap
