Date,SPY,SHY,VIX,RV,IV,VRP,VRP_pct,w_SPY,w_SHY,ret_gross,ret_net
2008-04-08,98.74698638916016,64.08203125,22.360000610351562,0.07793880593338806,0.04999696272949223,-0.02794184320389583,0.007936507936507936,0.0,1.0,0.0005971876073267435,0.0005971876073267435
2008-04-09,98.03247833251953,64.20462799072266,22.809999465942383,0.07594216645641129,0.05202960756362918,-0.023912558892782113,0.011904761904761904,0.0,1.0,0.0019131219521486553,0.0019131219521486553
2008-04-10,98.16960906982422,64.18160247802734,21.979999542236328,0.06218731336337846,0.04831203798767092,-0.013875275375707541,0.03042328042328042,0.0,1.0,-0.0003586269933475439,-0.0003586269933475439
2008-04-11,96.26422882080078,64.28884887695312,23.459999084472656,0.06622533565735905,0.055037155704345794,-0.011188179953013258,0.04497354497354497,0.0,1.0,0.001670983502827017,0.001670983502827017
2008-04-14,95.93944549560547,64.25056457519531,23.81999969482422,0.06642464241983397,0.05673923854614258,-0.009685403873691385,0.05026455026455026,0.0,1.0,-0.0005955045459141717,-0.0005955045459141717
2008-04-15,96.1632080078125,64.166259765625,22.780000686645508,0.06291219076201304,0.05189284312835698,-0.011019347633656064,0.047619047619047616,0.0,1.0,-0.0013121255840740087,-0.0013121255840740087
2008-04-16,98.76864624023438,64.02852630615234,20.530000686645508,0.06835870354633754,0.0421480928193665,-0.026210610726971034,0.009259259259259259,0.0,1.0,-0.002146509083991277,-0.002146509083991277
2008-04-17,98.9129867553711,63.91359329223633,20.3700008392334,0.04985691428800463,0.041493693419036935,-0.008363220868967694,0.05952380952380952,0.0,1.0,-0.0017950282561004505,-0.0017950282561004505
2008-04-18,99.94505310058594,63.875244140625,20.1299991607666,0.04124794397184031,0.04052168662124641,-0.0007262573505939021,0.12301587301587301,0.0,1.0,-0.0006000155778440597,-0.0006000155778440597
2008-04-21,99.99561309814453,63.81399917602539,20.5,0.03822243087781895,0.04202499999999999,0.0038025691221810418,0.25793650793650796,0.0,1.0,-0.0009588216127170979,-0.0009588216127170979
2008-04-22,99.55532836914062,63.836971282958984,20.8700008392334,0.03457006775801782,0.04355569350296028,0.008985625744942459,0.6574074074074074,0.0,1.0,0.00035998538299142346,0.00035998538299142346
2008-04-23,99.39653015136719,63.836971282958984,20.260000228881836,0.034659105478282985,0.041046760927429204,0.006387655449146219,0.4537037037037037,0.0,1.0,0.0,0.0
2008-04-24,99.82958984375,63.66081237792969,20.059999465942383,0.03240003964172209,0.04024035785736087,0.007840318215638777,0.5701058201058201,0.0,1.0,-0.0027595122620788226,-0.0027595122620788226
2008-04-25,100.75341796875,63.66848373413086,19.59000015258789,0.03269180849629386,0.03837681059783936,0.005685002101545496,0.38492063492063494,0.0,1.0,0.0001205035863449666,0.0001205035863449666
