t0,equity
2022-10-18,0.9998580109691588
2022-10-20,0.9968222749869954
2022-10-21,0.995166646634577
2022-10-24,0.9930073423637923
2022-10-25,0.9951941946329378
2022-10-26,0.9985961391275223
2022-10-27,0.9901306699062249
2022-10-28,0.9918427082922416
2022-10-31,0.9937950445012911
2022-11-01,0.9979548812704385
2022-11-02,1.002703227206868
2022-11-03,1.0029223126620244
2022-11-07,1.002452507979025
2022-11-08,1.0061857186999996
2022-11-09,0.9961405530524605
2022-11-10,0.9939868507469574
2022-11-11,0.995044778420546
2022-11-14,0.9937207296326486
2022-11-15,0.9946462123649066
2022-11-16,0.9932059000210431
2022-11-17,0.9927799307995543
2022-11-18,0.9951973913500156
2022-11-21,0.9935520185813522
2022-11-22,0.9928816819876498
2022-11-23,0.9928802192648197
2022-11-25,0.9963719870901371
2022-11-28,0.9991890301448294
2022-11-29,0.9929142051387484
2022-11-30,0.9926504947307464
2022-12-02,0.9937387204604281
2022-12-05,0.9971118128692525
2022-12-06,0.9990128474655724
2022-12-07,0.9964995537569342
2022-12-08,0.9972215624960925
2022-12-09,0.9938292728570257
2022-12-12,0.9924182313528843
2022-12-13,0.9956043920466092
2022-12-14,1.004191377343953
2022-12-15,1.0068884682060797
2022-12-16,1.009867538676878
2022-12-19,1.0099670071587827
2022-12-21,1.0142572684930755
2022-12-22,1.0147695050342034
2022-12-27,1.0217784233320755
2022-12-28,1.015854553589447
2022-12-29,1.0153442753623296
2023-01-03,1.01333410885861
2023-01-04,1.0154314675768468
2023-01-05,1.0088915781903993
2023-01-06,1.0081533677183447
2023-01-09,1.0073488798109123
2023-01-10,1.0036492398761987
2023-01-11,1.0037561672395117
2023-01-13,1.0037534608368113
2023-01-17,1.0048798126783005
2023-01-18,1.0047759595068033
2023-01-20,0.9998584514587068
2023-01-23,0.9977131567191313
2023-01-24,0.9988176577329415
2023-01-25,0.9951208001279801
2023-01-26,0.9917416179338613
2023-01-27,0.996358872628611
2023-01-30,0.9936889582559861
2023-01-31,0.9913799961388949
2023-02-01,0.9812899362510348
2023-02-02,0.9741664109148256
2023-02-03,0.9788527895937209
2023-02-06,0.9738538570218425
2023-02-07,0.9781612994116902
2023-02-08,0.9798313830093968
2023-02-09,0.9792359854946638
2023-02-13,0.9802315708124911
2023-02-14,0.9769079421960358
2023-02-15,0.9793211856273335
2023-02-16,0.9810730000871848
2023-02-17,0.9810687823252197
2023-02-21,0.9804158900827207
2023-02-23,0.9843897623203286
2023-02-24,0.9824846405638921
2023-02-27,0.9832797579118967
2023-02-28,0.9865111505297713
2023-03-01,0.9853871236411947
2023-03-02,0.976745425841089
2023-03-03,0.9722379003598994
2023-03-06,0.9758088113416078
2023-03-07,0.9736731766941532
