date,proba,pos_raw,pos_capped,rets_next,tc,pnl,equity
2020-10-13,0.3463240472207147,0.0,0.0,-0.014000410265100571,0.0,-0.0,1.0
2020-10-16,0.3192327993402973,0.0,0.0,-0.025541922670423434,0.0,-0.0,1.0
2020-10-19,0.6148379117310099,1.0,0.5,0.013191863065610265,0.00025,0.0063459315328051324,1.0063459315328052
2020-10-20,0.2971923923104767,0.0,0.0,-0.009583458021819036,0.00025,-0.00025,1.006094345049922
2020-10-22,0.37668997079341765,0.0,0.0,0.013472203966833796,0.0,0.0,1.006094345049922
2020-10-27,0.22506161751562295,0.0,0.0,-0.04631219881017401,0.0,-0.0,1.006094345049922
2020-10-28,0.7393721779697312,1.0,0.5,0.037050237343362546,0.00025,0.018275118671681273,1.0244808386006168
2020-10-29,0.2759580802960597,0.0,0.0,-0.05601787355003385,0.00025,-0.00025,1.0242247183909667
2020-10-30,0.7106279511736996,1.0,0.5,0.015353613727393967,0.00025,0.007426806863696983,1.0318314375594808
2020-11-03,0.6255075564238081,1.0,1.0,0.04083677866066693,0.00025,0.04058677866066693,1.0737101517308252
2020-11-04,0.5657342923856507,1.0,1.0,0.03549362519935961,0.0,0.03549362519935961,1.1118200174291066
2020-11-05,0.41086487474250133,0.0,0.5,-0.01996798520181431,0.00025,-0.010233992600907155,1.1004416595971966
2020-11-09,0.5965813835023991,1.0,1.0,0.030352648679771832,0.00025,0.030102648679771832,1.133567868268636
2020-11-11,0.371667284676399,0.0,0.5,0.008720200406843404,0.00025,0.004110100203421702,1.1382269457945993
2020-11-16,0.33941605467726643,0.0,0.0,-0.011391382145535256,0.00025,-0.00025,1.1379423890581506
2020-11-18,0.4425301909310764,0.0,0.0,-0.010957660294381721,0.0,-0.0,1.1379423890581506
2020-11-20,0.4106336972518501,0.0,0.0,-0.02974256712743284,0.0,-0.0,1.1379423890581506
2020-11-23,0.6356034046206027,1.0,0.5,0.011594123161080772,0.00025,0.0055470615805403856,1.1442546255653634
2020-11-24,0.5584061429412137,1.0,1.0,0.004826272087432137,0.00025,0.004576272087432137,1.1494910460692531
2020-11-27,0.5265716511727725,0.0,0.5,0.02109975339162906,0.00025,0.01029987669581453,1.1613306621067092
2020-11-30,0.6459156712050154,1.0,1.0,0.03082725978561096,0.00025,0.03057725978561096,1.1968409714589416
2020-12-01,0.6001382533604767,1.0,1.0,0.012269870672964034,0.0,0.012269870672964034,1.2115260553948475
2020-12-07,0.6509147000073464,1.0,1.0,-0.020903702286135917,0.0,-0.020903702286135917,1.186200675420977
2020-12-09,0.49510839351859387,0.0,0.5,0.01198893505142129,0.00025,0.005744467525710645,1.193014766679909
2020-12-10,0.5715994078681695,1.0,1.0,-0.005146568461833589,0.00025,-0.00539656846183359,1.1865765808155424
2020-12-14,0.5495787030967296,0.0,0.5,0.05009021261011681,0.00025,0.024795106305058406,1.2159978732759564
2020-12-15,0.6517722922669423,1.0,1.0,-0.01585071241176872,0.00025,-0.01610071241176872,1.196419441225018
2020-12-18,0.6184537143438523,1.0,1.0,0.012395192190356896,0.0,0.012395192190356896,1.2112492901392815
2020-12-21,0.6745236184477484,1.0,1.0,0.028464693679102204,0.0,0.028464693679102204,1.2457271301521262
2020-12-22,0.634957626065664,1.0,1.0,0.03576572117688803,0.0,0.03576572117688803,1.290281459351632
2020-12-28,0.23329860422500118,0.0,0.5,-0.013314845774648476,0.00025,-0.006907422887324238,1.2813689396682164
2020-12-29,0.4379099779377063,0.0,0.0,-0.007702572696521082,0.00025,-0.00025,1.2810485974332995
2020-12-31,0.5078110020227988,0.0,0.0,-0.024719466579931737,0.0,-0.0,1.2810485974332995
