Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,ret_SPY,ret_QQQ,ret_IWM,ret_EFA,ret_EEM,ret_TLT,ret_LQD,ret_GLD,port_ret,pnl
2010-01-05,85.50496673583984,40.39356994628906,51.28099822998047,35.159400939941406,30.571809768676758,57.352073669433594,59.04128646850586,109.69999694824219,0.0026436438853885136,0.0,-0.0034444055834650378,0.0008808427699764643,0.007232347017068097,0.0064369143419096275,0.004764221242891331,-0.0009112174071557178,0.0022002932833266597,2200.2932833266595
2010-01-06,85.56512451171875,40.149925231933594,51.23273468017578,35.30801773071289,30.63577651977539,56.584346771240234,58.8672981262207,111.51000213623047,0.0007033114663110851,-0.006050034381832603,-0.0009416017152146239,0.004218034771868329,0.0020901583697527926,-0.013476612915827246,-0.002951243442830709,0.016364952672509148,-5.3793969079785064e-06,-5.3793969079785064
2010-01-07,85.92633819580078,40.176025390625,51.610740661621094,35.17177963256836,30.45810317993164,56.67951202392578,58.940284729003906,110.81999969482422,0.004212620413389878,0.0006498562272256869,0.007351126212814307,-0.003866023255667095,-0.005816420290168711,0.0016804173209683526,0.001239081735699088,-0.006207031449164013,-9.454663561281329e-05,-94.54663561281329
2010-01-08,86.2122802734375,40.50667953491211,51.892250061035156,35.450439453125,30.699718475341797,56.65414810180664,59.0693359375,111.37000274658203,0.003322233478812109,0.008196452901598317,0.005439651387828537,0.007891603247446533,0.007901411329549024,-0.00044759734247534766,0.0021871311713521635,0.004950755381378791,0.004930205194436266,4930.205194436266
2010-01-11,86.33269500732422,40.34135818481445,51.68313217163086,35.74147415161133,30.63577651977539,56.34324645996094,59.13108825683594,112.8499984741211,0.001395749174837313,-0.004089686903589573,-0.004037989897632155,0.008176106105952208,-0.002084991039380313,-0.005502824690560182,0.0010448748449940481,0.013201473675457542,0.001012838908759861,1012.838908759861
2010-01-12,85.52754974365234,39.8366584777832,51.12016296386719,35.320396423339844,30.145421981811523,57.30766296386719,59.243324279785156,110.48999786376953,-0.009369836001283716,-0.012589644748733697,-0.010952466740740796,-0.011851155991627227,-0.016135423082582534,0.01697196544237034,0.001896289141829044,-0.021134489951311508,-0.007895595241510012,-7895.595241510012
2010-01-13,86.24992370605469,40.33266830444336,51.77964782714844,35.617618560791016,30.237794876098633,56.64142608642578,58.996421813964844,111.54000091552734,0.008410628078342697,0.012374212823915265,0.012818175037293766,0.008379819390055054,0.003059557643713795,-0.011693721729937323,-0.0041763084384154325,0.00945827937853938,0.0048288302729384,4828.8302729384
2010-01-14,86.4831771850586,40.367462158203125,51.97268295288086,35.890079498291016,30.159622192382812,57.43460464477539,59.209651947021484,112.02999877929688,0.0027007402701597627,0.0008622998678253779,0.0037210797486371128,0.00762050138444792,-0.0025886116050135577,0.013906362901210834,0.0036077734004074102,0.004383402504944733,0.004276693559077449,4276.693559077449
2010-01-15,85.51251220703125,39.89756393432617,51.21666717529297,35.32658767700195,29.81140899658203,57.789886474609375,59.18717575073242,110.86000061035156,-0.011287204775224602,-0.011708800586546886,-0.014653242879946404,-0.015825047795569702,-0.011612843807097484,0.006166795831520133,-0.00037967565510221846,-0.010498532177149578,-0.008724818980639593,-8724.818980639593
2010-01-19,86.58100891113281,40.54151153564453,52.157657623291016,35.6733512878418,30.41546058654785,57.62492752075195,59.23772048950195,111.5199966430664,0.012417788042645483,0.01601115761742644,0.018205999241835524,0.009768075102705165,0.020059878582781465,-0.002858542339131631,0.0008536168228712171,0.0059357674133195815,0.010049217560556656,10049.217560556655
