Date,port_ret,loss,VaR,ES,u,p_u,xi,beta,fit_method,breach
2010-01-05,0.00220018697581037,-0.00220018697581037,,,,,,,,0
2010-01-06,-5.172896628158341e-06,5.172896628158341e-06,,,,,,,,0
2010-01-07,-9.470334264066738e-05,9.470334264066738e-05,,,,,,,,0
2010-01-08,0.004930277262413296,-0.004930277262413296,,,,,,,,0
2010-01-11,0.0010126804099598874,-0.0010126804099598874,,,,,,,,0
2010-01-12,-0.007895610308171597,0.007895610308171597,,,,,,,,0
2010-01-13,0.00482891217680792,-0.00482891217680792,,,,,,,,0
2010-01-14,0.00427671994588108,-0.00427671994588108,,,,,,,,0
2010-01-15,-0.008724817465338042,0.008724817465338042,,,,,,,,0
2010-01-19,0.010049204921680488,-0.010049204921680488,,,,,,,,0
2010-01-20,-0.012938107258975262,0.012938107258975262,,,,,,,,0
2010-01-21,-0.013115684410567763,0.013115684410567763,,,,,,,,0
2010-01-22,-0.014701132878036594,0.014701132878036594,,,,,,,,0
2010-01-25,0.0034162963084526377,-0.0034162963084526377,,,,,,,,0
2010-01-26,-0.005190356362180348,0.005190356362180348,,,,,,,,0
2010-01-27,0.000715025656165158,-0.000715025656165158,,,,,,,,0
2010-01-28,-0.010154451625802308,0.010154451625802308,,,,,,,,0
2010-01-29,-0.00686422495841299,0.00686422495841299,,,,,,,,0
2010-02-01,0.011436935667020087,-0.011436935667020087,,,,,,,,0
2010-02-02,0.008719887530633408,-0.008719887530633408,,,,,,,,0
2010-02-03,-0.004903795997937832,0.004903795997937832,,,,,,,,0
2010-02-04,-0.025943167610579743,0.025943167610579743,,,,,,,,0
2010-02-05,0.0004340671210684155,-0.0004340671210684155,,,,,,,,0
2010-02-08,-0.007296125937860554,0.007296125937860554,,,,,,,,0
2010-02-09,0.012535061707628803,-0.012535061707628803,,,,,,,,0
2010-02-10,-0.00385407370142965,0.00385407370142965,,,,,,,,0
2010-02-11,0.011536341006013862,-0.011536341006013862,,,,,,,,0
2010-02-12,-0.0010544046216181546,0.0010544046216181546,,,,,,,,0
2010-02-16,0.015264552979639523,-0.015264552979639523,,,,,,,,0
2010-02-17,0.0004696307098073227,-0.0004696307098073227,,,,,,,,0
2010-02-18,0.00395615995184434,-0.00395615995184434,,,,,,,,0
2010-02-19,-0.0009531358621566732,0.0009531358621566732,,,,,,,,0
2010-02-22,-0.000361833187860483,0.000361833187860483,,,,,,,,0
2010-02-23,-0.008453273067486444,0.008453273067486444,,,,,,,,0
2010-02-24,0.005673603097263946,-0.005673603097263946,,,,,,,,0
2010-02-25,-0.00028164005460368235,0.00028164005460368235,,,,,,,,0
2010-02-26,0.004778338213279221,-0.004778338213279221,,,,,,,,0
2010-03-01,0.009142366590494888,-0.009142366590494888,,,,,,,,0
2010-03-02,0.0059310055130069594,-0.0059310055130069594,,,,,,,,0
2010-03-03,0.003235002071641513,-0.003235002071641513,,,,,,,,0
2010-03-04,-4.800629405898871e-05,4.800629405898871e-05,,,,,,,,0
2010-03-05,0.009964809233824312,-0.009964809233824312,,,,,,,,0
2010-03-08,-0.0009245832810210741,0.0009245832810210741,,,,,,,,0
2010-03-09,0.0014840265138633124,-0.0014840265138633124,,,,,,,,0
2010-03-10,0.002391187324655819,-0.002391187324655819,,,,,,,,0
2010-03-11,0.002434068068909001,-0.002434068068909001,,,,,,,,0
2010-03-12,0.0006790929366830567,-0.0006790929366830567,,,,,,,,0
2010-03-15,-0.0022144690691030533,0.0022144690691030533,,,,,,,,0
2010-03-16,0.009929252831158975,-0.009929252831158975,,,,,,,,0
2010-03-17,0.0038965296561506713,-0.0038965296561506713,,,,,,,,0
2010-03-18,-0.0015234700084899577,0.0015234700084899577,,,,,,,,0
2010-03-19,-0.008193506071228984,0.008193506071228984,,,,,,,,0
2010-03-22,0.00408043783205525,-0.00408043783205525,,,,,,,,0
2010-03-23,0.0050510899891274,-0.0050510899891274,,,,,,,,0
2010-03-24,-0.01217525908692113,0.01217525908692113,,,,,,,,0
2010-03-25,-0.002266838873445476,0.002266838873445476,,,,,,,,0
2010-03-26,0.004663377108231004,-0.004663377108231004,,,,,,,,0
2010-03-29,0.004952076717770704,-0.004952076717770704,,,,,,,,0
2010-03-30,0.0009261829082312656,-0.0009261829082312656,,,,,,,,0
2010-03-31,0.0002949226253117221,-0.0002949226253117221,,,,,,,,0
2010-04-01,0.008881449729069568,-0.008881449729069568,,,,,,,,0
2010-04-05,0.003208717547626694,-0.003208717547626694,,,,,,,,0
2010-04-06,0.0020639166630909145,-0.0020639166630909145,,,,,,,,0
2010-04-07,0.0004613080199105668,-0.0004613080199105668,,,,,,,,0
2010-04-08,0.0008847890717537665,-0.0008847890717537665,,,,,,,,0
2010-04-09,0.006183907811835587,-0.006183907811835587,,,,,,,,0
2010-04-12,0.0005247786316331382,-0.0005247786316331382,,,,,,,,0
2010-04-13,0.0011435560554035606,-0.0011435560554035606,,,,,,,,0
2010-04-14,0.008408351666400693,-0.008408351666400693,,,,,,,,0
2010-04-15,0.0012993444132514687,-0.0012993444132514687,,,,,,,,0
2010-04-16,-0.013174628441451286,0.013174628441451286,,,,,,,,0
2010-04-19,-0.0017773654431370023,0.0017773654431370023,,,,,,,,0
2010-04-20,0.006739599017429543,-0.006739599017429543,,,,,,,,0
2010-04-21,0.002521448167046747,-0.002521448167046747,,,,,,,,0
2010-04-22,0.0006044936673356149,-0.0006044936673356149,,,,,,,,0
2010-04-23,0.005292248037591263,-0.005292248037591263,,,,,,,,0
2010-04-26,-0.0013751980684362786,0.0013751980684362786,,,,,,,,0
