,final_wealth,ann_ret,ann_vol,sharpe,max_drawdown
path_0,1.0614516766887425,0.06145167668874252,0.10713103831899076,0.5736122570357762,-0.0816057909143153
path_1,1.1012467507447803,0.10124675074478029,0.10447795010156198,0.9690729062578212,-0.09262958680319111
path_2,0.9854787206983198,-0.014521279301680234,0.11877573755472025,-0.12225795941692426,-0.16488128430958637
path_3,1.1238658693955232,0.12386586939552324,0.12161293268688611,1.018525469774154,-0.11093179500652106
path_4,1.3052976146261035,0.3052976146261035,0.11108190946633537,2.7484008520633814,-0.07340774270090855
path_5,1.3308298560004523,0.33082985600045234,0.1075943623177015,3.0747880174575277,-0.08446348705417228
path_6,1.2372221589848322,0.23722215898483223,0.1201355204385937,1.9746213119881262,-0.09128002159834248
path_7,1.0933881987476015,0.09338819874760151,0.12186542623131932,0.7663223412548228,-0.08969518851530833
path_8,1.03389689639032,0.0338968963903199,0.11247898918286721,0.3013620289137793,-0.15041128095894696
path_9,1.3296084812338433,0.32960848123384334,0.12141836409469335,2.714650981269884,-0.06796250194414633
path_10,1.2522346246421097,0.25223462464210966,0.10356151055420518,2.4356020233027347,-0.07473380953392472
path_11,1.0069110025782582,0.006911002578258163,0.11502691493673384,0.06008161291693597,-0.10292305257825018
path_12,1.0762019618814727,0.07620196188147266,0.1193917868904085,0.6382512890222471,-0.1000196559144666
path_13,1.0460936802096201,0.046093680209620125,0.10800044779206217,0.4267915657013408,-0.08013952269277413
path_14,0.8305104700080191,-0.16948952999198086,0.12023421618804259,-1.409661370660948,-0.19286370087881222
path_15,1.1056252303254561,0.10562523032545612,0.11783683156161825,0.8963685540901823,-0.1035914063726634
path_16,1.0365694359331428,0.03656943593314277,0.10652648526554878,0.3432896133011676,-0.09476285507028559
path_17,1.0485477133579173,0.0485477133579173,0.11361662323174247,0.42729410518472377,-0.12781832214259292
path_18,1.1156835955584221,0.11568359555842211,0.09864770498784928,1.1726942413173342,-0.07197026974370979
path_19,0.9713948138890801,-0.02860518611091989,0.11943624521829117,-0.23950171958804278,-0.12285559648980493
path_20,1.1459564274409586,0.1459564274409586,0.11410403783148942,1.279152168624473,-0.08433713751715965
path_21,1.0974656492733421,0.09746564927334211,0.12011755444051041,0.8114188615254658,-0.1277204213276497
path_22,1.3490387671480517,0.3490387671480517,0.11076972110380515,3.151030477191132,-0.06336461464543097
path_23,1.0649199976118506,0.06491999761185063,0.10564413520406384,0.6145158695885027,-0.10134642551988637
path_24,1.0931133706069065,0.0931133706069065,0.12090854820217431,0.7701140406649265,-0.15136818713777522
path_25,1.0668188826444853,0.06681888264448532,0.1277368911842626,0.5230977678022395,-0.10377605625405717
path_26,1.1598673542599018,0.15986735425990184,0.10639129921422134,1.5026356049850018,-0.09966911590988126
path_27,0.9187121182989625,-0.08128788170103751,0.11061095934234753,-0.7348989845522147,-0.13669494538482263
path_28,1.2149477540900784,0.21494775409007838,0.11263440497039001,1.908366756557067,-0.05947365162864393
path_29,1.132161119108227,0.13216111910822703,0.11407221105333551,1.1585741863672117,-0.06967369257413158
path_30,1.018774370800809,0.018774370800809015,0.13502067376636365,0.13904811964792674,-0.10620176435111195
path_31,1.1606165738723317,0.16061657387233175,0.10926563205677763,1.4699642591082132,-0.08206483798878172
path_32,1.067747058332285,0.067747058332285,0.10881004153430976,0.6226177049194779,-0.0737503251279017
path_33,1.08288913378043,0.08288913378043006,0.1160360892252434,0.7143392571558479,-0.12238431980059772
path_34,1.0311992395029328,0.031199239502932796,0.1166796827813191,0.26739222081539565,-0.11645186616169911
path_35,0.9709095642480847,-0.029090435751915278,0.11715288685441161,-0.24831172780288874,-0.12156549817285789
path_36,1.2121434603244214,0.21214346032442144,0.11623319932133844,1.8251537560962199,-0.08752736529480121
path_37,1.1385264561235429,0.13852645612354286,0.12259920733172336,1.1299131465729977,-0.08382419718454714
path_38,1.0004254082906305,0.00042540829063053565,0.1201011103874999,0.003542084575721059,-0.0996692460674452
path_39,1.090530140037901,0.09053014003790105,0.11168509307434829,0.8105839154168545,-0.08184465581736522
path_40,1.0147337727978791,0.01473377279787913,0.11572427601634756,0.1273179086106168,-0.07154284095426378
path_41,1.1124773992487373,0.11247739924873734,0.12025013009868825,0.9353619755457071,-0.0971072177799277
path_42,1.0448298803011142,0.04482988030111423,0.09446199881122892,0.4745811105553824,-0.054236126045344
path_43,0.9944464460957487,-0.005553553904251274,0.11307900973900185,-0.049112155448384764,-0.12919596100149466
path_44,1.0700212169375087,0.07002121693750873,0.10720110240347087,0.6531762768070344,-0.0856719657759657
path_45,1.3461432412513061,0.34614324125130613,0.1169372084233841,2.9600778564685433,-0.05804798879879991
path_46,1.1545162631346393,0.1545162631346393,0.11801496933669547,1.309293761656676,-0.08726937245527144
path_47,1.4746908285751088,0.4746908285751088,0.11070488756781655,4.287894048799956,-0.0352013558071651
path_48,1.1079562246474752,0.10795622464747523,0.11138257141770018,0.9692380349401732,-0.08686240332984285
path_49,1.3175450436479992,0.3175450436479992,0.1192741082510262,2.662313290824936,-0.07110846836553975
path_50,1.2652256619573823,0.2652256619573823,0.10810024819801092,2.4535157539283294,-0.07178420281521247
path_51,1.1590527572115559,0.15905275721155587,0.11872254282831196,1.3397014031409904,-0.08746572594700386
path_52,0.9926161997770468,-0.007383800222953152,0.12243592368615436,-0.06030746533084838,-0.10255310991311972
path_53,1.0568737852969232,0.05687378529692322,0.1260005639760309,0.4513772280236962,-0.10946578021991582
path_54,1.1073908475154262,0.10739084751542616,0.10706369778142948,1.0030556550985616,-0.13516399297056536
