Date,px_SPY,ret_SPY,px_QQQ,ret_QQQ,px_IWM,ret_IWM,px_EFA,ret_EFA,px_EEM,ret_EEM,px_TLT,ret_TLT,px_LQD,ret_LQD,px_GLD,ret_GLD,mkt_tail
2014-12-18,170.76815795898438,0.024427914564299158,95.63433837890625,0.02378198907484297,102.32874298095703,0.014776141835702639,44.52500534057617,0.017685076644515796,30.198461532592773,0.013573621564914706,92.2430648803711,-0.01795368264264141,81.45439910888672,0.0010058079151482602,115.1500015258789,0.007671599736507773,0
2014-12-19,171.4947509765625,0.004245824424057076,96.05511474609375,0.004390195038465272,102.56165313720703,0.0022735107255957843,44.59004211425781,0.0014596139952951503,30.409854888916016,0.006975749402819975,93.48335266113281,0.013356271391383068,81.41340637207031,-0.0005033866277130983,114.7699966430664,-0.0033055430745703163,0
2014-12-22,172.28366088867188,0.004589650017211788,96.29448699951172,0.0024889303104034255,103.26033020019531,0.006789165426553723,44.80685806274414,0.004850646346228782,30.8326473236084,0.013807376782060565,93.6095962524414,0.0013495282553570576,81.67257690429688,0.0031783326217720287,112.55000305175781,-0.019532501975925598,0
2014-12-23,172.51614379882812,0.0013485097278245206,95.95381927490234,-0.003544042470733366,103.38975524902344,0.0012526011346105648,44.662315368652344,-0.003231120045082303,30.550790786743164,-0.009183536356336397,91.75288391113281,-0.020033983578235492,81.05201721191406,-0.007627153155214117,112.73999786376953,0.0016866692377108805,0
2014-12-24,172.53273010253906,9.61388659890261e-05,96.03668212890625,0.0008631974867832071,103.68843078613281,0.002884666414575854,44.86466598510742,0.004520446416753199,30.62125587463379,0.002303833953691381,92.25223541259766,0.005427596027300474,81.3132095336914,0.0032173458851945114,112.7699966430664,0.0002660527710922622,0
2014-12-26,173.08909606933594,0.003219509910768359,96.71806335449219,0.007069958895931094,104.36376953125,0.006492035325912582,44.98030090332031,0.002574100387975342,30.863964080810547,0.00789488813744832,92.5946044921875,0.0037043583896032573,81.374755859375,0.0007566180875269168,114.83000183105469,0.018102473257656015,0
2014-12-29,173.32167053222656,0.0013427671438570599,96.69963836669922,-0.00019052018181131558,104.80534362792969,0.004222179326553999,44.65507888793945,-0.007256586478836091,30.676055908203125,-0.006106879933663212,93.28680419921875,0.007447790627051809,81.53199768066406,0.0019304524423233715,113.66999816894531,-0.010153292143779247,0
2014-12-30,172.39163208007812,-0.005380416019576728,96.05511474609375,-0.006687524040573045,104.19060516357422,-0.0058827957266940345,44.2431526184082,-0.009267433350443444,30.738698959350586,0.002040000745983317,93.53984069824219,0.002708785504165867,81.6004409790039,0.000839113335374897,115.19999694824219,0.01337022418073186,0
2014-12-31,170.68092346191406,-0.009972950440901407,95.06989288330078,-0.01030980301079154,103.56723022460938,-0.006000994461111908,43.96852493286133,-0.006226580889362232,30.762187957763672,0.0007638588883067676,93.71846008300781,0.0019077332026764537,81.65510559082031,0.0006696815515052634,113.58000183105469,-0.01416227120027358,0
2015-01-02,170.589599609375,-0.0005351991956237256,94.78441619873047,-0.003007325997550936,102.96983337402344,-0.005784903747271031,43.78062438964844,-0.0042826815270466945,30.35504722595215,-0.013323467704704939,94.7604751586914,0.01105721115082936,81.94232940673828,0.003511352253597444,114.08000183105469,0.0043925221460412445,0
2015-01-05,167.5088348388672,-0.01822457441569103,93.3940658569336,-0.014777201164718257,101.59320068359375,-0.013459454968698381,42.7471809387207,-0.02388810372222716,29.814817428588867,-0.017957305288244907,96.24900817871094,0.015586274861780325,82.2773666381836,0.0040803594740435045,115.80000305175781,0.014964618775983318,1
2015-01-06,165.93109130859375,-0.009463505606182032,92.14183807373047,-0.013498700479683379,99.83562469482422,-0.01745153000737698,42.26298522949219,-0.011391600961573989,29.689531326293945,-0.0042109960045828565,97.98313903808594,0.0178567447583573,82.61251068115234,0.004065070699703632,117.12000274658203,0.011334482171420746,0
2015-01-07,167.99876403808594,0.012384032885417007,93.32962799072266,0.012808505599310571,101.0650634765625,0.012239421783346138,42.73272705078125,0.011053418845631935,30.331560134887695,0.02139425597184008,97.7896499633789,-0.001976670391164781,82.72187805175781,0.0013229841341013682,116.43000030517578,-0.005908836993975264,0
2015-01-08,170.97994995117188,0.017589675420562223,95.11591339111328,0.018958675178916806,102.77935791015625,0.01682003204363003,43.310874938964844,0.013438688660957432,30.84830665588379,0.01689310019788337,96.49459838867188,-0.013331711313878891,82.4551773071289,-0.0032292738942096832,115.94000244140625,-0.004217399700950253,0
2015-01-09,169.6097869873047,-0.008045869894674595,94.48977661132812,-0.006604644152311323,101.79231262207031,-0.009649947571918283,43.10129928588867,-0.004850614299940936,30.746524810791016,-0.003304885663614421,97.55145263671875,0.010892926628530475,82.67404174804688,0.002650827882933804,117.26000213623047,0.011320872784881253,0
2015-01-12,168.2810821533203,-0.007864738613259092,93.50456237792969,-0.010481414050216742,101.45468139648438,-0.003322376675590988,43.000125885009766,-0.0023500992519660535,30.495986938476562,-0.008181874413853762,98.10964965820312,0.005705769100916136,82.8313217163086,0.0019006032471047263,118.55999755859375,0.011025431201653113,0
2015-01-13,167.80780029296875,-0.002816410764633126,93.47693634033203,-0.0002954948803814972,101.53256225585938,0.0007673473642499928,43.2169189453125,0.0050290175832161665,30.762187957763672,0.008691172905277433,98.10964965820312,0.0,82.9065170288086,0.0009074007267004802,118.16000366210938,-0.0033794717396933294,0
2015-01-14,166.794677734375,-0.006055697259760073,92.9612808227539,-0.005531664487205212,101.12567138671875,-0.004015542902674696,43.09407424926758,-0.002846561589621821,30.58993148803711,-0.005615353598791284,98.85393524169922,0.007557631798119857,83.05013275146484,0.0017307623249438464,117.97000122070312,-0.0016093040146012427,0
2015-01-15,165.2667236328125,-0.00920290572306559,91.75509643554688,-0.013060038849031841,99.42003631591797,-0.017010348588818225,43.36870193481445,0.006352528133094726,30.660398483276367,0.00230095172914746,100.40947723388672,0.015613238503640936,83.48094177246094,0.005173929049265169,120.94000244140625,0.024864209830663953,0
2015-01-16,167.4341278076172,0.013029331470038485,92.83238220214844,0.01167249269500914,101.0390625,0.016153533551376498,43.932395935058594,0.012913968963549127,30.918773651123047,0.008391690733444257,99.12932586669922,-0.012831278038203386,83.01593017578125,-0.005585844350493474,122.5199966430664,0.012979679533520638,0
2015-01-20,167.7911834716797,0.0021302436723793505,93.56900024414062,0.007903609585404148,100.6148452758789,-0.004207385362318128,44.084163665771484,0.0034486210734767653,30.87180519104004,-0.0015202469376087713,100.44667053222656,0.013201625664388317,83.20738983154297,0.0023036447644386726,124.19999694824219,0.013618890362550928,0
2015-01-21,168.63821411132812,0.005035424582236381,94.04779815673828,0.005104009407526533,100.29449462890625,-0.0031890097156841435,44.431053161621094,0.007838003095749446,31.552968978881836,0.02182437448592145,99.28556823730469,-0.01162671967151585,83.17320251464844,-0.00041095318743167297,124.2300033569336,0.00024156831945010282,0
2015-01-22,171.14598083496094,0.014761206060851961,95.78807830810547,0.018335089623734646,102.33777618408203,0.02016806903866719,44.59727096557617,0.003734047534138085,32.15584182739258,0.018926451053092208,98.92832946777344,-0.003604582327151995,83.13215637207031,-0.0004936238217014832,125.2300033569336,0.00801736013457699,0
2015-01-23,170.20762634277344,-0.00549785815089443,95.9998550415039,0.0022084477972468264,102.26856231689453,-0.0006765564579742644,44.34431838989258,-0.005688075950136984,31.913122177124023,-0.007576860816345121,100.30531311035156,0.013823022561799014,83.61769104003906,0.005823526050345862,124.2300033569336,-0.00801736013457699,0
2015-01-26,170.60623168945312,0.0023391392047900084,95.88936614990234,-0.0011515905179670938,103.25554656982422,0.009604633204560287,44.951385498046875,0.013596991444865925,31.92878532409668,0.0004906854415844819,100.0000991821289,-0.0030474879429789326,83.59719848632812,-0.0002451044147031567,122.98999786376953,-0.010031679362329626,0
2015-01-27,168.3558349609375,-0.01327835775553421,93.40328979492188,-0.026268523706197477,102.76202392578125,-0.0047910824974914945,45.01642990112305,0.0014459485121496307,31.75653839111328,-0.005409326448917895,100.15640258789062,0.001561812243433991,83.65869903564453,0.0007354066792180092,124.4000015258789,0.011399158685806654,0
2015-01-28,166.19679260253906,-0.012907220894290639,92.92446899414062,-0.005139565439977289,101.03042602539062,-0.016994148453982838,44.34431838989258,-0.015042939957015555,31.412038803100586,-0.010907416908350509,101.79379272460938,0.016216137004735565,84.22627258300781,0.006761483225493414,123.41999816894531,-0.007909034514029578,0
