Date,AdjClose,simple_return,log_return
2015-09-30,24.787229537963867,,
2015-10-05,24.895099639892578,0.0043518418128778436,0.004342399932431243
2015-10-15,25.137802124023438,0.009749006336248867,0.009701791391823374
2015-10-20,25.567028045654297,0.01707491846396003,0.01693078049279314
2015-10-30,26.854707717895508,0.050364855467042835,0.04913758520893667
2015-11-04,27.41651725769043,0.020920337160122537,0.020704511809503095
2015-11-09,27.211143493652344,-0.007490877200329926,-0.007519074725332491
2015-11-19,26.807165145874023,-0.014846062895980783,-0.014957368696824708
2015-11-24,26.829729080200195,0.0008417128108617611,0.0008413587692874003
2015-12-04,26.863584518432617,0.001261862843684236,0.001261067363886712
2015-12-09,26.0939884185791,-0.02864830266137608,-0.029066675097191953
2015-12-14,25.385330200195312,-0.027157911125583967,-0.027533503004671212
2015-12-24,24.381023406982422,-0.03956248688879227,-0.04036635551529926
2015-12-29,24.541259765625,0.006572175251539525,0.006550672668847271
2016-01-08,21.882658004760742,-0.1083319188279066,-0.11466132196017186
2016-01-13,21.97970962524414,0.004435092869535584,0.004425286828266779
2016-01-28,21.234935760498047,-0.033884608916339154,-0.03447199943593915
2016-02-02,21.322954177856445,0.0041449815695762116,0.004136414798051308
2016-02-12,21.327470779418945,0.00021181875291897967,0.00021179632249433608
2016-02-17,22.264617919921875,0.0439408474729821,0.04300282834659855
2016-02-22,21.98324966430664,-0.012637461672471484,-0.012717993589957087
2016-03-03,23.03158187866211,0.04768777275261571,0.046585614747084496
2016-03-08,22.9249324798584,-0.004630572027817026,-0.004641326338385181
2016-03-18,24.034530639648438,0.0484013708989075,0.04726650007681587
2016-03-23,24.082185745239258,0.0019827766269004954,0.0019808135198313005
2016-03-28,23.86888885498047,-0.008857040324961152,-0.008896497059321377
2016-04-07,24.629043579101562,0.03184709303979516,0.03135049042264215
2016-04-12,25.0601749420166,0.017504998175441377,0.017353550534284126
2016-04-22,23.980070114135742,-0.043100450431011406,-0.04405685691603098
2016-04-27,22.196542739868164,-0.0743754028148661,-0.07728652914165789
2016-05-02,21.24806022644043,-0.04273109215896598,-0.04367093657009719
2016-05-12,20.624052047729492,-0.029367771554715483,-0.029807637899926
2016-05-17,21.343172073364258,0.03486802806599454,0.034273909472372965
2016-05-27,22.909273147583008,0.07337714697869147,0.07080989022156965
2016-06-01,22.477794647216797,-0.018834229160680893,-0.019013852204954152
2016-06-06,22.5166072845459,0.0017267102017015645,0.0017252211515002634
2016-06-16,22.270048141479492,-0.010950101849297234,-0.0110104954969517
2016-06-21,21.895647048950195,-0.01681186722860961,-0.016954790807843456
2016-07-01,21.89107894897461,-0.00020863050840080888,-0.00020865227477279881
2016-07-06,21.808897018432617,-0.0037541288272519013,-0.0037611932549344563
2016-07-11,22.139928817749023,0.015178750169557942,0.01506470552989825
2016-07-21,22.699241638183594,0.02526262957025338,0.024948803741594777
2016-07-26,22.069149017333984,-0.02775831152833308,-0.0281508547391422
2016-08-05,24.669931411743164,0.11784697236700992,0.11140448912747886
2016-08-10,24.789278030395508,0.004837736135558712,0.004826071893988462
2016-08-15,25.128995895385742,0.013704225858199193,0.013611172143901572
2016-08-25,24.690582275390625,-0.017446523602465902,-0.017600507816577172
2016-08-30,24.330224990844727,-0.01459492856533684,-0.014702482310864818
2016-09-09,23.671464920043945,-0.02707579034097163,-0.027449093294498936
2016-09-14,25.654611587524414,0.08377794421169216,0.08045303351993288
2016-09-19,26.070056915283203,0.016193787473314014,0.016064066670629512
2016-09-29,25.748722076416016,-0.01232582038126695,-0.01240241333673022
2016-10-04,25.93692970275879,0.007309396784206168,0.007282812607793553
2016-10-14,26.99966049194336,0.040973654220589184,0.04015648116712785
2016-10-19,26.882593154907227,-0.0043358818186275405,-0.004345309014206314
2016-10-24,27.004247665405273,0.004525400871747465,0.004515192033027206
2016-11-03,25.33875274658203,-0.06167529417814077,-0.0636592216247372
2016-11-08,25.622529983520508,0.011199337227707717,0.011137088978781197
2016-11-18,25.391817092895508,-0.009004297810301543,-0.009045081503431637
2016-11-23,25.661746978759766,0.01063058562830399,0.010574478238899971
2016-11-28,25.74018669128418,0.003056678588146733,0.0030520164441854816
2016-12-08,25.867076873779297,0.004929652765031545,0.004917541812392502
2016-12-13,26.57535743713379,0.02738154631118972,0.027013377347175432
2016-12-23,26.88219451904297,0.01154592492819817,0.011479779391031024
2016-12-28,26.93756103515625,0.002059598076119107,0.002057480011743802
2017-01-12,27.512027740478516,0.02132586185410501,0.02110164776647837
2017-01-17,27.68506622314453,0.006289557581807159,0.006269860860485547
2017-01-27,28.13494300842285,0.01624979986149455,0.01611918494160516
2017-02-01,29.70376205444336,0.05576051977609642,0.054261379050420125
2017-02-06,30.059053421020508,0.011961157173490111,0.011890187889022515
2017-02-16,31.36184310913086,0.04334100844304367,0.042428072192080085
2017-02-21,31.674633026123047,0.009973582097957845,0.009924174172429493
2017-03-03,32.38829803466797,0.022531121606250037,0.022281045250359052
2017-03-08,32.20756149291992,-0.005580303773745299,-0.005595931835520792
2017-03-13,32.25390625,0.0014389402653245398,0.0014379059828425436
2017-03-23,32.65244674682617,0.012356348212122947,0.012280631623863418
2017-03-28,33.31976318359375,0.02043695046627536,0.020230918376533635
2017-04-07,33.21318435668945,-0.0031986669988330885,-0.0032037936693781162
2017-04-12,32.856346130371094,-0.010743872749030436,-0.010802004901092588
2017-04-17,32.863311767578125,0.00021200279481448092,0.0002119803253976397
2017-04-27,33.31745529174805,0.013819164890678026,0.013724550892700626
2017-05-02,34.179412841796875,0.025871049949673486,0.02554205653963465
