Date,KO,PEP,beta,spread,z,pos_X,pos_Y,ret_X,ret_Y,ret_gross,ret_net,tc,adf_p
2018-01-30,37.20969772338867,94.77174377441406,0.4263860324926943,-3.1996500969979422,-0.3216554237530376,0.0,0.0,-0.006079399940615238,0.0018385166825467536,0.0,0.0,0.0,0.43903632020405325
2018-01-31,37.350955963134766,95.09586334228516,0.4249637808883184,-3.061341669641571,-0.19076351986087645,0.0,0.0,0.0037962748527597956,0.0034200021542560854,0.0,0.0,0.0,0.41892821545020476
2018-02-01,37.24109649658203,95.09586334228516,0.4249637808883184,-3.1712011361943055,-0.3037515145640182,0.0,0.0,-0.002941275898297402,0.0,0.0,0.0,0.0,0.41892821545020476
2018-02-02,36.67599105834961,93.8073501586914,0.4249637808883184,-3.188735140202283,-0.3264368373407643,0.0,0.0,-0.015174242742403865,-0.013549623909043351,-0.0,-0.0,0.0,0.41892821545020476
2018-02-05,35.23188018798828,90.4793930053711,0.4249637808883184,-3.218584756054284,-0.36453009734225117,0.0,0.0,-0.03937482883731269,-0.035476507413230385,-0.0,-0.0,0.0,0.41892821545020476
2018-02-06,35.059207916259766,89.7679443359375,0.4249637808883184,-3.088917111312341,-0.24404255864862115,0.0,0.0,-0.004901023470992194,-0.007863101705284037,-0.0,-0.0,0.0,0.41892821545020476
2018-02-07,34.972877502441406,89.72052764892578,0.4249637808883184,-3.1550971505410033,-0.3210138601666264,0.0,0.0,-0.002462417691368346,-0.0005282140229732057,-0.0,-0.0,0.0,0.41892821545020476
2018-02-08,33.82698440551758,87.07239532470703,0.4249637808883184,-3.1756299226722575,-0.3524299000888516,0.0,0.0,-0.032765193451520735,-0.029515344967439683,-0.0,-0.0,0.0,0.41892821545020476
2018-02-09,33.85054016113281,87.88658905029297,0.4249637808883184,-3.4980770110575676,-0.6899592689591137,0.0,0.0,0.0006963599040590296,0.009350767514201053,0.0,0.0,0.0,0.41892821545020476
2018-02-12,34.509822845458984,88.47945404052734,0.4249637808883184,-3.0907404745377107,-0.283257919358363,0.0,0.0,0.019476282540482392,0.006745795878994709,0.0,0.0,0.0,0.41892821545020476
2018-02-13,34.68247604370117,88.64544677734375,0.4249637808883184,-2.9886281773330268,-0.18920374181578403,0.0,0.0,0.005003016069232258,0.0018760596865841084,0.0,0.0,0.0,0.41892821545020476
2018-02-14,34.611846923828125,86.2502670288086,0.4249637808883184,-2.0413926553614417,0.7875369931118817,0.0,0.0,-0.002036449755895453,-0.02701977186207072,-0.0,-0.0,0.0,0.41892821545020476
2018-02-15,35.14554214477539,87.72061157226562,0.4249637808883184,-2.1325406108101816,0.6792383075572538,0.0,0.0,0.015419437804685687,0.017047420189040263,0.0,0.0,0.0,0.41892821545020476
2018-02-16,35.30250930786133,87.79173278808594,0.4249637808883184,-2.0057973885006177,0.79931980241536,0.0,0.0,0.0044662040619358745,0.0008107697215691267,0.0,0.0,0.0,0.41892821545020476
2018-02-20,34.525508880615234,86.5427474975586,0.4249637808883184,-2.2520243044103196,0.5298157868905964,0.0,0.0,-0.02200977897831946,-0.014226684573388937,-0.0,-0.0,0.0,0.41892821545020476
2018-02-21,34.01536178588867,85.37284851074219,0.4249637808883184,-2.2650067024419656,0.505566906775475,0.0,0.0,-0.014775947155205915,-0.013518163227362434,-0.0,-0.0,0.0,0.41892821545020476
2018-02-22,34.1566276550293,86.36884307861328,0.4249637808883184,-2.547002450608069,0.19842014696165533,0.0,0.0,0.0041530021062197164,0.011666408995897326,0.0,0.0,0.0,0.41892821545020476
2018-02-23,34.56475067138672,86.70085906982422,0.4249637808883184,-2.2799742051910314,0.4709025990818388,0.0,0.0,0.011948574680127333,0.003844163929679345,0.0,0.0,0.0,0.41892821545020476
2018-02-26,34.55690002441406,87.69686126708984,0.4249637808883184,-2.7110897116867605,0.004782068268993757,0.0,0.0,-0.00022712870251240247,0.011487800789419023,0.0,0.0,0.0,0.41892821545020476
2018-02-27,34.23512268066406,87.65736389160156,0.4249637808883184,-3.016082101414092,-0.32526022628961837,0.0,0.0,-0.009311522258150129,-0.00045038528081398077,-0.0,-0.0,0.0,0.41892821545020476
2018-02-28,33.921173095703125,86.74039459228516,0.4244956280248889,-2.8997451818756375,-0.20743335423495865,0.0,0.0,-0.00917039462336311,-0.010460835902507237,-0.0,-0.0,0.0,0.42542775885385414
2018-03-01,34.086002349853516,86.09934997558594,0.4244956280248889,-2.4627952905675414,0.2528275119096623,0.0,0.0,0.004859184960536389,-0.007390381606083185,0.0,0.0,0.0,0.42542775885385414
2018-03-02,34.31360626220703,86.83195495605469,0.4244956280248889,-2.546178989492269,0.1601918706866977,0.0,0.0,0.006677342506094641,0.00850883288522497,0.0,0.0,0.0,0.42542775885385414
2018-03-05,34.4470329284668,87.14251708984375,0.4244956280248889,-2.54458459125604,0.15862953056535964,0.0,0.0,0.0038884477848286636,0.003576588065375752,0.0,0.0,0.0,0.42542775885385414
2018-03-06,34.47842025756836,87.26197052001953,0.4244956280248889,-2.5639047210166694,0.1381688718312405,0.0,0.0,0.0009111765639362446,0.0013707824167235039,0.0,0.0,0.0,0.42542775885385414
2018-03-07,34.392086029052734,87.46904754638672,0.4244956280248889,-2.7381422418895625,-0.04493906049514189,0.0,0.0,-0.0025040076624935903,0.0023730500827927603,0.0,0.0,0.0,0.42542775885385414
2018-03-08,34.88654327392578,89.2528076171875,0.4244956280248889,-3.0008833485168154,-0.32315977983257166,0.0,0.0,0.01437706466700961,0.02039304326315916,0.0,0.0,0.0,0.42542775885385414
2018-03-09,35.17692565917969,89.619140625,0.4244956280248889,-2.8660077234805215,-0.17543276894859053,0.0,0.0,0.008323621603145037,0.004104442398985775,0.0,0.0,0.0,0.42542775885385414
2018-03-12,34.94932174682617,89.78634643554688,0.4244956280248889,-3.1645897713915403,-0.49270383220432223,0.0,0.0,-0.006470261629987539,0.001865737713849791,0.0,0.0,0.0,0.42542775885385414
2018-03-13,34.98072814941406,90.46322631835938,0.4244956280248889,-3.420515919755559,-0.7594789345135128,0.0,0.0,0.000898626955206705,0.007538784121240427,0.0,0.0,0.0,0.42542775885385414
2018-03-14,34.66401290893555,89.67484283447266,0.4244956280248889,-3.4025658181171323,-0.7305777551265494,0.0,0.0,-0.009053992218964746,-0.008714960940175098,-0.0,-0.0,0.0,0.42542775885385414
2018-03-15,34.57692337036133,89.18113708496094,0.4244956280248889,-3.2800794244928753,-0.5917743571321122,0.0,0.0,-0.002512390553367494,-0.00550551006175759,-0.0,-0.0,0.0,0.42542775885385414
2018-03-16,34.41064453125,88.90241241455078,0.4244956280248889,-3.328040859592413,-0.6325067661373461,0.0,0.0,-0.004808954149282618,-0.003125376952130776,-0.0,-0.0,0.0,0.42542775885385414
2018-03-19,34.25228500366211,87.88311004638672,0.4244956280248889,-3.0537109882592404,-0.33020638038144745,0.0,0.0,-0.004602050608034314,-0.0114654072986351,-0.0,-0.0,0.0,0.42542775885385414
2018-03-20,34.1731071472168,87.51679229736328,0.4244956280248889,-2.9773885617761877,-0.24063737713137398,0.0,0.0,-0.0023116080120449967,-0.004168238343295827,-0.0,-0.0,0.0,0.42542775885385414
2018-03-21,34.04642105102539,86.59304809570312,0.4244956280248889,-2.7119492829495186,0.04619624210937261,0.0,0.0,-0.0037071869305195237,-0.01055505094978193,-0.0,-0.0,0.0,0.42542775885385414
2018-03-22,33.85640335083008,85.95600891113281,0.4244956280248889,-2.6315466344141925,0.13367687897281527,0.0,0.0,-0.00558113582366071,-0.007356701243109609,-0.0,-0.0,0.0,0.42542775885385414
2018-03-23,33.51594161987305,84.53054809570312,0.4244956280248889,-2.366906481300525,0.41824272440760746,0.0,0.0,-0.010056051359887963,-0.016583608679451634,-0.0,-0.0,0.0,0.42542775885385414
