t0,proba,kelly_raw,kelly_pos,ret_next,pnl_net
2022-10-17,0.0,-0.5,-0.5,0.009409610220868725,-0.004954805110434363
2022-10-18,0.0,-0.5,-0.5,0.0007650088922175335,-0.00038250444610876677
2022-10-20,0.0,-0.5,-0.5,0.02705894701136824,-0.01352947350568412
2022-10-21,0.0,-0.5,-0.5,0.014802925853812487,-0.007401462926906244
2022-10-24,0.0,-0.5,-0.5,0.019337492156832337,-0.009668746078416168
2022-10-25,0.0,-0.5,-0.5,-0.019626996913600703,0.009813498456800351
2022-10-26,0.0,-0.5,-0.5,-0.030465252183572766,0.015232626091786383
2022-10-27,0.0,-0.5,-0.5,0.07555234905902242,-0.03777617452951121
2022-10-28,0.0,-0.5,-0.5,-0.015410382559017388,0.007705191279508694
2022-10-31,0.0,-0.5,-0.5,-0.01754269101880168,0.00877134550940084
2022-11-01,0.0,-0.5,-0.5,-0.03730504154967329,0.018652520774836645
2022-11-02,0.0,-0.5,-0.5,-0.04240501905422067,0.021202509527110336
2022-11-03,0.0,-0.5,-0.5,-0.001947389784534903,0.0009736948922674515
2022-11-07,0.0,-0.5,-0.5,0.004175258840094731,-0.0020876294200473655
2022-11-08,0.0,-0.5,-0.5,-0.03319031082299306,0.01659515541149653
2022-11-09,0.0,-0.5,-0.5,0.08897481343326397,-0.04448740671663198
2022-11-10,0.0,-0.5,-0.5,0.019268785374738195,-0.009634392687369098
2022-11-11,0.0,-0.5,-0.5,-0.00948554319324979,0.004742771596624895
2022-11-14,0.0,-0.5,-0.5,0.011869406164443985,-0.005934703082221993
2022-11-15,0.0,-0.5,-0.5,-0.008331241464504813,0.004165620732252406
2022-11-16,0.0,-0.5,-0.5,0.012971255137022686,-0.006485627568511343
2022-11-17,0.0,-0.5,-0.5,0.0037817432609561497,-0.0018908716304780748
2022-11-18,0.0,-0.5,-0.5,-0.021680052432982877,0.010840026216491438
2022-11-21,0.0,-0.5,-0.5,0.014661239288516592,-0.007330619644258296
2022-11-22,0.0,-0.5,-0.5,0.005926130624633652,-0.002963065312316826
2022-11-23,0.0,-0.5,-0.5,0.0,-0.0
2022-11-25,0.0,-0.5,-0.5,-0.026264403626247268,0.013132201813123634
2022-11-28,0.0,-0.5,-0.5,-0.02114803430886414,0.01057401715443207
2022-11-29,0.0,-0.5,-0.5,0.04859392479755131,-0.024296962398775657
2022-11-30,0.0,-0.5,-0.5,0.0018915202920561924,-0.0009457601460280962
2022-12-02,0.0,-0.5,-0.5,-0.007983219713319278,0.003991609856659639
2022-12-05,0.0,-0.5,-0.5,-0.02536992776625846,0.01268496388312923
2022-12-06,0.0,-0.5,-0.5,-0.013784958715287843,0.006892479357643921
2022-12-07,0.0,-0.5,-0.5,0.012132597146085056,-0.006066298573042528
2022-12-08,0.0,-0.5,-0.5,-0.003434759102588947,0.0017173795512944734
2022-12-09,0.0,-0.5,-0.5,0.01639005937935134,-0.00819502968967567
2022-12-12,0.0,-0.5,-0.5,0.006782250871957718,-0.003391125435978859
2022-12-13,0.0,-0.5,-0.5,-0.015535683779639875,0.0077678418898199375
2022-12-14,0.0,-0.5,-0.5,-0.04685437576338036,0.02342718788169018
2022-12-15,0.0,-0.5,-0.5,-0.01457876293353233,0.007289381466766165
2022-12-16,0.0,-0.5,-0.5,-0.015909527275504987,0.007954763637752493
2022-12-19,0.0,-0.5,-0.5,-0.0005289702078133951,0.00026448510390669755
2022-12-21,0.0,-0.5,-0.5,-0.02377247969617291,0.011886239848086455
2022-12-22,0.0,-0.5,-0.5,-0.0027982604256908683,0.0013991302128454342
