symbol,VaR_i,median_i,a_qr,b_qr,CoVaR_distress,CoVaR_median,Delta_CoVaR
QQQ,-0.021161981497973593,0.0012039340017224731,-0.006072261894439719,0.8023900051360993,-0.02305242433728879,-0.005106237284614099,-0.01794618705267469
EFA,-0.017670241727980394,0.0006413396356914625,-0.00866064637322967,0.8245289441756192,-0.023230272128529315,-0.008131843280555013,-0.015098428847974302
IWM,-0.021293683040857346,0.0009989726871122429,-0.007860398170849013,0.653016527531853,-0.021765525128553585,-0.0072080524956118115,-0.014557472632941774
EEM,-0.020756159997777912,0.0007108052181585833,-0.010326645438233036,0.6682522960180171,-0.024196997013265446,-0.009851648219176974,-0.014345348794088471
LQD,-0.007079380902770138,0.0004299072996696296,-0.01666665246741772,0.0,-0.01666665246741772,-0.01666665246741772,0.0
GLD,-0.01585959322837431,0.0005234863985039695,-0.01666665246741772,0.0,-0.01666665246741772,-0.01666665246741772,0.0
TLT,-0.01512898269634304,0.0005537279395646522,-0.015554749864424351,-0.32292935046045645,-0.010669157309166809,-0.01573356486827977,0.005064407559112961
