Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,ret_SPY,ret_QQQ,ret_IWM,ret_EFA,ret_EEM,ret_TLT,ret_LQD,ret_GLD,ret_port,equity,drawdown,leverage,turnover
2010-01-05,,,,,,,,,0.0026432872114856565,0.0,-0.0034445874818489486,0.0008811576923832831,0.007231855395604114,0.006436910476197433,0.0047640280279352964,-0.0009112174071557178,0.0,1.0,0.0,0.0,0.0
2010-01-06,,,,,,,,,0.0007041142629278241,-0.006050414427171802,-0.0009413474379300624,0.004217933486299952,0.0020901625762967946,-0.013477346370989629,-0.0029505315796676257,0.016364952672509148,0.0,1.0,0.0,0.0,0.0
2010-01-07,,,,,,,,,0.004212530124167557,0.0006500463733605244,0.007351029366454487,-0.003865900754701279,-0.005816293557630026,0.001680955970725151,0.0012385634831622028,-0.006207031449164013,0.0,1.0,0.0,0.0,0.0
2010-01-08,,,,,,,,,0.0033218786135700284,0.008196548626274058,0.0054398363921581705,0.00789121408615534,0.007901545191760562,-0.0004480684930410206,0.0021875189340807566,0.004950755381378791,0.0,1.0,0.0,0.0,0.0
2010-01-11,,,,,,,,,0.0013960144143121411,-0.004089498168608596,-0.004038221935962039,0.008176270205416447,-0.002085251634130536,-0.005502486539112006,0.0010448745752231758,0.013201473675457542,0.0,1.0,0.0,0.0,0.0
2010-01-12,,,,,,,,,-0.009370012745304912,-0.012589739309186054,-0.010953069216581124,-0.011850926188685218,-0.016135669705897193,0.016971894319629754,0.0018960954819933207,-0.021134489951311508,0.0,1.0,0.0,0.0,0.0
2010-01-13,,,,,,,,,0.008410274250974403,0.01237345617698482,0.012818641990553825,0.008379939667372938,0.0030601766703894917,-0.011693315292095718,-0.00417689010733735,0.00945827937853938,0.0,1.0,0.0,0.0,0.0
2010-01-14,,,,,,,,,0.002701005879274021,0.0008630565147558222,0.0037211757322794803,0.007620580163612889,-0.0025885784488575148,0.013904760495742075,0.0036082262520480413,0.004383402504944733,0.0,1.0,0.0,0.0,0.0
2010-01-15,,,,,,,,,-0.011287562655209804,-0.011708609361994249,-0.014653569783855236,-0.015825396349125942,-0.011612549912010994,0.006167528064377592,-0.0003791600683422658,-0.010498532177149578,0.0,1.0,0.0,0.0,0.0
2010-01-19,,,,,,,,,0.01241823414088472,0.01601087229925735,0.01820642768525227,0.009768056893480814,0.02005948781010014,-0.002858410697482938,0.0008536808343082569,0.0059357674133195815,0.0,1.0,0.0,0.0,0.0
2010-01-20,,,,,,,,,-0.010220493933299934,-0.014485490830165038,-0.01460099694424688,-0.025847390082612165,-0.02435983887763271,0.010079163004633962,-0.0006638250732047268,-0.023406622544498212,0.0,1.0,0.0,0.0,0.0
2010-01-21,,,,,,,,,-0.01941669813409952,-0.009408240313930616,-0.016565746646337143,-0.02160678640914604,-0.030629320236500224,0.00456762167870739,0.00265143929755407,-0.01451645533950785,0.0,1.0,0.0,0.0,0.0
2010-01-22,,,,,,,,,-0.022544054477985576,-0.029673303774664372,-0.01814018947752416,-0.019667910179718362,-0.022467609482943462,-0.0017378361424196243,-0.0015146702053829841,-0.001864497387188635,0.0,1.0,0.0,0.0,0.0
2010-01-25,,,,,,,,,0.005114847254742649,0.003391210619019258,0.0011333186529216555,0.012177052131590926,0.007295197538192522,-0.004575518912152354,-9.423617691339814e-05,0.002888473340999731,0.0,1.0,0.0,0.0,0.0
2010-01-26,,,,,,,,,-0.004199690018519497,0.0009020807901785055,-0.00991926151244149,-0.005701092583719536,-0.02102163885573871,0.00032733984032251584,-0.0026562306684709824,0.0007439937221862536,0.0,1.0,0.0,0.0,0.0
2010-01-27,,,,,,,,,0.004746342226058964,0.0078606977770872,0.01056624136229134,-0.0011071040748316108,-0.0025629065232632975,-0.0005458448232760205,-0.0036141665503137688,-0.009622184538243594,0.0,1.0,0.0,0.0,0.0
2010-01-28,,,,,,,,,-0.011538534024849056,-0.026062890563019803,-0.017289595410071357,-0.0169449787039766,-0.0069522838711226775,-0.0005462086321683657,-0.001430260132488037,-0.0004694185510532023,0.0,1.0,0.0,0.0,0.0
2010-01-29,,,,,,,,,-0.01092851021628416,-0.017605604754955095,-0.011084343609261804,-0.014565511224951866,-0.01091214447999711,0.008703867904713114,0.006373842935609275,-0.0048955498497216254,0.0,1.0,0.0,0.0,0.0
2010-02-01,,,,,,,,,0.015431236669360082,0.010923951375604979,0.01174225514723748,0.01812716159141381,0.02655149506223964,-0.009118584031033272,-0.004467585800621343,0.022305058135940747,0.0,1.0,0.0,0.0,0.0
2010-02-02,,,,,,,,,0.012030828379865355,0.008975317461972221,0.010956270807495727,0.01651733512740039,0.008107460362847707,0.002848287764165569,0.003152885293816965,0.007173093057516233,0.0,1.0,0.0,0.0,0.0
