feature,gini_importance,perm_importance
ret,0.10097474257435778,-0.00018327195360960945
r1,0.09566708017676079,0.005901992865691185
r5,0.0938541621622015,-0.0014924812247422148
rsi_14,0.09334592747986471,0.0022507183451178857
close,0.09258420728080799,-9.365948417900949e-05
kurt_60,0.09069698272128664,0.0050145403458463685
mom_20,0.08868878251249131,0.00011216012302931456
vol_20,0.08700726342389487,-0.0037423323524140018
skew_60,0.08664565501637966,-0.0004194441714314934
vol_60,0.08650740334681686,0.006491700729040833
r20,0.08402779330513782,-0.004308047199754817
