time,bar_vol,target,child,mid,half_spread,sigma_bps,temp_impact,perm_impact,fill_px,cum_exec,remaining
2025-11-06 14:30:00,1886059.0,416.6666666666667,416.6666666666667,676.4849853515625,0.06764849853515625,5.0,0.0006499643121126969,0.0,676.5532838144097,416.6666666666667,49583.333333333336
2025-11-06 14:31:00,350891.0,416.6666666666667,416.6666666666667,676.6524963378906,0.06766524963378906,5.0,0.0017833100821734338,0.00011650513282068998,676.7220614027394,833.3333333333334,49166.66666666667
2025-11-06 14:32:00,267255.0,416.6666666666667,416.6666666666667,677.0599975585938,0.06770599975585938,5.0,0.0021010489270362597,0.00023315059168495345,677.1300377578683,1250.0,48750.00000000001
2025-11-06 14:33:00,260015.0,416.6666666666667,416.6666666666667,677.0599975585938,0.06770599975585938,5.0,0.0021359576014192048,0.0003497258875274302,677.1301892418386,1666.6666666666667,48333.33333333334
2025-11-06 14:34:00,248127.0,416.6666666666667,416.6666666666667,677.135009765625,0.06771350097656251,5.0,0.0021970268668264977,0.00046635284538070653,677.2053866463137,2083.3333333333335,47916.66666666668
2025-11-06 14:35:00,322902.0,416.6666666666667,416.6666666666667,676.8150024414062,0.06768150024414063,5.0,0.001874960184958452,0.0005826655645344446,676.8851415673998,2500.0,47500.000000000015
2025-11-06 14:36:00,220050.0,416.6666666666667,416.6666666666667,676.8200073242188,0.06768200073242188,5.0,0.0023600699684630127,0.0006992038478459945,676.8907485987675,2916.6666666666665,47083.33333333335
2025-11-06 14:37:00,204892.0,416.6666666666667,416.6666666666667,676.9871520996094,0.06769871520996094,5.0,0.0024639389315967964,0.0008159392738531496,677.0581306930247,3333.333333333333,46666.666666666686
2025-11-06 14:38:00,205492.0,416.6666666666667,416.6666666666667,677.1575012207031,0.06771575012207032,5.0,0.0024602387599730407,0.0009327366711535686,677.2286099462564,3749.9999999999995,46250.00000000002
2025-11-06 14:39:00,130740.0,416.6666666666667,416.6666666666667,677.010009765625,0.06770100097656251,5.0,0.0032263725611674688,0.0010491002010929486,677.0819862393638,4166.666666666666,45833.33333333336
