Date,port_index,bench_index,port_vol_ann,port_sharpe,port_sortino,port_beta,port_alpha,port_corr_bench,port_mdd_window,port_var_1d_5%,port_cvar_1d_5%,port_ann_ret_window,port_calmar
2023-04-11,128.74870135876878,111.32817185727453,0.2966875552572208,3.4489224841044175,7.537838266762629,1.5070385218972557,0.0030938302551535173,0.8169359273942384,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,1.0232523800806004,15.254114003809498
2023-04-12,127.21197283676501,110.8743920871076,0.2972921470132721,3.0382275565692582,6.650272395234974,1.5094778938917413,0.0028161810457142658,0.8173162243438589,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,0.9032411934073624,13.465049684113671
2023-04-13,130.45615450358423,112.34711783313965,0.3004054045747219,3.223971812944645,7.1307412285406135,1.5189162459431997,0.0026876993768050403,0.8241616503410047,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,0.9684985568051357,14.437872499125595
2023-04-14,130.36947050972697,112.07268736055269,0.2987017307309706,3.4044231236105897,7.500102347922069,1.544351133619051,0.0025169481569001523,0.8244870408300418,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,1.0169070791630201,15.159521559687725
2023-04-17,131.04672637045022,112.4748095291952,0.29532482715445457,3.7656681983436,8.310627774082471,1.5306391325082582,0.0026309163350842933,0.8220940486895827,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,1.11209530979685,16.5785381680781
2023-04-18,131.9103603241847,112.54818748564826,0.2862993684522488,3.4047684915890697,7.2845008646966996,1.5046188672679268,0.002567123605664712,0.811352594356653,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,0.9747830688680663,14.531558734635457
2023-04-19,133.10869362484738,112.52916610973446,0.28208267857266806,3.174016381063223,6.690790084828269,1.4882497896112,0.002567818818495283,0.8053208399153904,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,0.8953350426038401,13.347188902124833
2023-04-20,131.50256675065674,111.91508412246338,0.2838011276233116,2.9788804822150015,6.306450237965222,1.4950749953169642,0.002474414189234464,0.8066256035009157,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,0.8454096399076915,12.602926978831617
2023-04-21,132.1565650628461,112.00203408767652,0.2837494048398277,3.0481130634585374,6.451843273605762,1.4950105212290272,0.002541776917101252,0.8067368813829063,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,0.8649002676408637,12.893483114576155
2023-04-24,131.43183572774518,112.11886989036147,0.28140716445146746,2.650982277632479,5.586054706105809,1.4863557129055611,0.00232154297950216,0.8006351007312813,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,0.7460054057596489,11.121060383968505
2023-04-25,128.28193422311833,110.33910315069384,0.2848764257311356,1.995565153235025,4.115189757415265,1.4891631285645621,0.0020669163215768288,0.8110721551402554,-0.06708042039184037,-0.02517670354160969,-0.0281685584451296,0.5684894681671998,8.474745161799115
2023-04-26,132.23036128919324,109.87175137176679,0.2829994860858756,2.9020758052537365,6.325817248778045,1.4306346829939929,0.0028793350722350806,0.7743668277207052,-0.06708042039184037,-0.024021259902287574,-0.026721879220360695,0.8212859614690611,12.243303734109602
2023-04-27,136.08300755589678,112.05910678360529,0.28619485827862773,3.021126980304144,6.659675193109063,1.4358661153403642,0.0029253927416089264,0.7807989069841446,-0.06708042039184037,-0.024021259902287574,-0.026721879220360695,0.8646310079698828,12.889469131518087
2023-04-28,135.9105282404123,113.01553926457535,0.28098473543248725,2.6120638404954795,5.662171550374512,1.3905163667151914,0.0024712860457565184,0.7675265730412333,-0.06708042039184037,-0.024021259902287574,-0.026721879220360695,0.7339500671543887,10.94134566937905
2023-05-01,136.03057908667583,112.90141957727991,0.26438652059942375,2.018340544607333,4.116709888905888,1.321441000619125,0.002041093151958635,0.7609481668073228,-0.06708042039184037,-0.024021259902287574,-0.026721879220360695,0.5336220339734787,7.954959597098593
2023-05-02,135.50642078343412,111.63249673552062,0.25722267425176926,2.4671487324946613,5.242448117001998,1.2716662940710717,0.002457635721078728,0.7536093487075226,-0.06708042039184037,-0.020192443737454296,-0.02541150082382602,0.6346065947491395,9.460384878958402
2023-05-03,134.691872124189,110.86624374093914,0.2567104886391648,2.5220715956679265,5.359721327269069,1.2671041736874793,0.0025246859366091514,0.7530834192502205,-0.06708042039184037,-0.020192443737454296,-0.02541150082382602,0.6474422317068714,9.6517318753361
2023-05-04,134.2928236206929,110.08098650681856,0.25139886258726946,2.0581505359594785,4.297161907332768,1.2402967546106538,0.0024264261519336165,0.7439566872359517,-0.06708042039184037,-0.020192443737454296,-0.02541150082382602,0.5174167037735918,7.713378967382413
2023-05-05,138.34203859423508,112.11886989036148,0.25661700996149156,2.6713598093924253,5.690033064922928,1.258560320003131,0.0024812942355920114,0.7551233475571432,-0.06708042039184037,-0.020192443737454296,-0.02541150082382602,0.6855163668175841,10.219321268609253
2023-05-08,138.72905898878787,112.1487642960206,0.2557001472145832,2.8530260695187963,6.0396864792636045,1.2597954231126902,0.0024680554385301296,0.7531012309298738,-0.06708042039184037,-0.020192443737454296,-0.02541150082382602,0.7295191859829998,10.87529239861082
2023-05-09,137.7666776007448,111.65696747858811,0.2542579115066354,2.977295550325437,6.332369002003971,1.270307088045147,0.0027157948098454213,0.7649190922028304,-0.06708042039184037,-0.020192443737454296,-0.02541150082382602,0.7570009485637443,11.284976214249033
