,N days,Mean daily ret,Vol (ann),Sharpe (≈)
Risk-ON,654.0,0.0015564893906631493,0.09890725234762879,3.9656882294993516
Risk-OFF,77.0,-0.005949007767706048,0.373229493084508,-4.016697461586943
