path_id,ann_ret,ann_vol,sharpe,max_dd,terminal_wealth
0,-0.06976960892923834,0.12741003283592522,-0.5475990185096767,-0.11969705455372814,0.922721183306
1,-0.003525496736553224,0.10583127561773566,-0.03331242788084099,-0.10416565360487162,0.9909325549796701
2,0.004746047468840775,0.09937052527735564,0.0477611188588765,-0.13606504353530768,0.9997999894893261
3,-0.044770558115824644,0.1962960792770458,-0.22807668029190212,-0.23708387218909732,0.9367551104662
4,0.09919827687294891,0.10727317453170775,0.9247258441450145,-0.05555656093679706,1.0929226047654292
5,0.18058134013796234,0.102514997422855,1.7615114342060454,-0.048541395007026034,1.17440372372268
6,0.08070576961784726,0.19084495564727427,0.42288657483308195,-0.21686653433137326,1.0609400348492568
7,0.09167132836739311,0.10381553240061205,0.8830213191379122,-0.11257836495583784,1.085806795438307
8,0.16181612721011507,0.10701089216347026,1.5121463239734896,-0.057139370996163286,1.1551976826065065
9,0.053652297233505175,0.12811958032416706,0.418767350765235,-0.12929429852674645,1.0451242024694507
10,0.11648745673151661,0.1510099492010872,0.77138928492983,-0.1379777248930384,1.1039489708448103
11,-0.0017861287629902245,0.13463942175511665,-0.013266016295278295,-0.19215562126664332,0.9892173493986891
12,0.03929040548917029,0.12376566618907199,0.31745803742653367,-0.11485361875699085,1.0313502490987017
13,0.13342250831647862,0.10065847351704531,1.325497036212109,-0.05724847636135155,1.127707282741116
14,-0.0654909638163913,0.1548565188595831,-0.42291383209883177,-0.11191816101980445,0.923359572901946
15,0.16568405120468133,0.11736699555110841,1.4116749809151659,-0.10117355746181056,1.1577035904309876
16,0.12200590308707038,0.14061863102801292,0.867636828741174,-0.0627697925935291,1.1110280808228934
17,0.23279415847873253,0.09426820890161576,2.4694874464167573,-0.049971231625920765,1.2273657100541402
18,-0.19011388837485088,0.1239897480595752,-1.5333032879742932,-0.22752851047785194,0.8036825486627742
19,0.07893296690122331,0.09256606975014676,0.852720301448233,-0.07855726714572753,1.0743340623221203
20,0.07033684031210319,0.0944597668804358,0.7446222093807764,-0.10288558142756532,1.0655860884005595
21,0.014461447231516544,0.10843247420003417,0.133368230672652,-0.1575381824741331,1.0085318949466162
22,0.0805231069962804,0.09780393602288291,0.8233115176207288,-0.08306819746879768,1.075381567188734
23,0.12283500077340626,0.1261730045206611,0.9735442319065308,-0.06549546504258952,1.1139630652398793
24,0.0326203894233279,0.10928111037603971,0.29849979846544494,-0.12990888718820104,1.0264950170429734
25,0.14241502086034563,0.08870750221421173,1.6054450560048514,-0.03981971405677054,1.13795155369716
26,0.16886336623036713,0.11004120229495362,1.5345467216701887,-0.0684572872288618,1.161875630197809
27,0.04783098659415286,0.092965903275578,0.5145003158025356,-0.10055205559541958,1.0433291138876655
28,-0.013971639464833374,0.12208548326369298,-0.11444144783910114,-0.11817400058623417,0.9787347412895846
29,-0.10856285670439181,0.1327542335566988,-0.817773217439616,-0.13269980570518558,0.8836387936424831
30,-0.13880635067845581,0.20383528641696474,-0.6809731186312562,-0.3154522040372605,0.8432674832660965
31,0.3108765373371487,0.10568902517728405,2.9414268588028003,-0.05474966741610798,1.303659210881403
32,0.12070952459377193,0.15904781441983631,0.7589511684526307,-0.07729989250266145,1.106621484457087
33,-0.1520586565508497,0.1211940312154179,-1.254671166771993,-0.17161052356823336,0.8417528491124991
34,0.03924035291498118,0.10550646296099961,0.37192368897331296,-0.1030636464115855,1.0335000704139576
35,0.011120695496542599,0.12515158308470986,0.08885780924573256,-0.1092281298022546,1.0032343959794499
36,-0.09732462923748986,0.19379197487853755,-0.502211865576424,-0.21524345689585866,0.8856482677165463
37,0.06630144360809243,0.09576869773561723,0.692308083703161,-0.10287989712427326,1.0614356545971289
38,0.20132004368574563,0.09439075722267994,2.1328364090861753,-0.04013780986869131,1.195989414657234
39,-0.08512890504309711,0.12539487136050798,-0.6788866571612252,-0.18745884523601286,0.9077162843688227
40,0.21869583922370395,0.08679644063399461,2.519640639941746,-0.03357005653791534,1.2141348616961771
41,0.09169162822621701,0.2042104167634617,0.449005636830094,-0.20699701328124842,1.0688670789987365
42,0.046914867554864514,0.09938101526145535,0.4720707212684344,-0.08899703365501,1.0417684326482841
43,-0.00538469483721471,0.10412244375395464,-0.05171502553223733,-0.09711988428619434,0.9892355456994694
44,-0.03607811736086475,0.11587533340495815,-0.31135286778230764,-0.11178323470605378,0.9574807074324834
45,0.12416100804799979,0.09328899678819705,1.3309287517572348,-0.047072433209839004,1.1192978744728206
46,0.1055406910579697,0.0917154016639674,1.1507411966057377,-0.05041599224986182,1.1009115984635962
47,0.1226912948544081,0.12302563434391628,0.9972823591498539,-0.10008515867995249,1.1143087096061268
48,0.010883321715823069,0.09824579274584051,0.11077646596000257,-0.10553205159167389,1.006038797816311
49,0.1866820481985063,0.10798614918331652,1.7287591937517486,-0.0899477348501937,1.179798519729463
50,0.194370065617953,0.10284013202273862,1.8900215489316614,-0.06992098954446846,1.1881033137235493
51,0.11630119272471862,0.1437980014418472,0.8087817046035339,-0.16902346904647902,1.1049585057247577
52,0.0805057183798068,0.10298158358204003,0.7817486931114447,-0.12676902316322902,1.0747975702194372
53,0.05608019883721549,0.09897777417312731,0.5665938571130386,-0.07334576586638086,1.0509218366230781
54,0.15749650608277954,0.10467495116202316,1.5046245958022517,-0.08398092411018288,1.1511967217314871
55,-0.15771623325630824,0.1749413139432184,-0.9015379483630664,-0.2615248212675013,0.8292471195271995
56,0.08464455837813034,0.12797725689042314,0.6614031307969417,-0.1147921833677823,1.0758389793315715
