Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,ret_SPY,ret_QQQ,ret_IWM,ret_EFA,ret_EEM,ret_TLT,ret_LQD,ret_GLD,w_base_SPY,w_base_QQQ,w_base_IWM,w_base_EFA,w_base_EEM,w_base_TLT,w_base_LQD,w_base_GLD,ret_base,vol_ann,lev_raw,dd_base,dd_mag,dd_scale,lev_final,ret_targeted,eq_base,eq_targeted
2010-08-31,79.94915771484375,38.004554748535156,48.845123291015625,32.03508377075195,29.066909790039062,70.5227279663086,65.31310272216797,122.08000183105469,0.0,-0.0034456430996354648,-0.0019917741478980844,0.003008221727784033,0.006009121214244129,0.011021338658437685,0.0033690546120448417,0.009630085060907234,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,0.0043048765719030345,,,0.0,-0.0,1.0,0.0,0.0,1.004304876571903,1.0
2010-09-01,82.3405990600586,39.1413688659668,50.73628616333008,33.17689895629883,30.089988708496094,69.06460571289062,64.82223510742188,121.69000244140625,0.029473387683741414,0.029473920590443292,0.037986814792939416,0.0350221490983853,0.034592108836143165,-0.020892659157311755,-0.007543991523659699,-0.003199735123743608,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,-0.005035549338511592,,,-0.00503554933851158,0.00503554933851158,1.0,0.0,-0.0,0.9992476498150173,1.0
2010-09-02,83.10735321044922,39.578609466552734,51.296295166015625,33.362918853759766,30.140779495239258,68.33483123779297,64.74100494384766,122.29000091552734,0.009268892474428192,0.011108872395195757,0.010977172560435733,0.00559125011750794,0.0016865399627827848,-0.01062277042455495,-0.001253907731625148,0.004918433276591472,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,-0.000782144091911516,,,-0.005813754905258373,0.005813754905258373,1.0,0.0,-0.0,0.9984660941693582,1.0
2010-09-03,84.18539428710938,40.23445129394531,52.213470458984375,33.67083740234375,30.496315002441406,67.48778533935547,64.253662109375,121.86000061035156,0.012888257444212847,0.016434818641501536,0.01772198578524664,0.009187034458860488,0.011726801375030682,-0.012472987214968256,-0.0075560511809635855,-0.003522430858827086,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,-0.0058460718751078364,,,-0.011625839151325867,0.011625839151325867,1.0,0.0,-0.0,0.9926289896179858,1.0
2010-09-07,83.2364273071289,39.9633674621582,51.22325897216797,33.20254898071289,30.053701400756836,68.86902618408203,64.72944641113281,122.69999694824219,-0.011336361458885946,-0.00676040491968477,-0.019146810674852688,-0.014005454235415549,-0.01462002859216982,0.020259905973898817,0.00737750028190387,0.006869477016185677,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,0.0067808137993560945,,,-0.004923858002516046,0.004923858002516046,1.0,0.0,0.0,0.9993598219684284,1.0
2010-09-08,83.82099151611328,40.444332122802734,51.52356719970703,33.45915603637695,30.380203247070312,68.32179260253906,64.60181427001953,122.70999908447266,0.006998391319267938,0.011963292058669861,0.005845612830778002,0.007698822676739159,0.010805359175724671,-0.007977742078387529,-0.0019737251747891094,8.151368239062151e-05,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,-0.0015574462407197984,,,-0.0064736355991000805,0.0064736355991000805,1.0,0.0,-0.0,0.9978033727705773,1.0
2010-09-09,84.20817565917969,40.60173416137695,51.5560417175293,33.77347183227539,30.554353713989258,66.97305297851562,64.26526641845703,121.55999755859375,0.004608543086275674,0.0038842659166902216,0.0006300861875159214,0.009350165114655251,0.005715999254512827,-0.019938443325045796,-0.005223189892991087,-0.009415892562922856,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,-0.006239411015828493,,,-0.012672654941659034,0.012672654941659034,1.0,0.0,-0.0,0.9915776674148817,1.0
2010-09-10,84.63330841064453,40.750396728515625,51.71835708618164,33.8761100769043,30.66318702697754,66.66683959960938,64.31168365478516,121.7300033569336,0.005035890939490528,0.00365479627866927,0.003143383145944867,0.0030344111666926743,0.003555628871442895,-0.004582672267908983,0.0007220149228635009,0.0013975570337532162,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,0.000517532815361323,,,-0.012161680641087802,0.012161680641087802,1.0,0.0,0.0,0.9920908413967483,1.0
2010-09-13,85.57471466064453,41.31878662109375,52.976402282714844,34.491912841796875,31.39603042602539,66.99258422851562,64.39873504638672,121.62000274658203,0.011061944469101803,0.0138517030976959,0.024033786597218665,0.018014837715346843,0.023618649937734215,0.004874258237947515,0.00135267068125966,-0.0009040527231123363,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,0.0029274381776280807,,,-0.009269845031672608,0.009269845031672608,1.0,0.0,0.0,0.9949951260015283,1.0
2010-09-14,85.52154541015625,41.493690490722656,52.749168395996094,34.72285079956055,31.38152503967285,67.63764190673828,64.7004165649414,124.0199966430664,-0.0006215127341500093,0.004224100903552408,-0.004298567227514649,0.006673108527516014,-0.00046212014797575307,0.009582730906248393,0.004673649112713285,0.01954136357877978,0.016955667212159315,0.014754489268546816,0.031961409201840756,0.009674723883185094,0.008736782871158515,0.09457485991601405,0.740041860599465,0.0833002070476306,0.005967702111613194,,,-0.003357462593829297,0.003357462593829297,1.0,0.0,0.0,1.0009329605160124,1.0
