step,ppo_portfolio,bh_norm
0,77.73141343019662,1.0
1,113.85176247011982,0.9916689
2,132.04423286002395,1.0045321
3,141.03222317079033,1.0083311
4,143.6132762595221,0.9864703
5,145.96322578898906,1.0009329
6,147.53861943568035,1.0068651
7,146.75871278790248,0.9871367
8,144.3798702821395,0.9612104
9,141.6737140492161,0.9408822
10,143.92320365978105,0.9866035
11,145.13721020784118,0.9884699
12,145.46020632622697,0.9851373
13,145.00495620341476,0.9772728
14,142.86835469276116,0.95247924
15,140.83298610982388,0.9393495
16,140.7456658961922,0.9507464
17,140.45097179009178,0.94748056
18,141.51431213033013,0.96301
19,142.52619249303172,0.9695415
20,141.8410573806,0.9544788
21,138.04991812409605,0.90975726
22,135.21801427452348,0.8964943
23,132.76377865431772,0.88223153
24,131.5586411233897,0.88176477
25,132.609906657504,0.9027593
26,131.44752856185616,0.8812982
27,130.7032836750923,0.8788323
28,129.40433196858987,0.86663544
29,126.72662773751387,0.8400427
30,127.29201446920925,0.86383635
31,127.72700461099237,0.865969
32,125.42411657013142,0.8335777
33,124.99385017563372,0.84217536
34,124.09649078160018,0.8332445
35,126.04675742666586,0.863903
36,127.24719627692934,0.86743534
37,128.1190557137468,0.8713009
38,129.95966894676977,0.8896962
39,130.79475867667506,0.88916296
40,131.89066923667434,0.89816046
41,133.02185441571996,0.90602505
42,133.18314468471115,0.90115964
43,133.2909574475657,0.9015597
44,134.68523663665422,0.91888845
45,137.02434663357639,0.9404827
46,138.87127977627864,0.94994676
47,139.40318039591392,0.9454813
48,140.7413335578405,0.9594774
49,142.39473867780418,0.97260743
50,141.67014516766022,0.9530793
51,141.9913306742073,0.9616769
52,142.7330926275115,0.9692749
53,145.87169303833997,1.0051987
54,149.26600102674035,1.0297253
55,149.45137199893276,1.0112637
56,151.04780980390217,1.0307252
57,150.39831921798475,1.0125299
58,149.54682141676446,1.0055319
59,149.3323609465711,1.0080018
60,150.69952687564466,1.026959
61,151.01426558723023,1.02262
62,152.2653847359838,1.036838
63,152.02366424499047,1.0260243
64,151.30848114254692,1.0182813
65,148.86600912171815,0.9911137
66,147.92283502256987,0.9939841
67,147.7263201014411,0.99725485
68,146.24155127832694,0.9792992
69,146.15984713941458,0.9873757
70,145.85726848032394,0.9839715
71,144.62726087947306,0.9699537
72,144.35159320876207,0.97395897
73,146.8661156586764,1.0081351
74,149.51255896368005,1.0268254
75,149.62114705511414,1.01194
76,150.32975117778807,1.0204172
77,149.48748757556214,1.0051982
78,148.00538674735256,0.9912472
79,148.31898551842596,1.004397
80,149.5653774791851,1.0185484
81,150.36571512645173,1.0212183
82,152.22635850135396,1.0403091
83,152.67226333680696,1.0346352
84,154.12590273142766,1.0506554
85,155.78953149063506,1.0632046
86,155.83303546928025,1.0535256
87,156.4223812372697,1.0608683
88,157.38625300927058,1.0696793
89,156.82580037866018,1.0565294
90,156.23327297513202,1.052324
91,157.56550158835176,1.0731504
92,159.02255636245445,1.0837635
93,161.02862601856359,1.1007181
94,162.64128261260453,1.1091956
95,163.13072552916424,1.1055912
96,162.39710679033018,1.0931087
97,162.5127286492688,1.0991162
98,161.20768533669974,1.081561
99,159.94961144575922,1.0733505
100,158.98829701539023,1.068678
101,161.3550864346139,1.1051238
102,162.30085389227656,1.1027879
103,162.76164910577359,1.1029211
104,163.62194148257518,1.1111984
105,164.63119094443766,1.1189414
106,164.60611808553915,1.1123997
107,163.75141844556134,1.1015193
108,163.5042575418192,1.1035887
109,162.57927338051138,1.0931756
110,162.13390432817374,1.0931087
111,164.32741337217982,1.1241479
112,166.02902094559335,1.1326252
113,166.79238389498613,1.1320244
114,166.61308013776022,1.1250155
115,165.96441134436532,1.1177397
116,164.79647152632174,1.1066589
117,168.2634679032863,1.1585913
118,169.87957104540394,1.1581239
119,169.75392934108706,1.146576
120,170.62020610518275,1.1585245
121,171.13104323980468,1.1597927
122,170.88729980456787,1.1535095
123,170.5123406485596,1.1501672
124,170.33364279125692,1.1501672
125,170.5696247020148,1.1543115
126,171.9042937048693,1.1700865
127,172.59723419260231,1.1708218
128,172.42982199123156,1.1644047
129,170.98337408500856,1.1467583
130,170.4391086027199,1.1486299
131,170.77491706761504,1.156317
132,172.19893825865296,1.1726265
133,173.84607763820412,1.1851263
134,174.60439346052652,1.1847919
135,176.4365158861716,1.2037752
136,177.7545505609494,1.2095236
137,177.67270277634447,1.2003664
138,177.4421134545816,1.1978931
139,176.61229872589823,1.1886022
140,177.64176016998368,1.2069839
141,178.33401032391419,1.2095907
142,180.1299976750924,1.2285072
143,180.73618422667454,1.2252989
144,181.35596950805888,1.2295767
145,182.71761640805994,1.2433465
146,182.80227131372246,1.2360606
147,182.88918904588883,1.2366619
148,182.38679851320148,1.2296436
149,183.72211039133174,1.2499639
150,184.19244233633032,1.2478248
151,183.6859100412131,1.2384001
152,184.88990903286168,1.2570493
153,186.07954717563854,1.2650037
154,186.82192557216558,1.267276
155,189.4437307524064,1.2965535
156,189.9109630215603,1.28646
157,189.54829420528864,1.278907
158,189.6242138223039,1.2821155
159,189.0750004034452,1.2745619
160,187.74093884242177,1.2607256
161,186.83150063023032,1.2571828
162,187.2737758392848,1.2684795
163,187.8830286842899,1.2736261
164,188.2508808984072,1.2746289
165,190.1349358221933,1.2966871
166,190.89746473705048,1.2949492
167,191.97018719231403,1.3041067
168,191.46159036033987,1.2909385
169,190.603076323481,1.2829843
170,190.6134525452486,1.2883985
171,191.0691600183423,1.2942139
172,191.7420846474382,1.3000962
173,191.39929935784352,1.2915403
174,192.58801530633428,1.3089861
175,193.47513570903797,1.3131303
176,193.462671873573,1.3075157
177,191.8880095139956,1.2872621
178,190.40750775159773,1.2778373
179,184.9490753980042,1.2164755
180,180.7219707312666,1.1954868
181,179.2006290670551,1.2018368
182,177.6417786277749,1.1910751
183,176.7856803578535,1.1896046
184,176.40882725633006,1.1900063
185,177.09447979680954,1.2011842
186,176.3800159155709,1.1877304
187,175.5831910011843,1.1818404
188,173.87104529588618,1.1646385
189,173.30871976384708,1.1679182
190,173.74132295433762,1.1769543
191,174.66881945059697,1.1862578
