Price,close,sma_s,sma_l,signal,ret,flip,tc,strategy_ret,equity
Ticker,SPY,,,,,,,,
Date,,,,,,,,,
2010-01-04,85.27921295166016,,,0,0.0,,,,
2010-01-05,85.50495910644531,,,0,0.002647141630084171,0.0,0.0,0.0,1.0
2010-01-06,85.56513977050781,,,0,0.0007038265931169629,0.0,0.0,0.0,1.0
2010-01-07,85.92635345458984,,,0,0.004221505218723776,0.0,0.0,0.0,1.0
2010-01-08,86.21229553222656,,,0,0.003327757621971461,0.0,0.0,0.0,1.0
2010-01-11,86.33267974853516,,,0,0.0013963694571106355,0.0,0.0,0.0,1.0
2010-01-12,85.52753448486328,,,0,-0.009326077518004294,0.0,0.0,-0.0,1.0
2010-01-13,86.24990844726562,,,0,0.00844609828581211,0.0,0.0,0.0,1.0
2010-01-14,86.4831771850586,,,0,0.0027045679467079253,0.0,0.0,0.0,1.0
2010-01-15,85.51246643066406,,,0,-0.011224272580982797,0.0,0.0,-0.0,1.0
2010-01-19,86.58102416992188,,,0,0.012495929352291935,0.0,0.0,0.0,1.0
2010-01-20,85.70059967041016,,,0,-0.010168792849849173,0.0,0.0,-0.0,1.0
2010-01-21,84.05266571044922,,,0,-0.01922896649846806,0.0,0.0,-0.0,1.0
2010-01-22,82.17897033691406,,,0,-0.022291920877201,0.0,0.0,-0.0,1.0
2010-01-25,82.6003646850586,,,0,0.005127763786975104,0.0,0.0,0.0,1.0
2010-01-26,82.25418853759766,,,0,-0.004190976017852344,0.0,0.0,-0.0,1.0
2010-01-27,82.64551544189453,,,0,0.0047575316376502474,0.0,0.0,0.0,1.0
2010-01-28,81.69738006591797,,,0,-0.011472314872827738,0.0,0.0,-0.0,1.0
2010-01-29,80.80944061279297,,,0,-0.010868640492615045,0.0,0.0,-0.0,1.0
2010-02-01,82.06609344482422,84.45899848937988,,0,0.015550817113716198,0.0,0.0,0.0,1.0
2010-02-02,83.05936431884766,84.34800605773925,,0,0.012103303963058032,0.0,0.0,0.0,1.0
2010-02-03,82.64551544189453,84.20503387451171,,0,-0.004982567352242784,0.0,0.0,-0.0,1.0
2010-02-04,80.09455871582031,83.93150482177734,,0,-0.030866244979350643,0.0,0.0,-0.0,1.0
2010-02-05,80.2601089477539,83.64819259643555,,0,0.0020669348153969924,0.0,0.0,0.0,1.0
2010-02-08,79.68069458007812,83.32161254882813,,0,-0.007219207340634859,0.0,0.0,-0.0,1.0
2010-02-09,80.68148803710938,83.03905296325684,,0,0.012560049360833103,0.0,0.0,0.0,1.0
2010-02-10,80.52351379394531,82.78885192871094,,0,-0.0019579986315002573,0.0,0.0,-0.0,1.0
2010-02-11,81.36627197265625,82.54467010498047,,0,0.010465988616287891,0.0,0.0,0.0,1.0
2010-02-12,81.2985610961914,82.2854393005371,,0,-0.000832173759756305,0.0,0.0,-0.0,1.0
2010-02-16,82.5777816772461,82.13870506286621,,0,0.015734848978952165,0.0,0.0,0.0,1.0
2010-02-17,82.96906280517578,81.9581069946289,,0,0.004738334210272255,0.0,0.0,0.0,1.0
2010-02-18,83.45822143554688,81.84598808288574,,0,0.005895675012259849,0.0,0.0,0.0,1.0
2010-02-19,83.63121795654297,81.82491569519043,,0,0.0020728517576869,0.0,0.0,0.0,1.0
2010-02-22,83.6462631225586,81.89828033447266,,0,0.0001798989227137504,0.0,0.0,0.0,1.0
2010-02-23,82.63045501708984,81.89978485107422,,0,-0.012144094279267326,0.0,0.0,-0.0,1.0
2010-02-24,83.39047241210938,81.9565990447998,,0,0.009197787847862404,0.0,0.0,0.0,1.0
2010-02-25,83.27758026123047,81.9882022857666,,0,-0.0013537775673101438,0.0,0.0,-0.0,1.0
2010-02-26,83.33026885986328,82.06984672546386,,0,0.0006326864741690308,0.0,0.0,0.0,1.0
2010-03-01,84.19563293457031,82.23915634155273,,0,0.010384750782003627,0.0,0.0,0.0,1.0
2010-03-02,84.42887878417969,82.3572956085205,,0,0.002770284413570856,0.0,0.0,0.0,1.0
2010-03-03,84.50415802001953,82.42953529357911,,0,0.0008916289890841256,0.0,0.0,0.0,1.0
2010-03-04,84.76000213623047,82.5352596282959,,0,0.003027592040504512,0.0,0.0,0.0,1.0
2010-03-05,85.97148132324219,82.829105758667,,0,0.014293052813573182,0.0,0.0,0.0,1.0
2010-03-08,85.98653411865234,83.11542701721191,,0,0.00017509056699349657,0.0,0.0,0.0,1.0
2010-03-09,86.12950134277344,83.43786735534668,,0,0.001662669923686133,0.0,0.0,0.0,1.0
2010-03-10,86.51326751708984,83.72945632934571,,0,0.00445568786923678,0.0,0.0,0.0,1.0
2010-03-11,86.87446594238281,84.04700393676758,,0,0.0041750639602373685,0.0,0.0,0.0,1.0
2010-03-12,86.88198852539062,84.32278976440429,,0,8.65914158574288e-05,0.0,0.0,0.0,1.0
2010-03-15,86.90457153320312,84.60309028625488,,0,0.00025992738190949716,0.0,0.0,0.0,1.0
2010-03-16,87.59685516357422,84.85404396057129,,0,0.00796602086814957,0.0,0.0,0.0,1.0
2010-03-17,88.1160659790039,85.1113941192627,,0,0.005927276892077282,0.0,0.0,0.0,1.0
2010-03-18,88.0709228515625,85.34202919006347,,0,-0.0005123143769509841,0.0,0.0,-0.0,1.0
2010-03-19,87.62516021728516,85.54172630310059,,0,-0.0050614052838828805,0.0,0.0,-0.0,1.0
2010-03-22,88.09359741210938,85.76409301757812,,0,0.005345921121999941,0.0,0.0,0.0,1.0
2010-03-23,88.7131576538086,86.06822814941407,,0,0.007032976968812665,0.0,0.0,0.0,1.0
2010-03-24,88.28248596191406,86.3128288269043,,0,-0.004854654070314712,0.0,0.0,-0.0,1.0
