Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,ret_SPY,ret_QQQ,ret_IWM,ret_EFA,ret_EEM,ret_TLT,ret_LQD,ret_GLD,w_ew_SPY,w_ew_QQQ,w_ew_IWM,w_ew_EFA,w_ew_EEM,w_ew_TLT,w_ew_LQD,w_ew_GLD,w_rp_SPY,w_rp_QQQ,w_rp_IWM,w_rp_EFA,w_rp_EEM,w_rp_TLT,w_rp_LQD,w_rp_GLD,w_md_SPY,w_md_QQQ,w_md_IWM,w_md_EFA,w_md_EEM,w_md_TLT,w_md_LQD,w_md_GLD,ret_ew,ret_rp,ret_maxdiv,eq_ew,eq_rp,eq_maxdiv
2017-11-29,231.36233520507812,145.9005889892578,138.59213256835938,55.391998291015625,38.78510284423828,100.58556365966797,91.03191375732422,122.04000091552734,-0.0006088146177498643,-0.01758784452595208,0.003330957265195167,-0.003989776906463405,-0.015962744164211617,-0.009907335110076687,-0.003965730928490174,-0.0062895583924209575,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.24580853821973583,0.13379288846885073,0.0,0.4265065612799104,0.19389201203150297,0.11279181416717066,0.044236261323763564,0.25903262056534204,0.018471911244111364,0.0,0.3645415407976368,0.0,0.20092585190197557,-0.006872605922521202,-0.006027328271587647,-0.004932932091614849,1.8013074126750097,1.623173713317846,1.7292592013765626
2017-11-30,233.38795471191406,147.1238250732422,138.8451385498047,55.44736099243164,38.360713958740234,100.24903869628906,90.92647552490234,121.0999984741211,0.008717078300208847,0.008349087181643178,0.0018238793263911646,0.0009989719604668323,-0.011002363684011751,-0.003351267902944599,-0.0011589269902758659,-0.007732229391441692,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.23384164513407366,0.13876500937275135,0.0,0.435909322944192,0.191484022548983,0.12483935198970171,0.08993847259672404,0.21595276114497677,0.014435888659835073,0.0,0.37017211311145626,0.0,0.1846614124973061,-0.00041947139999548577,-0.003278927319873568,-0.00042095894295196296,1.8005518157327929,1.6178514446843475,1.7285312542510614
2017-12-01,232.9035186767578,146.49798583984375,138.27589416503906,55.22592544555664,38.14436340332031,101.60182189941406,91.20747375488281,121.58999633789062,-0.002077825725296023,-0.0042628998111391425,-0.004108278464673987,-0.00400161320744008,-0.005655863365209957,0.013403989988195697,0.003085624113922769,0.004038061230928314,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.23384164513407366,0.13876500937275135,0.0,0.435909322944192,0.191484022548983,0.12483935198970171,0.08993847259672404,0.21595276114497677,0.014435888659835073,0.0,0.37017211311145626,0.0,0.1846614124973061,5.264934491094886e-05,0.00039769677765521194,0.004119703353047709,1.8006466136063692,1.6184948589906232,1.7356522902550473
2017-12-04,232.6217498779297,144.81002807617188,137.7607421875,55.02820587158203,38.219261169433594,101.65001678466797,91.35105895996094,121.18000030517578,-0.0012105415206011827,-0.011588947605802424,-0.003732494225523908,-0.0035866190874704884,0.001961609091998273,0.00047423813205593746,0.0015730323042202343,-0.00337765315460814,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.23384164513407366,0.13876500937275135,0.0,0.435909322944192,0.191484022548983,0.12483935198970171,0.08993847259672404,0.21595276114497677,0.014435888659835073,0.0,0.37017211311145626,0.0,0.1846614124973061,-0.0024359220082164623,-0.0005275653699641985,-0.0024994064044240893,1.7962603788912652,1.6176409971515546,1.7313141898049305
2017-12-05,231.78514099121094,144.90493774414062,136.38722229003906,54.90957260131836,38.194305419921875,102.1557846069336,91.52487182617188,120.31999969482422,-0.0036029172183695835,0.0006551934318972386,-0.010020365409070031,-0.002158190168273677,-0.0006531759087513578,0.004963243019183494,0.0019008834875222647,-0.007122188370048299,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.23384164513407366,0.13876500937275135,0.0,0.435909322944192,0.191484022548983,0.12483935198970171,0.08993847259672404,0.21595276114497677,0.014435888659835073,0.0,0.37017211311145626,0.0,0.1846614124973061,-0.002004689641988744,-0.0011304851449680455,-0.002063878933227959,1.7926594343153872,1.6158122780343835,1.7277409669217934
2017-12-06,231.8291473388672,145.55923461914062,135.7456512451172,54.79885482788086,37.678375244140625,102.50904083251953,91.69861602783203,120.06999969482422,0.00018984034313085374,0.004505188893693557,-0.004715139521611178,-0.0020184012043573674,-0.013600102792337587,0.003452049717188821,0.0018965281773892784,-0.0020799541641842723,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.23384164513407366,0.13876500937275135,0.0,0.435909322944192,0.191484022548983,0.12483935198970171,0.08993847259672404,0.21595276114497677,0.014435888659835073,0.0,0.37017211311145626,0.0,0.1846614124973061,-0.0015462488188859869,-0.001930768325941799,0.0002752698038334326,1.7898875367824123,1.612692518867287,1.728216561838833
2017-12-07,232.56008911132812,146.0523223876953,136.69444274902344,54.94121551513672,37.78656005859375,101.70620727539062,91.51732635498047,118.48999786376953,0.003147972944713473,0.0033818154777964793,0.00696516673271752,0.0025945083991461004,0.0028671564649465076,-0.007862661584683295,-0.0019789733323385406,-0.013246352701112407,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.23384164513407366,0.13876500937275135,0.0,0.435909322944192,0.191484022548983,0.12483935198970171,0.08993847259672404,0.21595276114497677,0.014435888659835073,0.0,0.37017211311145626,0.0,0.1846614124973061,-0.0005164209498517702,-0.002394552718633952,-0.0031178810103887258,1.7889632013605392,1.6088308416119126,1.7228281882388365
2017-12-08,233.82821655273438,146.69715881347656,136.82102966308594,55.233821868896484,38.22758102416992,101.71424102783203,91.40396881103516,118.4800033569336,0.005438089039447647,0.004405387610050937,0.000925628974363768,0.005311675832763818,0.011603786027881924,7.898667525907399e-05,-0.0012394134685482783,-8.435250698735075e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.23384164513407366,0.13876500937275135,0.0,0.435909322944192,0.191484022548983,0.12483935198970171,0.08993847259672404,0.21595276114497677,0.014435888659835073,0.0,0.37017211311145626,0.0,0.1846614124973061,0.0033049735230289423,0.0022958664487980063,0.001365334249720348,1.7948756773747088,1.6125245023629609,1.7251804245706228
2017-12-11,234.5327606201172,147.83506774902344,136.76678466796875,55.376182556152344,38.41896438598633,101.50550842285156,91.47196197509766,118.01000213623047,0.003008553799939584,0.007726927612858425,-0.00039654540872469113,0.002574102887034968,0.0049939304776231985,-0.0020542558383072063,0.0007435988640303037,-0.003974813553107026,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.23384164513407366,0.13876500937275135,0.0,0.435909322944192,0.191484022548983,0.12483935198970171,0.08993847259672404,0.21595276114497677,0.014435888659835073,0.0,0.37017211311145626,0.0,0.1846614124973061,0.0015776873551684445,0.0008579436527132482,-0.0004723645487486176,1.7977074300350024,1.6139079575246076,1.7243655104978606
2017-12-12,234.9467315673828,147.6359100341797,136.3420867919922,55.44736099243164,38.161014556884766,101.46533966064453,91.40396881103516,118.1500015258789,0.0017635320027542534,-0.0013480697596675029,-0.0031101019607211455,0.0012845365485967264,-0.0067367687541586285,-0.000395808197194647,-0.0007435988640303037,0.0011856318079059847,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.23384164513407366,0.13876500937275135,0.0,0.435909322944192,0.191484022548983,0.12483935198970171,0.08993847259672404,0.21595276114497677,0.014435888659835073,0.0,0.37017211311145626,0.0,0.1846614124973061,-0.001012580897064408,-0.000731561769075836,-0.00048175353435921705,1.795887105832838,1.6127272841640752,1.7235347913186512
