t0,proba,signal,ret_next,pnl_net
2022-10-13,0.0,0.0,-0.03224044479955224,-0.0
2022-10-14,0.0,0.0,0.029122958837420443,0.0
2022-10-17,0.0,0.0,0.009409174867900383,0.0
2022-10-18,0.0,0.0,0.0007654405170016698,0.0
2022-10-20,0.0,0.0,0.02705905510576878,0.0
2022-10-21,0.0,0.0,0.014802608556269137,0.0
2022-10-24,0.0,0.0,0.01933791101318927,0.0
2022-10-25,0.0,0.0,-0.01962709466356727,-0.0
2022-10-26,0.0,0.0,-0.030465456583330774,-0.0
2022-10-27,0.0,0.0,0.07555214306266311,0.0
2022-10-28,0.0,0.0,-0.015410088592085813,-0.0
2022-10-31,0.0,0.0,-0.017542589938485564,-0.0
2022-11-01,0.0,0.0,-0.037305346367103365,-0.0
2022-11-02,0.0,0.0,-0.04240481437386845,-0.0
2022-11-03,0.0,0.0,-0.001947389784534903,-0.0
2022-11-07,0.0,0.0,0.004175481615617205,0.0
2022-11-08,0.0,0.0,-0.03319041438434689,-0.0
2022-11-09,0.0,0.0,0.0889746884923297,0.0
2022-11-10,0.0,0.0,0.019268785374738195,0.0
2022-11-11,0.0,0.0,-0.00948554319324979,-0.0
2022-11-14,0.0,0.0,0.011869197451405133,0.0
2022-11-15,0.0,0.0,-0.008331140050526598,-0.0
2022-11-16,0.0,0.0,0.012971464483716888,0.0
2022-11-17,0.0,0.0,0.003781845539801987,0.0
2022-11-18,0.0,0.0,-0.021680354838993443,-0.0
2022-11-21,0.0,0.0,0.014661136274391362,0.0
2022-11-22,0.0,0.0,0.005926543990980582,0.0
2022-11-23,0.0,0.0,0.0,0.0
2022-11-25,0.0,0.0,-0.026264197417616986,-0.0
2022-11-28,0.0,0.0,-0.02114824662843695,-0.0
2022-11-29,0.0,0.0,0.04859403973647858,0.0
2022-11-30,0.0,0.0,0.0018911021610161782,0.0
2022-12-02,0.0,0.0,-0.007983012008070611,-0.0
2022-12-05,0.0,0.0,-0.02536992776625846,-0.0
2022-12-06,0.0,0.0,-0.013784850437458696,-0.0
2022-12-07,0.0,0.0,0.012132705605317318,0.0
2022-12-08,0.0,0.0,-0.0034350837829810743,-0.0
2022-12-09,0.0,0.0,0.016390278861582175,0.0
2022-12-12,0.0,0.0,0.006782250145620727,0.0
2022-12-13,0.0,0.0,-0.015535788499425385,-0.0
2022-12-14,0.0,0.0,-0.046854483814390835,-0.0
2022-12-15,0.0,0.0,-0.014578537861109298,-0.0
2022-12-16,0.0,0.0,-0.01590964048494281,-0.0
2022-12-19,0.0,0.0,-0.0005289702078133951,-0.0
2022-12-21,0.0,0.0,-0.023772705463020127,-0.0
2022-12-22,0.0,0.0,-0.002798026706585688,-0.0
2022-12-27,0.0,0.0,-0.030685270356209826,-0.0
2022-12-28,0.0,0.0,0.028324244331090487,0.0
2022-12-29,0.0,0.0,0.0024690208354412047,0.0
2023-01-03,0.0,0.0,0.010314321003509042,0.0
2023-01-04,0.9999999999999996,1.0,-0.01060481105505795,-0.01110481105505795
2023-01-05,9.433557324817091e-24,0.0,0.036794413917430324,-0.0005
2023-01-06,9.533439339358658e-47,0.0,0.004088930401155544,0.0
2023-01-09,5.326870615696294e-23,0.0,0.004456126651013914,0.0
2023-01-10,8.623887354938386e-49,0.0,0.021112351586790812,0.0
2023-01-11,4.753164856000403e-21,0.0,-0.0005994155148116853,-0.0
2023-01-13,0.0001856283771678329,0.0,0.0,0.0
2023-01-17,1.0751346532564312e-22,0.0,-0.005370135481038485,-0.0
2023-01-18,6.127058766275937e-17,0.0,0.00044392868301157407,0.0
2023-01-20,0.9999999999921467,1.0,0.023500666121199165,0.023000666121199165
2023-01-23,0.9864419742531341,1.0,0.010062970601729893,0.010062970601729893
2023-01-24,1.0,1.0,-0.00470060499783842,-0.00470060499783842
2023-01-25,0.9999999999875313,1.0,0.014803256452447622,0.014803256452447622
2023-01-26,1.0,1.0,0.013684201700977505,0.013684201700977505
2023-01-27,1.0,1.0,-0.02007790542872634,-0.02007790542872634
2023-01-30,1.0,1.0,0.009020792166311464,0.009020792166311464
2023-01-31,1.0,1.0,0.007900645609216994,0.007900645609216994
2023-02-01,0.9999986626343218,1.0,0.03706277440981132,0.03706277440981132
2023-02-02,1.0,1.0,0.024399895718347553,0.024399895718347553
2023-02-03,1.0,1.0,-0.01792889157483013,-0.01792889157483013
2023-02-06,1.0,1.0,0.019244835137221195,0.019244835137221195
2023-02-07,1.0,1.0,-0.017652851010581894,-0.017652851010581894
2023-02-08,0.9999999999982558,1.0,-0.006911551272300476,-0.006911551272300476
2023-02-09,0.9999999999999718,1.0,0.0024562275491539776,0.0024562275491539776
2023-02-13,0.9999969865019644,1.0,-0.004225083086672687,-0.004225083086672687
2023-02-14,0.8524259849614855,1.0,0.013903543123251705,0.013903543123251705
2023-02-15,0.7749231765765913,1.0,-0.010429440041760718,-0.010429440041760718
2023-02-16,1.0,1.0,-0.007546680883725343,-0.007546680883725343
2023-02-17,1.0,1.0,0.0,0.0
2023-02-21,1.0,1.0,0.002895908579610529,0.002895908579610529
2023-02-23,0.9999999999766045,1.0,-0.0180051943947529,-0.0180051943947529
2023-02-24,0.0005137936027581774,0.0,0.008247442222935941,-0.0005
2023-02-27,0.9999999999993774,1.0,-0.003447928652422938,-0.0039479286524229384
2023-02-28,0.9999999999999996,1.0,-0.014245894549900884,-0.014245894549900884
