t0,equity
2022-10-18,1.0
2022-10-20,1.0
2022-10-21,1.0
2022-10-24,1.0
2022-10-25,1.0
2022-10-26,1.0
2022-10-27,1.0
2022-10-28,1.0
2022-10-31,1.0
2022-11-01,1.0
2022-11-02,1.0
2022-11-03,1.0
2022-11-07,1.0
2022-11-08,1.0
2022-11-09,1.0
2022-11-10,1.0
2022-11-11,1.0
2022-11-14,1.0
2022-11-15,1.0
2022-11-16,1.0
2022-11-17,1.0
2022-11-18,1.0
2022-11-21,1.0
2022-11-22,1.0
2022-11-23,1.0
2022-11-25,1.0
2022-11-28,1.0
2022-11-29,1.0
2022-11-30,1.0
2022-12-02,1.0
2022-12-05,1.0
2022-12-06,1.0
2022-12-07,1.0
2022-12-08,1.0
2022-12-09,1.0
2022-12-12,1.0
2022-12-13,1.0
2022-12-14,1.0
2022-12-15,1.0
2022-12-16,1.0
2022-12-19,1.0
2022-12-21,1.0
2022-12-22,1.0
2022-12-27,1.0
2022-12-28,1.0
2022-12-29,1.0
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,1.0
2023-01-06,1.0
2023-01-09,1.0
2023-01-10,1.0
2023-01-11,1.0
2023-01-13,1.0
2023-01-17,1.0
2023-01-18,1.0
2023-01-20,1.0
2023-01-23,1.0
2023-01-24,1.0
2023-01-25,1.0
2023-01-26,1.0
2023-01-27,1.0
2023-01-30,1.0
2023-01-31,1.0
2023-02-01,1.0
2023-02-02,1.0
2023-02-03,1.0
2023-02-06,1.0
2023-02-07,1.0
2023-02-08,1.0
2023-02-09,1.0
2023-02-13,1.0
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,1.0
2023-02-17,1.0
2023-02-21,1.0
2023-02-23,1.0
2023-02-24,1.0
2023-02-27,1.0
2023-02-28,1.0
2023-03-01,1.0
2023-03-02,1.0
2023-03-03,1.0
2023-03-06,1.0
2023-03-07,1.0
2023-03-08,1.0
2023-03-09,1.0
2023-03-10,1.0
2023-03-13,1.0
2023-03-14,1.0
2023-03-16,1.0
2023-03-17,1.0
2023-03-20,1.0
2023-03-21,1.0
2023-03-22,1.0
2023-03-23,1.0
2023-03-24,1.0
2023-03-27,1.0
2023-03-28,1.0
2023-03-29,1.0
2023-03-30,1.0
2023-03-31,1.0
2023-04-03,1.0
2023-04-04,1.0
2023-04-05,1.0
2023-04-06,1.0
2023-04-10,1.0
2023-04-11,1.0
2023-04-12,1.0
2023-04-13,1.0
2023-04-18,1.0
2023-04-19,1.0
2023-04-20,1.0
2023-04-21,1.0
2023-04-25,1.0
2023-04-27,1.0
2023-04-28,1.0
2023-05-02,1.0
2023-05-03,1.0
2023-05-04,1.0
2023-05-05,1.0
2023-05-09,1.0
2023-05-10,1.0
2023-05-12,1.0
2023-05-17,1.0029744771032072
2023-05-18,1.0028611821337605
2023-05-22,1.0028611821337605
2023-05-23,1.0028611821337605
2023-05-25,1.0028611821337605
2023-05-26,1.0028611821337605
2023-05-30,1.0028611821337605
2023-06-01,1.0028611821337605
2023-06-02,1.0015198892388386
2023-06-05,1.0014369090140427
2023-06-07,1.0014369090140427
2023-06-08,1.0014369090140427
2023-06-12,1.0014369090140427
2023-06-14,1.0014369090140427
2023-06-15,1.0014369090140427
2023-06-16,1.0014369090140427
2023-06-21,1.0014369090140427
2023-06-22,1.0004222199401454
2023-06-26,1.0001930202136013
2023-06-27,1.0001930202136013
2023-06-28,1.0001930202136013
2023-06-30,0.9968963166842029
2023-07-03,0.9968952130779155
2023-07-05,0.9966957998699458
2023-07-07,0.993783672470477
2023-07-10,0.9936558237905544
2023-07-12,0.9936558237905544
2023-07-13,0.9937781164818934
2023-07-17,0.9935652771014964
2023-07-19,0.9919795882725705
2023-07-20,0.9893907622009029
2023-07-21,0.9911105206399282
2023-07-24,0.9930534316161806
2023-07-25,0.995034582082021
2023-07-26,0.9960545205656355
2023-07-27,1.0023016510211538
2023-07-28,1.0002188066407272
2023-07-31,0.999968751939067
2023-08-01,1.0068020510343452
2023-08-02,1.0100963358121051
2023-08-03,0.9962741108166303
2023-08-04,1.0006714415459756
2023-08-07,0.9992373964324673
2023-08-08,0.9991027034821373
2023-08-09,0.9993045176013147
2023-08-14,1.002478071112719
2023-08-15,1.0007498379448205
2023-08-16,0.9965696927040101
2023-08-17,0.9964267446762751
2023-08-21,0.9964267446762751
2023-08-22,1.001929721479922
2023-08-23,1.0018007317072266
2023-08-24,0.9985861065228122
2023-08-25,1.0004734115243519
2023-08-28,1.005399787069719
2023-08-29,1.0096514485975183
2023-08-30,1.0095400285990253
2023-09-01,1.0095039803988792
2023-09-06,1.0024983008316692
2023-09-07,1.002381974002982
2023-09-08,1.002381974002982
2023-09-11,1.0048485938572347
2023-09-12,1.0019600004531428
2023-09-13,1.0018464477155784
2023-09-14,1.0013696362962032
2023-09-15,1.0013184329802234
2023-09-18,1.0013184329802234
2023-09-19,1.0057598788132809
2023-09-20,1.0033689762463671
2023-09-21,1.0044045886322597
2023-09-22,1.0062087319689443
2023-09-25,1.000341025403466
2023-09-26,1.0002164069369661
2023-09-27,1.0004882868817624
2023-09-29,1.004300851830085
2023-10-02,1.0041717320706245
2023-10-03,1.0041717320706245
2023-10-04,1.0041717320706245
2023-10-05,1.008714827341603
2023-10-06,1.0057028533615446
2023-10-09,1.0055440280260295
2023-10-10,1.0026467616023496
2023-10-11,1.0008902169391825
2023-10-12,1.0007171377546356
2023-10-13,1.0007171377546356
2023-10-17,1.0016133676161845
2023-10-18,1.0015483173242279
2023-10-20,1.0010911698931988
2023-10-24,1.0008998554777113
2023-10-25,1.0008998554777113
2023-10-26,0.9978357203480493
2023-10-27,1.0019903950347906
2023-10-30,1.0030380033954476
2023-11-01,1.0096799186916041
2023-11-02,1.0110900332976474
2023-11-03,1.0063094342827534
2023-11-06,1.0052260725243933
2023-11-07,1.0051931123452507
2023-11-08,1.005865185424383
2023-11-10,1.0057069088214643
2023-11-13,1.0057069088214643
2023-11-14,1.0057069088214643
2023-11-15,1.008256237904233
2023-11-16,1.0081756446691512
2023-11-20,1.0080881700102269
2023-11-21,1.007654344032337
2023-11-22,1.0076003340672708
2023-11-24,1.0077785931406391
2023-11-28,1.0075794137718457
2023-11-29,1.0059827939717887
2023-11-30,1.0028562296405246
2023-12-01,0.998137151186074
2023-12-04,0.9979129096871984
2023-12-05,0.9979129096871984
2023-12-06,0.9935738013205779
2023-12-07,0.9933707695845818
2023-12-08,0.9933707695845818
2023-12-11,0.9968323256635533
2023-12-12,0.9965982559619544
2023-12-13,0.9965982559619544
2023-12-18,0.9986990155297033
2023-12-19,0.9942579625064292
2023-12-20,0.9940520805617897
2023-12-22,0.9938448063941188
2023-12-29,0.9936375754460953
2024-01-02,0.9936375754460953
2024-01-03,0.9979437688358143
2024-01-04,0.9977665228742918
2024-01-05,1.0053090169615257
2024-01-08,1.0045649348716268
2024-01-10,1.0034262805942173
2024-01-11,1.0024597421907737
2024-01-16,1.0022861162388759
2024-01-17,1.0022861162388759
2024-01-18,1.0022861162388759
2024-01-19,1.0034323823613391
