t0,proba_side,proba_meta,side,meta_gate,kelly_unsigned,pos_voltgt,ret_next,pnl_net
2022-10-18,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0007654404344690224,0.0
2022-10-20,0.0,0.0,-1.0,0.0,-0.5,0.0,0.027059169050058562,0.0
2022-10-21,0.0,0.0,-1.0,0.0,-0.5,0.0,0.014802925853812487,0.0
2022-10-24,0.0,0.0,-1.0,0.0,-0.5,0.0,0.019337492156832337,0.0
2022-10-25,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.019627098657439168,-0.0
2022-10-26,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.030465566687540413,-0.0
2022-10-27,0.0,0.0,-1.0,0.0,-0.5,0.0,0.07555259549176152,0.0
2022-10-28,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.015410186581082508,-0.0
2022-10-31,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.017542893179433805,-0.0
2022-11-01,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.037304740570286654,-0.0
2022-11-02,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.04240501452230916,-0.0
2022-11-03,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.001947501171848831,-0.0
2022-11-07,0.0,0.0,-1.0,0.0,-0.5,0.0,0.004175147452333494,0.0
2022-11-08,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.033190092655347225,-0.0
2022-11-09,0.0,0.0,-1.0,0.0,-0.5,0.0,0.08897457375970874,0.0
2022-11-10,0.0,0.0,-1.0,0.0,-0.5,0.0,0.01926899812167049,0.0
2022-11-11,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.009485748946022166,-0.0
2022-11-14,0.0,0.0,-1.0,0.0,-0.5,0.0,0.01186930304656375,0.0
2022-11-15,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.008330933785685835,-0.0
2022-11-16,0.0,0.0,-1.0,0.0,-0.5,0.0,0.012971149789199554,0.0
2022-11-17,0.0,0.0,-1.0,0.0,-0.5,0.0,0.003781948595190432,0.0
2022-11-18,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.0216802525586951,-0.0
2022-11-21,0.0,0.0,-1.0,0.0,-0.5,0.0,0.014661030194713431,0.0
2022-11-22,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0059264409546970764,0.0
2022-11-23,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0
2022-11-25,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.026264299149938997,-0.0
2022-11-28,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.02114824662843695,-0.0
2022-11-29,0.0,0.0,-1.0,0.0,-0.5,0.0,0.04859382051162031,0.0
2022-11-30,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0018914161547261,0.0
2022-12-02,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.007983220549069525,-0.0
2022-12-05,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.025369719381889033,-0.0
2022-12-06,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.013785282056135162,-0.0
2022-12-07,0.0,0.0,-1.0,0.0,-0.5,0.0,0.012132929184158314,0.0
2022-12-08,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.003434975680402519,-0.0
2022-12-09,0.0,0.0,-1.0,0.0,-0.5,0.0,0.016389952314300515,0.0
2022-12-12,0.0,0.0,-1.0,0.0,-0.5,0.0,0.006782680699956689,0.0
2022-12-13,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.01553599959153018,-0.0
2022-12-14,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.04685427277502141,-0.0
2022-12-15,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.014578876296073906,-0.0
2022-12-16,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.015909529105732068,-0.0
2022-12-19,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.0005287364706355602,-0.0
2022-12-21,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.023772928513965175,-0.0
2022-12-22,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.00279790968330218,-0.0
2022-12-27,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.030685329857805477,-0.0
2022-12-28,0.0,0.0,-1.0,0.0,-0.5,0.0,0.02832436884022327,0.0
2022-12-29,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0024688416048104234,0.0
2023-01-03,0.0,0.0,-1.0,0.0,-0.5,0.0,0.010314321003509042,0.0
2023-01-04,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.010604688595534428,-0.0
2023-01-05,0.0,0.0,-1.0,0.0,-0.5,0.0,0.03679403804704484,0.0
2023-01-06,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0040888119977959825,0.0
2023-01-09,0.0,0.0,-1.0,0.0,-0.5,0.0,0.004456366027419945,0.0
2023-01-10,0.0,0.0,-1.0,0.0,-0.5,0.0,0.02111235408577583,0.0
2023-01-11,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.0005992996655977967,-0.0
2023-01-13,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0
2023-01-17,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.005370249310563069,-0.0
2023-01-18,0.0,0.0,-1.0,0.0,-0.5,0.0,0.0004439287338164899,0.0
2023-01-20,0.0,0.0,-1.0,0.0,-0.5,0.0,0.023500436373823375,0.0
2023-01-23,0.0,0.0,-1.0,0.0,-0.5,0.0,0.010063080260760415,0.0
2023-01-24,0.0,0.0,-1.0,0.0,-0.5,0.0,-0.004700713054027195,-0.0
2023-01-25,0.0,0.0,-1.0,0.0,-0.5,0.0,0.014803038293913051,0.0
2023-01-26,0.0,0.0,-1.0,0.0,-0.5,0.0,0.01368452710710577,0.0
