feature,mean_importance,std_importance
r1,0.03047889610389608,0.011735151394962173
rsi14,0.02968073593073591,0.016190214849327193
mom10,0.025257034632034592,0.01904986239587259
r5,0.02333603896103893,0.02230787582135527
vol10,0.003760822510822473,0.02412835948898809
z20,-0.004166666666666705,0.017504470324043304
r10,-0.007602813852813889,0.010801149101855038
mom5,-0.008414502164502204,0.01231340056765297
fracdiff,-0.045055465367965404,0.022535721774817264
vol20,-0.052123917748917795,0.041956973689677456
