feature,mean_importance,std_importance
rsi14,0.04017537122375839,0.02152237166904266
r1,0.03809523809523813,0.02783857118459018
vol20,0.030286738351254543,0.014348136748454955
vol10,0.02393753200204818,0.019151925094247308
z20,0.017972350230414803,0.029204905712237352
mom5,0.004326676907322124,0.011995098507154776
r5,-0.0018817204301074808,0.014392647107906867
mom10,-0.002291346646185283,0.012267292978186552
fracdiff,-0.002982590885816633,0.01696294997915827
r10,-0.03154121863799279,0.012399389197511997
