Date,cum_contrib_AAPL,cum_contrib_AMZN,cum_contrib_MSFT,cum_contrib_NVDA
2020-10-22,-0.002395831271037513,-0.0006703214352136999,0.00010472300376546118,-0.003026862409262393
2020-10-23,-0.00392930515502285,0.0015334215315436495,0.0016637462728269492,0.0012627197645244392
2020-10-26,-0.003907607002001018,0.0017393942302922072,-0.0054467525704741115,-0.006996898369945909
2020-10-27,-0.0005394698747575866,0.007920316005686961,-0.0016744210793607217,-0.002136264859037479
2020-10-28,-0.012117501981624507,-0.0014784514902451973,-0.0140659761064299,-0.016500756957759072
2020-10-29,-0.0028549439524343245,0.0023338574721641636,-0.011549687728070746,-0.00864063056755851
2020-10-30,-0.016859444441965438,-0.01128025633570856,-0.014297351577338191,-0.018046296677318635
2020-11-02,-0.017066138319092983,-0.013887993345873345,-0.014470270507834615,-0.017113885382223
2020-11-03,-0.013227735164030863,-0.010232614212336594,-0.009404230712885375,-0.008395180518891016
2020-11-04,-0.003018576733598677,0.005574801522724743,0.0026579827661081246,0.0064815996287432565
2020-11-05,0.005854847229940896,0.011810234947455617,0.01062969432178873,0.013110222480842842
2020-11-06,0.005570843499542011,0.011010250931978188,0.01111112815218318,0.02020770164842431
2020-11-09,0.0005788313654535304,-0.0016453876873658013,0.005154992353866156,0.004219975002981824
2020-11-10,-0.00017339355430745496,-0.010291124138706864,-0.0032931364870121826,-0.011566924607653822
2020-11-11,0.007414768103310543,-0.0018587258068157864,0.0032704910183877778,0.0011190515036259285
2020-11-12,0.006828920281156642,-0.0040189596453077125,0.001989044890016306,0.001841035498319571
2020-11-13,0.006933780522126981,-0.002529546524951548,0.003230685936309957,-0.0011267841868237982
2020-11-16,0.009113896707014096,-0.002349785228056206,0.004062018468220158,0.002976562437894209
2020-11-17,0.0072228169150972965,-0.001982479913761853,0.0008741911196805119,0.001256297418699509
2020-11-18,0.004374938587566463,-0.004390281971021398,-0.0024217432971869735,0.0013773472029087463
2020-11-19,0.005667020087760183,-0.0034596582497077033,-0.0008346824582129986,0.001591441434716484
2020-11-20,0.0029276541502469555,-0.004872861751501506,-0.00322381264998603,-0.004965335951110511
2020-11-23,-0.004507970453430071,-0.004954339765631727,-0.0035565170387416856,-0.003967290089094161
2020-11-24,-0.0016094572552340092,-0.0033672166418129146,0.0009053964682464721,-0.007434730798988404
2020-11-25,0.0002573180066709757,0.0020055061207205627,0.0009171045266414268,-0.0020904685474743834
2020-11-27,0.0014639030617314697,0.0028116172059085287,0.0025068953403389604,-0.001589904993358232
2020-11-30,0.006738824974559937,0.00067568564969675,0.0011594706979621838,0.0010540908551917305
2020-12-01,0.014445706704310918,0.004782333803112687,0.003658662874523988,0.0008396148241150425
2020-12-02,0.0151790392167159,0.003497428768235361,0.002687417250910512,0.003724212692122697
2020-12-03,0.014894675192085788,0.0021863807271483293,0.0013756727683810477,0.0010562683652616534
2020-12-04,0.013491552618619757,0.00029179873128670764,0.0015156979936661041,0.004084246011357012
2020-12-07,0.016559036691797452,-7.025362696524984e-05,0.0014340623364550165,0.004978532894272442
2020-12-08,0.017831778275429505,0.0014568332855157962,0.0034406963539939384,0.0002612202456314383
2020-12-09,0.012605836966094852,-0.004294129318351686,-0.0014317300153967316,-0.007589919137343304
2020-12-10,0.01560303877405056,-0.004512403430525863,-0.002942595137106402,-0.00678761047632942
2020-12-11,0.013919368630448264,-0.0033089403062910028,0.0003112194394943313,-0.005997396574344338
2020-12-14,0.012632678706361089,-5.6014915924801345e-05,0.0014131799739638684,-0.00032051829614143656
2020-12-15,0.025155232664030525,0.0005893843630724038,0.0013315018711277937,0.0006516287575507596
2020-12-16,0.0250184027715529,0.0065796904577273,0.007344189186184735,-0.0015563925334197426
2020-12-17,0.026759279540732622,0.006203253708046641,0.007503742862958684,0.0003078474792900521
2020-12-18,0.022796570777628394,0.003543405105818076,0.006558081079833106,-0.0009898143639467116
2020-12-21,0.025895446672436623,0.0038971312451503426,0.011132867673660146,0.0001450568503901517
2020-12-22,0.033011558162025084,0.003923639879112373,0.012649147154693424,-0.0008674993776286444
2020-12-23,0.03126755954893576,0.0022668593611305243,0.009389365417338646,-0.0059321800520436285
2020-12-24,0.03319567110330371,0.001279505405539838,0.011346136556445507,-0.0062300220346233615
2020-12-28,0.0421370410058495,0.010047288584720149,0.013826573846215162,-0.008033851338402426
2020-12-29,0.03880832918083718,0.012943194867477692,0.012926320448088002,-0.007195621893084231
2020-12-30,0.03667666752044238,0.010222679651406441,0.010171506777960915,-0.0032843344841669564
2020-12-31,0.034751024120803026,0.008022336995607587,0.011006033221034162,-0.005010128519649354
2021-01-04,0.02857112724211755,0.002626151840531471,0.0056894950964099245,-0.003889887948847509
2021-01-05,0.031662114702704997,0.005127241435970015,0.005930692204027865,0.0016626274412608055
2021-01-06,0.023246736359933906,-0.0010969121009573313,-0.0005516241391139154,-0.013075608922126503
2021-01-07,0.03177756932151332,0.0007973698426427533,0.006562615520119275,0.0013819282976472724
2021-01-08,0.033935328883021476,0.0024212484363110576,0.00808580433932582,0.00012199699752316051
2021-01-11,0.02812312424498628,-0.0029586171336903333,0.005661169935253535,0.00661360993941193
2021-01-12,0.02777427668035387,-0.0024271678708400746,0.002718530638637806,0.004103819268769848
2021-01-13,0.031830961173957895,0.0011824338477031127,0.004358600261054557,0.004975145395008429
2021-01-14,0.028049126042348604,-0.001851452445591234,0.0005221011121996355,-0.0011493666744052389
2021-01-15,0.024616503995724348,-0.0037076024770019422,8.779100491024261e-05,-0.007602841201763216
