,AAPL,AMZN,MSFT,NVDA,ret_AAPL,ret_AMZN,ret_MSFT,ret_NVDA,ret_port,wealth,cum_simple,cum_simple_via_log,drawdown
2020-10-22,112.59207916259766,158.82000732421875,206.04196166992188,13.320337295532227,-0.009583325084150052,-0.0026812857408547996,0.0004188920150618447,-0.012107449637049572,-0.005988292111748145,0.9940117078882519,0.0,-0.0059882921117481456,0.0
2020-10-23,111.90145111083984,160.22000122070312,207.3268585205078,13.5488920211792,-0.006133895535941347,0.008814971867029398,0.006236093076245952,0.01715832869514733,0.006518874525620333,1.0004915454889731,0.006518874525620388,0.0004915454889729397,0.0
2020-10-26,111.91116333007812,160.3520050048828,201.43006896972656,13.10125732421875,8.679261208732747e-05,0.0008238907949942309,-0.028441995373204243,-0.03303847253788139,-0.015142446126001019,0.9853416561618868,-0.008722283306686895,-0.014658343838113331,-0.015142446126001019
2020-10-27,113.41889190673828,164.31649780273438,204.46951293945312,13.355978965759277,0.013472548508973725,0.024723687101579017,0.01508932596445356,0.01944253404363372,0.018182023904660005,1.0032571617084796,0.009301151834387733,0.003257161708479373,0.0
2020-10-28,108.16622161865234,158.13900756835938,194.33473205566406,12.588571548461914,-0.04631212842746768,-0.037595069983728635,-0.049566220108276715,-0.05745796839488637,-0.04773284672858985,0.9553688413792887,-0.03887566534911224,-0.044631158620711556,-0.047732846728589795
2020-10-29,112.1738052368164,160.55050659179688,196.29074096679688,12.984362602233887,0.03705023211676073,0.015249235849637444,0.01006515351343662,0.031440505560802245,0.02345128176015926,0.9777734652633513,-0.01633606777066865,-0.02222653473664896,-0.025400961406277123
2020-10-30,105.89005279541016,151.8074951171875,194.1333770751953,12.495856285095215,-0.05601800195812445,-0.0544564552314909,-0.010990655397069782,-0.0376226644390405,-0.03977194425643141,0.9388855135074795,-0.055458294850355805,-0.06111448649252073,-0.06416266004159832
2020-11-02,105.80250549316406,150.2239990234375,193.9990997314453,12.542461395263672,-0.0008267755085101802,-0.010430948040659138,-0.0006916757219856962,0.003729645180382546,-0.002054938522693117,0.9369561614973745,-0.05739926998655798,-0.06304383850262575,-0.0660857482424535
2020-11-03,107.42695617675781,152.42050170898438,197.93032836914062,12.979877471923828,0.01535361262024848,0.014621516534147005,0.02026415917979696,0.03487481945332793,0.021278526946880094,0.9568932084278416,-0.03734211495281814,-0.04310679157215854,-0.04621342867035527
2020-11-04,111.81391143798828,162.05799865722656,207.48023986816406,13.752272605895996,0.04083663372172874,0.06322966294024535,0.048248853915974,0.05950712059053709,0.052955567792121294,1.0075660315965627,0.013635979939417897,0.007566031596562467,0.0
2020-11-05,115.78260040283203,166.10000610351562,214.09613037109375,14.116907119750977,0.03549369585415829,0.024941733698923496,0.03188684622272242,0.026514491408398344,0.029709191796050638,1.0375000040764506,0.04375028567881589,0.03750000407645036,0.0
2020-11-06,115.65106964111328,165.56849670410156,214.5084228515625,14.517684936523438,-0.0011360149215955406,-0.003199936061909714,0.001925735321577804,0.028389916670325865,0.006494925252099604,1.0442384890519802,0.05052936576615741,0.04423848905197993,0.0
2020-11-09,113.34174346923828,157.18699645996094,209.39785766601562,13.589265823364258,-0.019968048536353922,-0.05062255447737596,-0.0238245431932681,-0.06395090658176994,-0.03959151319719198,1.002895507131663,0.008937318517388881,0.002895507131662661,-0.03959151319719201
2020-11-10,113.0007095336914,151.75100708007812,202.32177734375,12.731136322021484,-0.0030088996790439415,-0.03458294580536425,-0.033792515363513353,-0.06314759844254259,-0.03363298982261603,0.9691651327471564,-0.024996260047963847,-0.030834867252843894,-0.0718929220593848
2020-11-11,116.43058013916016,156.8695068359375,207.63363647460938,13.377163887023926,0.03035264663047199,0.03372959332756431,0.02625451002159984,0.050743904445119004,0.03527016360618879,1.0033477455405622,0.009392281376790157,0.0033477455405619755,-0.03915843357635773
2020-11-12,116.1577377319336,155.51400756835938,206.56935119628906,13.415796279907227,-0.002343391288615604,-0.008640935353967705,-0.005125784513485887,0.0028879359787745695,-0.0033055437943236565,1.000031135626742,0.006055690985047102,3.113562674173933e-05,-0.042334537453577514
2020-11-13,116.20645904541016,156.4405059814453,207.5952911376953,13.2565336227417,0.00041944096388135677,0.005957652481424658,0.0049665641851746045,-0.011871278740573477,-0.00013190527752321435,0.9998992262422652,0.005922986929923768,-0.00010077375773496126,-0.042460858582189176
2020-11-16,117.21983337402344,156.55299377441406,208.28561401367188,13.47411823272705,0.008720464739548461,0.0007190451875813686,0.003325330127640802,0.01641338649887203,0.007294556638410665,1.0071930477807924,0.0132607491319634,0.007193047780792241,-0.03547603508162178
2020-11-17,116.33314514160156,156.7830047607422,205.62969970703125,13.381402015686035,-0.0075643191676671995,0.001469221257177411,-0.012751309394158583,-0.0068810600767788,-0.006431866845356793,1.0007149162098974,0.006743590913920183,0.000714916209897104,-0.04167972479313231
2020-11-18,115.0079345703125,155.2729949951172,202.91873168945312,13.3878812789917,-0.011391513310123336,-0.00963120822903818,-0.013183737667469941,0.00048419913683694915,-0.008430565017448627,0.9922783240448592,-0.0017438263851793367,-0.007721675955141089,-0.04975890618080314
2020-11-19,115.60233306884766,155.8509979248047,204.2069091796875,13.399346351623535,0.005168326000774881,0.003722494885254779,0.0063482433558958995,0.0008563769272309507,0.0040238602922891276,0.9962711133918825,0.0022730169933617983,-0.0037288866081177765,-0.045935268775282645
