Date,port_ret,port_ret_tc,equity,equity_tc,turnover,tc_cost,avg_corr,alpha_minvar,port_vol_ann_pre_scale,leverage,ret_SPY,w_SPY,ret_QQQ,w_QQQ,ret_IWM,w_IWM,ret_EFA,w_EFA,ret_EEM,w_EEM,ret_TLT,w_TLT,ret_LQD,w_LQD,ret_GLD,w_GLD
2010-01-05,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.0026469627026699527,0.0,0.0,0.0,-0.0034381462825070486,0.0,0.0008814392717246822,0.0,0.007258504798938636,0.0,0.0064582104786310435,0.0,0.0047756487680841175,0.0,-0.0009108023746454696,0.0
2010-01-06,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.0007041836288192993,0.0,-0.006031487031127103,0.0,-0.0009412010674606508,0.0,0.00422705462018258,0.0,0.002091856288876315,0.0,-0.013386999192258497,0.0,-0.0029482467716985816,0.0,0.01649959196299955,0.0
2010-01-07,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.004220880312747033,0.0,0.0006495922495102224,0.0,0.007378487746922291,0.0,-0.0038586491968752856,0.0,-0.005798984496389492,0.0,0.0016819650723762791,0.0,0.0012394613867310333,0.0,-0.006187807624317698,0.0
2010-01-08,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.0033282030491539327,0.0,0.008230233079479232,0.0,0.005454437768521059,0.0,0.007922644834535975,0.0,0.007932721306989743,0.0,-0.00044749718572800745,0.0,0.0021904324880928083,0.0,0.0049630306196752905,0.0
2010-01-11,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.0013965464479790413,0.0,-0.004081430466085778,0.0,-0.004029860074038383,0.0,0.008209574070281,0.0,-0.0020833855256739975,0.0,-0.005487644551459114,0.0,0.0010452916218965935,0.0,0.01328899785435711,0.0
2010-01-12,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.009326252613712893,0.0,-0.012510635690417327,0.0,-0.01089315483507336,0.0,-0.011780980542475894,0.0,-0.016005580224380145,0.0,0.017116400119295605,0.0,0.0018982817727533075,0.0,-0.020912721685971136,0.0
2010-01-13,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.008446544305598547,0.0,0.012450996793144098,0.0,0.012901224458711225,0.0,0.008415255726010429,0.0,0.003064925596301782,0.0,-0.01162462128536823,0.0,-0.004168886791195425,0.0,0.00950315025847348,0.0
2010-01-14,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.0027039475529000434,0.0,0.0008630503234476894,0.0,0.0037278131056457386,0.0,0.007649269098478184,0.0,-0.0025852925139202565,0.0,0.014002149752630366,0.0,0.0036151337997163413,0.0,0.004393023666376061,0.0
2010-01-15,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.011223921688292893,0.0,-0.011640518237939546,0.0,-0.014546728734386893,0.0,-0.015700211257048347,0.0,-0.011545694080912217,0.0,0.006187182135219738,0.0,-0.00037902384255183996,0.0,-0.01044361493969348,0.0
2010-01-19,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.012495659463547248,0.0,0.016139639052183963,0.0,0.01837324934354201,0.0,0.00981591695443007,0.0,0.02026216008724413,0.0,-0.0028550528005221176,0.0,0.0008532720168543673,0.0,0.005953418988644765,0.0
2010-01-20,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.010168969983029297,0.0,-0.014380519003574732,0.0,-0.014495209812612986,0.0,-0.025516617930595786,0.0,-0.024065347121807967,0.0,0.010129398657357402,0.0,-0.0006627682345462516,0.0,-0.02313481240425197,0.0
2010-01-21,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.01922923870550075,0.0,-0.009364595046873592,0.0,-0.01642936682195728,0.0,-0.021375034260908032,0.0,-0.030165306350119714,0.0,0.00457879244736481,0.0,0.0026539910552008106,0.0,-0.01441159959280014,0.0
2010-01-22,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.022291206863608748,0.0,-0.02923708747583309,0.0,-0.017976276035249095,0.0,-0.019475870916241256,0.0,-0.022216834048075618,0.0,-0.0017364571121253336,0.0,-0.001512689736133055,0.0,-0.001862760291706178,0.0
2010-01-25,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.0051274843186062125,0.0,0.0033972644188917656,0.0,0.0011338078591585088,0.0,0.01225183400667107,0.0,0.007321537319084248,0.0,-0.004564936174606515,0.0,-9.42961209730031e-05,0.0,0.002892648999579084,0.0
2010-01-26,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.004190606944344588,0.0,0.0009022894704895368,0.0,-0.009870458125227133,0.0,-0.00568498252716465,0.0,-0.020801963243434196,0.0,0.00032745900673436523,0.0,-0.0026518054839684835,0.0,0.0007442705541653716,0.0
2010-01-27,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.004757252052271621,0.0,0.007891770679905763,0.0,0.01062257351915874,0.0,-0.0011068262543919571,0.0,-0.0025594217264630625,0.0,-0.0005458269895793899,0.0,-0.003608415501102913,0.0,-0.009576039444736728,0.0
2010-01-28,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.011472684131558442,0.0,-0.025727449791989043,0.0,-0.017140758717490767,0.0,-0.016801667061787984,0.0,-0.006928306574798926,0.0,-0.0005461907430978075,0.0,-0.00142936753692946,0.0,-0.0004693083914030227,0.0
2010-01-29,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.01086799085003276,0.0,-0.017450842781456588,0.0,-0.011023680469982033,0.0,-0.01446017129353283,0.0,-0.01085282151821354,0.0,0.008742053798244775,0.0,0.0063935520612297125,0.0,-0.004883586176437471,0.0
2010-02-01,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.015550623884874604,0.0,0.010983940291491967,0.0,0.011811862979904442,0.0,0.018292455846422362,0.0,0.026907191951835774,0.0,-0.009076743267407483,0.0,-0.00445614248362991,0.0,0.02255567582388429,0.0
2010-02-02,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.012103581737223257,0.0,0.009015109291555579,0.0,0.011015887899280541,0.0,0.016654613695187503,0.0,0.008139874662731694,0.0,0.0028522148488427934,0.0,0.003157017325654099,0.0,0.007198881313165595,0.0
2010-02-03,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.004982932940293283,0.0,0.005498308637628346,0.0,-0.006667498982923847,0.0,-0.010491663936202711,0.0,-0.00580335522937292,0.0,-0.01159603554541988,0.0,-0.0010489412547717292,0.0,-0.003940257637661704,0.0
2010-02-04,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.030865506461889347,0.0,-0.02893612932488021,0.0,-0.0333989725059991,0.0,-0.04073661631288006,0.0,-0.04517780870431409,0.0,0.01582618502434463,0.0,-9.5945938437203e-05,0.0,-0.03983435439949368,0.0
2010-02-05,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.0020665522212364174,0.0,0.008446626687674375,0.0,0.00389596362347433,0.0,-0.0017452011076172225,0.0,-0.011164107620137753,0.0,0.002179882934509436,0.0,-0.0030554444335386677,0.0,0.002970178695371306,0.0
2010-02-08,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.007219109537325408,0.0,-0.007212604769882391,0.0,-0.009954338132620033,0.0,-0.019813230627534817,0.0,-0.00994632516827354,0.0,0.0013046940260958984,0.0,0.000957631218972077,0.0,-0.006113864996012963,0.0
2010-02-09,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.012559564599973205,0.0,0.0103121062892928,0.0,0.013803584855836215,0.0,0.031509685429565115,0.0,0.032582178763287395,0.0,-0.00998968585036053,0.0,-0.002296116093080114,0.0,0.01316803858637372,0.0
2010-02-10,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.001958187755293439,0.0,-0.00208808645698888,0.0,0.00235299876231565,0.0,-0.006339827347352611,0.0,-0.002629622478391158,0.0,-0.009541059342090707,0.0,-0.007766934211491328,0.0,-0.002751170718643947,0.0
2010-02-11,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.010466180094398814,0.0,0.015110130587414172,0.0,0.015931787185506252,0.0,0.009280743545169612,0.0,0.02636444003417826,0.0,-0.005425800274029835,0.0,0.002318826436125798,0.0,0.019120951810489784,0.0
2010-02-12,0.0,0.0,1.0,1.0,0.0,0.0,,,,,-0.0008324550579286161,0.0,0.0020603051849641396,0.0,0.007262917180567596,0.0,-0.00862069065445037,0.0,-0.012586946866894877,0.0,0.004118997225543097,0.0,0.0011574161689003049,0.0,-0.0008400666498453724,0.0
2010-02-16,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.015735322629716553,0.0,0.012797437026373482,0.0,0.016879794485023858,0.0,0.0222220299468614,0.0,0.025754656943139942,0.0,0.0018855819869461055,0.0,0.003949216518515319,0.0,0.02410315591356116,0.0
2010-02-17,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.004738518115491086,0.0,0.005640806967348144,0.0,0.006769059744972328,0.0,0.0013232899488526684,0.0,0.003550878317590156,0.0,-0.011399409015301343,0.0,-0.0033586305149988505,0.0,-0.0033753214496573536,0.0
2010-02-18,0.0,0.0,1.0,1.0,0.0,0.0,,,,,0.005894937206463391,0.0,0.006282034624221389,0.0,0.008163707901116313,0.0,0.00566335620737668,0.0,0.0037904872899008346,0.0,-0.00402932365777009,0.0,-0.0006734686259578515,0.0,0.006681952923877299,0.0
