T,K,iv
0.005479452054794521,170.0,1.819325129543305
0.005479452054794521,175.0,1.8286711359748842
0.005479452054794521,180.0,2.137854671702862
0.005479452054794521,185.0,1.557064744983673
0.005479452054794521,190.0,2.000904683071137
0.005479452054794521,195.0,1.6385728883194925
0.005479452054794521,205.0,1.3838799079470632
0.005479452054794521,210.0,1.1228092318592071
0.005479452054794521,215.0,1.0290511443791392
0.005479452054794521,217.5,0.8647235557847025
0.005479452054794521,220.0,0.9218975117113593
0.005479452054794521,222.5,0.7573386571414471
0.005479452054794521,225.0,0.5725106511230469
0.005479452054794521,227.5,0.843217608204484
0.005479452054794521,230.0,0.6418439521520136
0.005479452054794521,232.5,0.4274782742762566
0.005479452054794521,235.0,0.5100074449728726
0.005479452054794521,237.5,0.49713463241529454
0.005479452054794521,240.0,0.453328207498908
0.005479452054794521,242.5,0.4224437689622045
0.005479452054794521,245.0,0.40395053754961496
0.005479452054794521,247.5,0.3905898610721231
0.005479452054794521,250.0,0.38189563130080706
0.005479452054794521,252.5,0.3787762228403688
0.005479452054794521,255.0,0.38085553045749665
0.005479452054794521,257.5,0.38806292266225806
0.005479452054794521,260.0,0.4028556004440785
0.005479452054794521,262.5,0.4199239831082821
0.005479452054794521,265.0,0.43664546680927274
0.005479452054794521,267.5,0.4740199557943344
0.005479452054794521,270.0,0.5056986260638235
0.005479452054794521,272.5,0.529881417705536
0.005479452054794521,275.0,0.5420979832553863
0.005479452054794521,277.5,0.583535124015808
0.005479452054794521,280.0,0.6242856194057465
0.005479452054794521,282.5,0.598469660823822
0.005479452054794521,285.0,0.6347283510818482
0.005479452054794521,287.5,0.6704720573120118
0.005479452054794521,290.0,0.7057198529968263
0.005479452054794521,292.5,0.7405289585838317
0.005479452054794521,295.0,0.7748803005905152
0.005479452054794521,300.0,0.8422859877929689
0.005479452054794521,305.0,0.9081276494293214
0.005479452054794521,310.0,0.9724434324645996
0.005479452054794521,315.0,1.0353477777938842
0.005479452054794521,320.0,1.0969169793472289
0.005479452054794521,325.0,1.1571891840896606
0.005479452054794521,330.0,1.2162788329162597
0.005479452054794521,335.0,1.2741859258270263
0.005479452054794521,340.0,1.3310249037170412
0.005479452054794521,345.0,1.3867576196212767
0.005479452054794521,355.0,1.495285735122681
0.005479452054794521,360.0,1.5481192816848757
0.005479452054794521,370.0,1.6511160872573853
0.024657534246575342,110.0,1.8453127494678498
0.024657534246575342,120.0,1.634998994533539
0.024657534246575342,125.0,1.5361602081489565
0.024657534246575342,140.0,1.4255101677179336
0.024657534246575342,150.0,1.2561853267049787
0.024657534246575342,160.0,1.0979421790323258
0.024657534246575342,165.0,1.0999854258465764
0.024657534246575342,170.0,1.0522754935245513
0.024657534246575342,175.0,1.0008223902592657
0.024657534246575342,180.0,0.8784397738971712
0.024657534246575342,185.0,0.8328374613928796
0.024657534246575342,190.0,0.8013185315394402
0.024657534246575342,195.0,0.7736107219107153
0.024657534246575342,200.0,0.6079360686137676
0.024657534246575342,205.0,0.6198414979801177
0.024657534246575342,210.0,0.5616673763141633
0.024657534246575342,215.0,0.5104276576344966
0.024657534246575342,220.0,0.46798975508844853
0.024657534246575342,225.0,0.41653873798531305
0.024657534246575342,230.0,0.3655055493584871
0.024657534246575342,235.0,0.33013005074778196
0.024657534246575342,237.5,0.31693105183690784
0.024657534246575342,240.0,0.3075929430191815
0.024657534246575342,242.5,0.2969225216455758
0.024657534246575342,245.0,0.28827500700525943
0.024657534246575342,247.5,0.2810493608816862
0.024657534246575342,250.0,0.277110239707917
0.024657534246575342,252.5,0.2751139315420389
0.024657534246575342,255.0,0.2726915992628336
0.024657534246575342,257.5,0.27469669911205763
0.024657534246575342,260.0,0.2749814602455198
0.024657534246575342,262.5,0.27897035128772263
0.024657534246575342,265.0,0.2840367450803518
0.024657534246575342,267.5,0.291485536048174
0.024657534246575342,270.0,0.2986684903534651
0.024657534246575342,272.5,0.3072676507353782
0.024657534246575342,275.0,0.31675313200783733
0.024657534246575342,277.5,0.3272447394828796
0.024657534246575342,280.0,0.3416142243714333
0.024657534246575342,282.5,0.35379741132688514
0.024657534246575342,285.0,0.3632006382060051
0.024657534246575342,290.0,0.3875503228197098
0.024657534246575342,295.0,0.4147061935482026
0.024657534246575342,300.0,0.43737502751541146
0.024657534246575342,305.0,0.42738052267837534
0.024657534246575342,310.0,0.45770735987472533
0.024657534246575342,315.0,0.4873570884418488
0.024657534246575342,320.0,0.5163773920860291
0.024657534246575342,325.0,0.5448064177722929
