T,K,iv_svi
0.005479452054794521,170.0,1.953400192292764
0.005479452054794521,173.38983050847457,1.9004688080110226
0.005479452054794521,176.77966101694915,1.847089818724571
0.005479452054794521,180.16949152542372,1.7931814144040594
0.005479452054794521,183.5593220338983,1.738653614278656
0.005479452054794521,186.94915254237287,1.6834064668956696
0.005479452054794521,190.33898305084745,1.627327793681268
0.005479452054794521,193.72881355932202,1.5702903173949392
0.005479452054794521,197.1186440677966,1.5121479486943692
0.005479452054794521,200.50847457627117,1.4527308994563926
0.005479452054794521,203.89830508474574,1.3918391268587
0.005479452054794521,207.28813559322035,1.3292333451889387
0.005479452054794521,210.67796610169492,1.2646223942118766
0.005479452054794521,214.0677966101695,1.197644970603159
0.005479452054794521,217.45762711864407,1.1278422985792242
0.005479452054794521,220.84745762711864,1.054615552611837
0.005479452054794521,224.23728813559322,0.977156138772773
0.005479452054794521,227.6271186440678,0.8943241399406386
0.005479452054794521,231.01694915254237,0.8044182998902244
0.005479452054794521,234.40677966101694,0.7046891356899022
0.005479452054794521,237.79661016949152,0.5901235167865503
0.005479452054794521,241.18644067796612,0.4494494435659258
0.005479452054794521,244.5762711864407,0.2404321466112019
0.005479452054794521,247.96610169491527,0.2047256990604735
0.005479452054794521,251.35593220338984,0.3340059587952263
0.005479452054794521,254.74576271186442,0.42458895948299624
0.005479452054794521,258.135593220339,0.4980797745041412
0.005479452054794521,261.52542372881356,0.5612544482651115
0.005479452054794521,264.91525423728814,0.6173068992440692
0.005479452054794521,268.3050847457627,0.6680487393381255
0.005479452054794521,271.6949152542373,0.7146268748537618
0.005479452054794521,275.08474576271186,0.7578228469112649
0.005479452054794521,278.47457627118644,0.7981982009485592
0.005479452054794521,281.864406779661,0.8361729019982398
0.005479452054794521,285.2542372881356,0.8720710427220258
0.005479452054794521,288.64406779661016,0.9061491283835651
0.005479452054794521,292.03389830508473,0.9386144343887168
0.005479452054794521,295.4237288135593,0.9696373936404564
0.005479452054794521,298.8135593220339,0.9993602308250458
0.005479452054794521,302.20338983050846,1.0279031482299519
0.005479452054794521,305.59322033898303,1.0553688630383398
0.005479452054794521,308.98305084745766,1.0818460041496123
0.005479452054794521,312.37288135593224,1.1074117011362246
0.005479452054794521,315.7627118644068,1.1321335889377468
0.005479452054794521,319.1525423728814,1.1560713821606121
0.005479452054794521,322.54237288135596,1.1792781270838968
0.005479452054794521,325.93220338983053,1.2018012087376175
0.005479452054794521,329.3220338983051,1.223683169354924
0.005479452054794521,332.7118644067797,1.2449623797926146
0.005479452054794521,336.10169491525426,1.2656735950733533
0.005479452054794521,339.49152542372883,1.2858484176767757
0.005479452054794521,342.8813559322034,1.305515686705583
0.005479452054794521,346.271186440678,1.324701806980069
0.005479452054794521,349.66101694915255,1.3434310290637737
0.005479452054794521,353.0508474576271,1.3617256889125926
0.005479452054794521,356.4406779661017,1.3796064140723545
0.005479452054794521,359.8305084745763,1.3970923019851689
0.005479452054794521,363.22033898305085,1.4142010749017706
0.005479452054794521,366.6101694915254,1.430949215062227
0.005479452054794521,370.0,1.447352083146619
0.024657534246575342,110.0,1.77013153771032
0.024657534246575342,113.72881355932203,1.7250641113375844
0.024657534246575342,117.45762711864407,1.6803246081189536
0.024657534246575342,121.1864406779661,1.6358444629333808
0.024657534246575342,124.91525423728814,1.5915567672556286
0.024657534246575342,128.64406779661016,1.547395577785458
0.024657534246575342,132.3728813559322,1.5032952540369497
0.024657534246575342,136.10169491525423,1.4591898122623908
0.024657534246575342,139.83050847457628,1.415012286084367
0.024657534246575342,143.5593220338983,1.3706940880420948
0.024657534246575342,147.28813559322035,1.3261643719183063
0.024657534246575342,151.01694915254237,1.2813494048269245
0.024657534246575342,154.74576271186442,1.2361719733595493
0.024657534246575342,158.47457627118644,1.1905508743601636
0.024657534246575342,162.20338983050846,1.1444005864389004
0.024657534246575342,165.9322033898305,1.097631297856996
0.024657534246575342,169.66101694915255,1.0501496060993183
0.024657534246575342,173.38983050847457,1.001860450939631
0.024657534246575342,177.1186440677966,0.9526712783911162
0.024657534246575342,180.84745762711864,0.9025001984986359
0.024657534246575342,184.5762711864407,0.8512912188411689
0.024657534246575342,188.3050847457627,0.7990417944485624
0.024657534246575342,192.03389830508473,0.7458510441878211
0.024657534246575342,195.76271186440678,0.6919999632502276
0.024657534246575342,199.4915254237288,0.6380724915948509
0.024657534246575342,203.22033898305085,0.5851030618908922
0.024657534246575342,206.94915254237287,0.534668447888607
0.024657534246575342,210.6779661016949,0.48874698002080047
0.024657534246575342,214.40677966101694,0.4492101698786522
0.024657534246575342,218.135593220339,0.41716189610904486
0.024657534246575342,221.864406779661,0.39263397229129676
0.024657534246575342,225.59322033898303,0.37482531271336894
0.024657534246575342,229.32203389830508,0.3625674041435015
0.024657534246575342,233.05084745762713,0.3546819834770103
0.024657534246575342,236.77966101694915,0.35015055310324744
0.024657534246575342,240.50847457627117,0.3481565104921143
0.024657534246575342,244.23728813559322,0.34806918007335935
0.024657534246575342,247.96610169491524,0.3494100173989932
0.024657534246575342,251.6949152542373,0.35181843918519645
0.024657534246575342,255.4237288135593,0.35502304591231926
0.024657534246575342,259.1525423728814,0.3588191348992193
0.024657534246575342,262.8813559322034,0.3630517285873343
0.024657534246575342,266.6101694915254,0.36760296807260223
0.024657534246575342,270.33898305084745,0.37238280608510893
0.024657534246575342,274.06779661016947,0.37732213990290864
0.024657534246575342,277.7966101694915,0.38236773131318064
0.024657534246575342,281.52542372881356,0.3874784317080593
0.024657534246575342,285.2542372881356,0.3926223614030801
