symbol,mu_i,MES_i,LRMES_i,E_mktcap,D_proxy,SRISK
QQQ,0.000681241644121503,-0.029671360801641386,0.4137942808432272,245251162112.0,245251162112.0,0.0
IWM,0.0003946169173307151,-0.030773180919603623,0.4253058292010553,70661586944.0,70661586944.0,0.0
EFA,0.0002515564795081642,-0.0242377647724435,0.35356315035449903,90621288448.0,90621288448.0,0.0
EEM,0.00014697605776052582,-0.025472356875433675,0.36777025084912907,41231519744.0,41231519744.0,0.0
TLT,0.00010833097930863969,0.00820792256911591,0.0,9625077760.0,9625077760.0,0.0
LQD,0.00015839546133208002,-0.0012936734514296757,0.023017092647573123,32472840192.0,32472840192.0,0.0
GLD,0.00033179152881578636,0.0005998925681343833,0.0,108477415424.0,108477415424.0,0.0
