Date,ret_SPY,ret_QQQ,ret_IWM,ret_EFA,ret_EEM,ret_TLT,ret_LQD,ret_GLD,mkt_tail
2010-01-05,0.002643570824941932,0.0,-0.003444628236265679,0.0008807343683496782,0.007231782344993221,0.006438117293525281,0.0047643071404346315,-0.0009112174071557178,0
2010-01-06,0.0007041372130158763,-0.006050054073596822,-0.0009415273270874103,0.0042180356852310474,0.0020898473358816894,-0.013477429659478624,-0.002950878031721338,0.016364952672509148,0
2010-01-07,0.0042120385361661405,0.0006503131870334578,0.007351274038516209,-0.0038653733385212163,-0.0058159844780285574,0.0016811412996702302,0.001238707647875259,-0.006207031449164013,0
2010-01-08,0.0033221824436306946,0.008196502554965956,0.0054394300502362825,0.00789116941140211,0.007901411329549024,-0.00044791992362558375,0.002186810434963604,0.004950755381378791,0
2010-01-11,0.0013959709809379106,-0.004089758786936404,-0.004037990195072894,0.00817578591508461,-0.0020854268515204666,-0.005502548268561114,0.0010457603694398188,0.013201473675457542,0
2010-01-12,-0.0093703649976149,-0.01258947536948174,-0.01095261679793147,-0.01185083580075963,-0.01613511381362054,0.01697189556736678,0.0018952354266223992,-0.021134489951311508,0
2010-01-13,0.008410982943730438,0.012373671162053235,0.012818325232062833,0.00838003359285766,0.0030603149696721843,-0.011693585350914582,-0.004176671335976323,0.00945827937853938,0
2010-01-14,0.002700924115269565,0.0008623698152576686,0.003721080022266232,0.007620287181645313,-0.0025887996953293246,0.013905492357829452,0.0036087364893413465,0.004383402504944733,0
2010-01-15,-0.011287636812145507,-0.011708277127287392,-0.014653616371282485,-0.015825047795569702,-0.011612966597150276,0.0061675963603669,-0.0003789103477931377,-0.010498532177149578,0
2010-01-19,0.012418023728977268,0.016010796210274236,0.018206299855648478,0.009767968168612029,0.020059621390206672,-0.002858915609832202,0.0008525242615986528,0.0059357674133195815,0
2010-01-20,-0.010220493221889448,-0.014485362862627582,-0.014600822544605041,-0.025847590143869503,-0.024359703870997507,0.010078649182491795,-0.0006632775686536974,-0.023406622544498212,0
2010-01-21,-0.01941664501315543,-0.009408645610339939,-0.01656577609507659,-0.02160664083823205,-0.030629393543487815,0.004567545017001073,0.002650152118113702,-0.01451645533950785,1
2010-01-22,-0.02254392139238348,-0.02967315120932934,-0.018139956827554204,-0.01966805908215452,-0.022467323594467015,-0.0017371925613955952,-0.0015134202195055124,-0.001864497387188635,1
2010-01-25,0.00511491491559557,0.0033916103260360764,0.0011332794706579996,0.012177200187108994,0.007294680980224566,-0.004576163863046823,-9.409129913162673e-05,0.002888473340999731,0
2010-01-26,-0.004199845600768803,0.0009021535404563075,-0.009919436680272398,-0.005700845469000182,-0.021021267208380046,0.0003282842472884795,-0.0026563652984350483,0.0007439937221862536,0
2010-01-27,0.0047462608571633425,0.00786066853826961,0.010566744615095658,-0.0011074981317085175,-0.002562783123451595,-0.0005463213761576213,-0.003614156546707825,-0.009622184538243594,0
2010-01-28,-0.011538828815406355,-0.026064044662760022,-0.017290013099893642,-0.016944600175582192,-0.006952598438738189,-0.0005465540510618538,-0.0014303761794591807,-0.0004694185510532023,0
2010-01-29,-0.010928032016754408,-0.017605217256592365,-0.011084083012209422,-0.014565961125883042,-0.010912174332093016,0.00870451181789278,0.006373370917602372,-0.0048955498497216254,0
2010-02-01,0.015431168252718841,0.010924357336800306,0.011741860552978434,0.01812770933995944,0.02655114725562502,-0.009119522682838443,-0.004467003654590407,0.022305058135940747,0
2010-02-02,0.012030788922088753,0.008974963646299905,0.010956250984208715,0.016517091828022412,0.008108154917669363,0.002849094223421389,0.003152096954238459,0.007173093057516233,0
2010-02-03,-0.004995096342646832,0.0054827908528749525,-0.00669004628859815,-0.010547162946089816,-0.0058210921738166554,-0.011663323179260665,-0.0010504602734222601,-0.003948040904900196,0
2010-02-04,-0.03135274431902779,-0.029362500405492042,-0.033969478089719285,-0.04158956448698614,-0.046229711616086355,0.01570331725291041,-9.43185710982064e-05,-0.04064946190433538,1
2010-02-05,0.0020649856773005126,0.00841142250472604,0.003888203669234702,-0.0017466931730498736,-0.011227206433526149,0.0021761644607467545,-0.0030605108753807286,0.0029657764294865885,0
2010-02-08,-0.007245078625974344,-0.007238941306913382,-0.0100043873155502,-0.020012534992730924,-0.009995962452981733,0.0013038862802101647,0.0009575706185520616,-0.006132631197051985,0
2010-02-09,0.012481675445247475,0.01025880109733146,0.013709480056142365,0.031024140034943137,0.03206251192064569,-0.010039807771473619,-0.002298851736727059,0.013082093628457692,0
2010-02-10,-0.0019604879463503977,-0.0020898025066355963,0.0023505503420713225,-0.006360439974788967,-0.0026327475171838977,-0.009587393188691173,-0.007797824707775014,-0.0027549621443085925,0
2010-02-11,0.010411925773374797,0.014996178400530358,0.015805550996169426,0.00923792893682629,0.026022737577631183,-0.005440580088896141,0.002317351148168001,0.01894044377226134,0
2010-02-12,-0.000832345792075806,0.002058729264706738,0.00723722163246121,-0.008657902650887728,-0.012666739979320774,0.004111432347279731,0.0011556832873189649,-0.0008404197035734029,0
2010-02-16,0.015612056908304695,0.01271598137403318,0.016738392398008006,0.02197855476570787,0.025428425304996782,0.0018834089810191301,0.003940873268199141,0.02381725974040183,0
2010-02-17,0.004727798516101167,0.0056249958506704445,0.006746327365085403,0.001322869510081759,0.0035442172989248455,-0.011465048670788569,-0.00336274726413599,-0.0033810306977537508,0
2010-02-18,0.00587734179628896,0.006262599635932009,0.008130684910013564,0.005647307251181566,0.003783304421748568,-0.0040376600378309035,-0.0006739347322195499,0.006659727627097212,0
