Date,port_ret,loss,VaR,ES,sigma_next,breach
2010-01-05,0.0022002113087234987,-0.0022002113087234987,,,,0
2010-01-06,-5.290462037288446e-06,5.290462037288446e-06,,,,0
2010-01-07,-9.455295207605463e-05,9.455295207605463e-05,,,,0
2010-01-08,0.004930242719986266,-0.004930242719986266,,,,0
2010-01-11,0.001012761007894769,-0.001012761007894769,,,,0
2010-01-12,-0.007895677091702025,0.007895677091702025,,,,0
2010-01-13,0.004829019983127403,-0.004829019983127403,,,,0
2010-01-14,0.004276651507003848,-0.004276651507003848,,,,0
2010-01-15,-0.008724713569819242,0.008724713569819242,,,,0
2010-01-19,0.010049128309505717,-0.010049128309505717,,,,0
2010-01-20,-0.012938261240841409,0.012938261240841409,,,,0
2010-01-21,-0.013115556789661642,0.013115556789661642,,,,0
2010-01-22,-0.014701028859132714,0.014701028859132714,,,,0
2010-01-25,0.0034161662730602393,-0.0034161662730602393,,,,0
2010-01-26,-0.005190493308315225,0.005190493308315225,,,,0
2010-01-27,0.0007150652039596417,-0.0007150652039596417,,,,0
2010-01-28,-0.010154526446767842,0.010154526446767842,,,,0
2010-01-29,-0.006863962298734372,0.006863962298734372,,,,0
2010-02-01,0.011436837813358969,-0.011436837813358969,,,,0
2010-02-02,0.008720015634852973,-0.008720015634852973,,,,0
2010-02-03,-0.004903963932534339,0.004903963932534339,,,,0
2010-02-04,-0.025943214977865336,0.025943214977865336,,,,0
2010-02-05,0.00043426166836268987,-0.00043426166836268987,,,,0
2010-02-08,-0.007296148585475115,0.007296148585475115,,,,0
2010-02-09,0.012535041653200407,-0.012535041653200407,,,,0
2010-02-10,-0.0038540125553280236,0.0038540125553280236,,,,0
2010-02-11,0.0115362553747273,-0.0115362553747273,,,,0
2010-02-12,-0.0010543830632078754,0.0010543830632078754,,,,0
2010-02-16,0.015264493514436872,-0.015264493514436872,,,,0
2010-02-17,0.0004695483227030173,-0.0004695483227030173,,,,0
2010-02-18,0.003956242032970569,-0.003956242032970569,,,,0
2010-02-19,-0.0009532055959740604,0.0009532055959740604,,,,0
2010-02-22,-0.00036193374564996716,0.00036193374564996716,,,,0
2010-02-23,-0.008453126282495727,0.008453126282495727,,,,0
2010-02-24,0.005673573097728812,-0.005673573097728812,,,,0
2010-02-25,-0.00028201248837655957,0.00028201248837655957,,,,0
2010-02-26,0.004779019694982123,-0.004779019694982123,,,,0
2010-03-01,0.009142049649995543,-0.009142049649995543,,,,0
2010-03-02,0.005931169765574229,-0.005931169765574229,,,,0
2010-03-03,0.0032349707877560863,-0.0032349707877560863,,,,0
2010-03-04,-4.793916772893869e-05,4.793916772893869e-05,,,,0
2010-03-05,0.009964656256782278,-0.009964656256782278,,,,0
2010-03-08,-0.0009245595724544087,0.0009245595724544087,,,,0
2010-03-09,0.0014839551198435608,-0.0014839551198435608,,,,0
2010-03-10,0.002391122830311676,-0.002391122830311676,,,,0
2010-03-11,0.0024343233944957854,-0.0024343233944957854,,,,0
2010-03-12,0.0006789202409157036,-0.0006789202409157036,,,,0
2010-03-15,-0.0022143188607379183,0.0022143188607379183,,,,0
2010-03-16,0.009929135762281938,-0.009929135762281938,,,,0
2010-03-17,0.003896605991228874,-0.003896605991228874,,,,0
2010-03-18,-0.0015236208123038386,0.0015236208123038386,,,,0
2010-03-19,-0.008193442680514917,0.008193442680514917,,,,0
2010-03-22,0.0040804005290522305,-0.0040804005290522305,,,,0
2010-03-23,0.005051210662991412,-0.005051210662991412,,,,0
2010-03-24,-0.012175489478006674,0.012175489478006674,,,,0
2010-03-25,-0.0022668068276788245,0.0022668068276788245,,,,0
2010-03-26,0.004663490547804905,-0.004663490547804905,,,,0
2010-03-29,0.004952000381178545,-0.004952000381178545,,,,0
2010-03-30,0.0009264343868954916,-0.0009264343868954916,,,,0
2010-03-31,0.0002947529076497424,-0.0002947529076497424,,,,0
2010-04-01,0.008881525129131929,-0.008881525129131929,,,,0
2010-04-05,0.0032086327445942087,-0.0032086327445942087,,,,0
2010-04-06,0.0020637735264609214,-0.0020637735264609214,,,,0
2010-04-07,0.00046146005271452406,-0.00046146005271452406,,,,0
2010-04-08,0.0008846160866856079,-0.0008846160866856079,,,,0
2010-04-09,0.006184191185368282,-0.006184191185368282,,,,0
2010-04-12,0.0005245819169595878,-0.0005245819169595878,,,,0
2010-04-13,0.0011434762432923629,-0.0011434762432923629,,,,0
2010-04-14,0.008408526818413309,-0.008408526818413309,,,,0
2010-04-15,0.0012994759519230903,-0.0012994759519230903,,,,0
2010-04-16,-0.013174768902330047,0.013174768902330047,,,,0
2010-04-19,-0.0017773295910066822,0.0017773295910066822,,,,0
2010-04-20,0.006739602996457705,-0.006739602996457705,,,,0
2010-04-21,0.002521499668731053,-0.002521499668731053,,,,0
2010-04-22,0.0006045298440941482,-0.0006045298440941482,,,,0
2010-04-23,0.005291926997035623,-0.005291926997035623,,,,0
2010-04-26,-0.0013750417974259799,0.0013750417974259799,,,,0
2010-04-27,-0.014346773900289267,0.014346773900289267,,,,0
2010-04-28,0.0010932974658384165,-0.0010932974658384165,,,,0
2010-04-29,0.011086764038557906,-0.011086764038557906,,,,0
2010-04-30,-0.008299359606029288,0.008299359606029288,,,,0
2010-05-03,0.007975882408417512,-0.007975882408417512,,,,0
2010-05-04,-0.02024751106671674,0.02024751106671674,,,,0
2010-05-05,-0.0075089068991146535,0.0075089068991146535,,,,0
2010-05-06,-0.01880195124941947,0.01880195124941947,,,,0
2010-05-07,-0.009705317167725436,0.009705317167725436,,,,0
