ts,qty,px,notional,cum_qty,cum_cost,strategy
2025-10-17 09:59:00-04:00,159.57415657745295,249.36232517907686,39791.78272264375,19317.409477433455,4805924.295075208,VWAP
2025-10-17 10:00:00-04:00,189.06520914312344,249.30322525198295,47134.56642232137,19506.474686576577,4853058.861497529,VWAP
2025-10-17 10:01:00-04:00,194.70225163962053,249.51936702281026,48581.982587034036,19701.1769382162,4901640.844084563,VWAP
2025-10-17 10:02:00-04:00,212.92669539597918,249.71748472094978,53171.51880422776,19914.103633612176,4954812.362888791,VWAP
2025-10-17 10:03:00-04:00,215.93710535874155,249.93981935496473,53971.28110539785,20130.040738970918,5008783.643994189,VWAP
2025-10-17 10:04:00-04:00,346.75287537139496,249.89112277949815,86650.46535357728,20476.793614342314,5095434.109347766,VWAP
2025-10-17 10:05:00-04:00,213.81386919295218,249.96379183794147,53445.725491011945,20690.607483535267,5148879.834838778,VWAP
2025-10-17 10:06:00-04:00,187.57495652910697,249.64400851190567,46826.96404437272,20878.182440064375,5195706.79888315,VWAP
2025-10-17 10:07:00-04:00,144.68658280465291,249.62521883868322,36117.419895632745,21022.86902286903,5231824.218778783,VWAP
2025-10-17 10:08:00-04:00,124.5906010664776,249.5754969701931,31094.761178981218,21147.459623935505,5262918.979957765,VWAP
2025-10-17 10:09:00-04:00,125.60237792482323,249.50115743517512,31337.938668853683,21273.06200186033,5294256.918626619,VWAP
2025-10-17 10:10:00-04:00,156.89020663548683,249.8085814620123,39192.519964892956,21429.952208495815,5333449.438591512,VWAP
2025-10-17 10:11:00-04:00,269.72575489207196,250.19112152650743,67482.98912103134,21699.677963387887,5400932.427712543,VWAP
2025-10-17 10:12:00-04:00,372.32142356505557,250.3334740244338,93204.51541476305,22071.999386952943,5494136.943127306,VWAP
2025-10-17 10:13:00-04:00,254.74348279262873,250.70739401070233,63866.07471215014,22326.742869745573,5558003.017839456,VWAP
2025-10-17 10:14:00-04:00,231.5124880303184,250.78939459019742,58060.87671319387,22558.25535777589,5616063.89455265,VWAP
2025-10-17 10:15:00-04:00,1272.7679386354844,251.27279869566885,319811.9620310555,23831.023296411375,5935875.856583705,VWAP
2025-10-17 10:16:00-04:00,361.2392272865752,250.61845276769742,90533.21622156007,24192.26252369795,6026409.072805265,VWAP
2025-10-17 10:17:00-04:00,213.5845995600266,250.52034644901119,53507.28787795118,24405.847123257976,6079916.360683216,VWAP
2025-10-17 10:18:00-04:00,158.67701453557012,250.4614597753006,39742.47669336548,24564.524137793545,6119658.8373765815,VWAP
2025-10-17 10:19:00-04:00,144.19813880407227,250.43123704037563,36111.71827962361,24708.72227659762,6155770.555656205,VWAP
2025-10-17 10:20:00-04:00,235.07613558557517,250.5023202734774,58887.11740510915,24943.798412183194,6214657.673061314,VWAP
2025-10-17 10:21:00-04:00,155.62174747071361,250.2238689806825,38940.27574965671,25099.420159653906,6253597.94881097,VWAP
2025-10-17 10:22:00-04:00,145.4566297239357,250.3252419568268,36411.46602986877,25244.876789377842,6290009.414840839,VWAP
2025-10-17 10:23:00-04:00,140.08374571754854,250.28597569382347,35060.9969757621,25384.96053509539,6325070.411816601,VWAP
2025-10-17 10:24:00-04:00,178.0851873749686,250.72740886245938,44650.83758731144,25563.045722470357,6369721.249403913,VWAP
2025-10-17 10:25:00-04:00,241.97416106316317,250.6192625366022,60643.38579856296,25805.01988353352,6430364.635202476,VWAP
2025-10-17 10:26:00-04:00,204.236877895853,250.7512760564169,51212.65775016375,26009.256761429373,6481577.29295264,VWAP
2025-10-17 10:27:00-04:00,321.8123266070524,250.81276514382145,80714.6394936814,26331.069088036424,6562291.9324463215,VWAP
2025-10-17 10:28:00-04:00,154.79189108197198,250.61392505321987,38793.0033904635,26485.860979118395,6601084.935836785,VWAP
2025-10-17 10:29:00-04:00,1283.1598339539605,250.56476628025797,321514.64389488875,27769.020813072355,6922599.579731673,VWAP
2025-10-17 10:30:00-04:00,223.11922581625905,250.56229762285108,55905.26586435362,27992.140038888614,6978504.845596027,VWAP
2025-10-17 10:31:00-04:00,155.50960471547828,250.51340749529908,38957.24097552149,28147.64964360409,7017462.086571548,VWAP
2025-10-17 10:32:00-04:00,198.7319146444109,250.61473412521974,49805.1459508049,28346.3815582485,7067267.232522353,VWAP
2025-10-17 10:33:00-04:00,148.64896015630208,250.51548577404245,37238.8664633623,28495.0305184048,7104506.098985715,VWAP
2025-10-17 10:34:00-04:00,179.5629796828478,250.61676748861598,45001.493528739345,28674.59349808765,7149507.592514454,VWAP
2025-10-17 10:35:00-04:00,188.14065442773864,250.56760673405049,47141.95350933651,28862.734152515386,7196649.546023791,VWAP
2025-10-17 10:36:00-04:00,270.7001508320058,250.27249679042674,67748.80263027121,29133.434303347392,7264398.348654062,VWAP
2025-10-17 10:37:00-04:00,148.05086546171353,250.3443387652746,37063.696017639304,29281.485168809108,7301462.044671701,VWAP
2025-10-17 10:38:00-04:00,139.53549224750904,250.3200950102133,34928.53767669334,29421.020661056617,7336390.582348394,VWAP
2025-10-17 10:39:00-04:00,154.59501824500327,250.09999420941978,38664.213167880465,29575.61567930162,7375054.795516275,VWAP
2025-10-17 10:40:00-04:00,357.54599254749087,250.00046304281423,89386.66369597532,29933.16167184911,7464441.45921225,VWAP
2025-10-17 10:41:00-04:00,149.79032419847525,250.29369935759823,37491.57437161033,30082.951996047585,7501933.033583861,VWAP
2025-10-17 10:42:00-04:00,217.99803999384463,250.56615434277714,54622.93053552058,30300.950036041428,7556555.964119381,VWAP
2025-10-17 10:43:00-04:00,127.55366186591839,250.51669080320136,31954.321270480374,30428.503697907345,7588510.285389862,VWAP
2025-10-17 10:44:00-04:00,106.26896692224831,250.22631599118222,26591.292097142996,30534.772664829594,7615101.577487005,VWAP
2025-10-17 10:45:00-04:00,105.9250624728599,250.20672066622305,26503.162517699086,30640.697727302453,7641604.740004704,VWAP
2025-10-17 10:46:00-04:00,140.28809473819962,250.4081530912643,35129.28270408488,30780.985822040653,7676734.022708789,VWAP
2025-10-17 10:47:00-04:00,69.7478096339349,250.38382862182564,17463.72361413088,30850.73363167459,7694197.746322921,VWAP
2025-10-17 10:48:00-04:00,132.67484768833285,250.69048649404965,33260.3221125121,30983.408479362923,7727458.068435432,VWAP
2025-10-17 10:49:00-04:00,124.13953798430873,250.7514753346073,31128.172296921937,31107.54801734723,7758586.240732354,VWAP
2025-10-17 10:50:00-04:00,102.82493830590924,250.82245105712184,25790.803055685494,31210.37295565314,7784377.04378804,VWAP
2025-10-17 10:51:00-04:00,130.31735776716297,250.59207840945632,32656.497535702074,31340.690313420302,7817033.541323742,VWAP
2025-10-17 10:52:00-04:00,88.61022106452134,250.3217897375412,22181.069125910155,31429.300534484824,7839214.610449652,VWAP
2025-10-17 10:53:00-04:00,127.04278931429066,250.4928919425348,31823.315695782825,31556.343323799116,7871037.926145435,VWAP
2025-10-17 10:54:00-04:00,90.31229888287125,250.27167273408458,22602.610109876783,31646.65562268199,7893640.536255312,VWAP
2025-10-17 10:55:00-04:00,109.69305904876776,250.0311720647229,27426.684121328264,31756.348681730757,7921067.220376641,VWAP
2025-10-17 10:56:00-04:00,170.83328920308244,249.76166455973876,42667.60667357712,31927.181970933838,7963734.827050217,VWAP
2025-10-17 10:57:00-04:00,105.66588810520486,249.86805127231128,26402.529546805632,32032.847859039044,7990137.356597023,VWAP
2025-10-17 10:58:00-04:00,166.77621352479008,250.07949526680676,41707.31130078869,32199.624072563834,8031844.667897812,VWAP
2025-10-17 10:59:00-04:00,98.9871640156327,249.90869373885232,24737.752856060295,32298.61123657947,8056582.420753872,VWAP
2025-10-17 11:00:00-04:00,123.17760235051215,249.95040605535874,30788.29172443602,32421.78883892998,8087370.712478308,VWAP
2025-10-17 11:01:00-04:00,147.38050099152886,250.16698527954304,36869.73562203948,32569.16933992151,8124240.448100347,VWAP
2025-10-17 11:02:00-04:00,162.97332809169788,250.38870679321204,40806.680862666086,32732.14266801321,8165047.128963013,VWAP
2025-10-17 11:03:00-04:00,159.833330945108,250.20381018568796,39990.908397136045,32891.97599895832,8205038.037360149,VWAP
2025-10-17 11:04:00-04:00,105.90263392181282,250.39046267691964,26517.009506387156,32997.87863288013,8231555.046866536,VWAP
2025-10-17 11:05:00-04:00,125.5724731900938,250.49144515236034,31454.830280742623,33123.45110607022,8263009.877147279,VWAP
2025-10-17 11:06:00-04:00,185.4417521184078,250.54233699683448,46461.009952533575,33308.89285818863,8309470.887099813,VWAP
2025-10-17 11:07:00-04:00,83.58124150752259,250.47444849756388,20934.965371338418,33392.47409969615,8330405.852471151,VWAP
2025-10-17 11:08:00-04:00,87.78534879823462,250.40691254567255,21982.0581593109,33480.259448494384,8352387.910630463,VWAP
2025-10-17 11:09:00-04:00,59.30358102968231,250.27312791582915,14842.09272090842,33539.56302952406,8367230.003351371,VWAP
2025-10-17 11:10:00-04:00,90.99263159796573,250.36383501397503,22781.264204880503,33630.55566112203,8390011.267556252,VWAP
2025-10-17 11:11:00-04:00,76.93491421390732,250.18356163856524,19247.85085239281,33707.49057533594,8409259.118408645,VWAP
2025-10-17 11:12:00-04:00,108.322425373669,249.94296270724433,27074.42792552921,33815.81300070961,8436333.546334174,VWAP
2025-10-17 11:13:00-04:00,142.34902937330267,249.863219876603,35567.78682552255,33958.162030082916,8471901.333159696,VWAP
2025-10-17 11:14:00-04:00,148.64896015630208,249.7384547668389,37123.361612132285,34106.81099023922,8509024.694771828,VWAP
2025-10-17 11:15:00-04:00,169.58975065058374,249.82459395393877,42367.6905950318,34276.4007408898,8551392.38536686,VWAP
2025-10-17 11:16:00-04:00,77.00967605073089,249.92089489834495,19246.327154430306,34353.41041694053,8570638.71252129,VWAP
2025-10-17 11:17:00-04:00,198.48520058289313,249.96649056921686,49614.649019632874,34551.89561752343,8620253.361540923,VWAP
2025-10-17 11:18:00-04:00,103.88655638880392,249.89725445338354,25960.965216178713,34655.78217391223,8646214.326757101,VWAP
2025-10-17 11:19:00-04:00,147.1636916647405,249.79737574045504,36761.10398212965,34802.94586557697,8682975.430739231,VWAP
2025-10-17 11:20:00-04:00,184.45987999479158,249.5872593649453,46038.835910686736,34987.40574557176,8729014.266649919,VWAP
2025-10-17 11:21:00-04:00,122.52717437014711,249.4928413725999,30569.652878964003,35109.93291994191,8759583.919528883,VWAP
2025-10-17 11:22:00-04:00,319.44237637974527,249.29262680489117,79634.62912050342,35429.375296321654,8839218.548649386,VWAP
2025-10-17 11:23:00-04:00,137.52938295940993,249.53028718352311,34317.74642603429,35566.90467928106,8873536.29507542,VWAP
2025-10-17 11:24:00-04:00,186.33889416029064,249.59125433632914,46508.558325111415,35753.24357344135,8920044.853400532,VWAP
2025-10-17 11:25:00-04:00,120.21703361229882,249.51189702504502,29995.58011132828,35873.460607053654,8950040.43351186,VWAP
2025-10-17 11:26:00-04:00,177.71885437453312,249.77361580865593,44389.48085449911,36051.17946142819,8994429.914366359,VWAP
2025-10-17 11:27:00-04:00,108.8233296803869,249.62390585997437,27164.904603505856,36160.00279110858,9021594.818969864,VWAP
2025-10-17 11:28:00-04:00,61.30221413409906,249.53407425204233,15296.991253552873,36221.30500524268,9036891.810223417,VWAP
2025-10-17 11:29:00-04:00,168.58046585346557,249.53439025327623,42066.62375535778,36389.885471096146,9078958.433978776,VWAP
2025-10-17 11:30:00-04:00,133.14584726032132,249.70899675373732,33247.71594130118,36523.031318356465,9112206.149920076,VWAP
2025-10-17 11:31:00-04:00,193.17711016841972,249.5158677529131,48200.75427367334,36716.208428524886,9160406.90419375,VWAP
2025-10-17 11:32:00-04:00,135.60551169181676,249.59718441927046,33846.753910011925,36851.8139402167,9194253.658103762,VWAP
2025-10-17 11:33:00-04:00,104.82606347155344,249.56605054594021,26161.026654873644,36956.640003688255,9220414.684758635,VWAP
2025-10-17 11:34:00-04:00,77.1292949896486,249.68880810025422,19258.32173557827,37033.7692986779,9239673.006494213,VWAP
2025-10-17 11:35:00-04:00,132.06429268760704,249.6188960128075,32965.742943392754,37165.83359136551,9272638.749437606,VWAP
2025-10-17 11:36:00-04:00,320.74323234047534,249.40868198811197,79996.14683464472,37486.57682370598,9352634.896272251,VWAP
2025-10-17 11:37:00-04:00,126.68642455876497,249.49063723247656,31607.07679187034,37613.263248264746,9384241.97306412,VWAP
2025-10-17 11:38:00-04:00,142.2493469242046,249.32015539992165,35465.629280680056,37755.51259518895,9419707.602344802,VWAP
2025-10-17 11:39:00-04:00,213.327917253599,249.61753102144118,53250.38800278969,37968.84051244255,9472957.990347592,VWAP
2025-10-17 11:40:00-04:00,220.9012913238265,249.80441098612226,55182.11696522228,38189.741803766374,9528140.107312815,VWAP
2025-10-17 11:41:00-04:00,144.05359925288005,249.9260313904052,36002.74436877615,38333.795403019256,9564142.851681592,VWAP
2025-10-17 11:42:00-04:00,176.74944255705418,250.00709945065552,44188.61546320937,38510.54484557631,9608331.467144802,VWAP
2025-10-17 11:43:00-04:00,115.07341923883729,249.877422724437,28754.249423489306,38625.61826481515,9637085.716568291,VWAP
2025-10-17 11:44:00-04:00,1151.7559374916282,250.15910680579748,288122.2365811796,39777.37420230678,9925207.953149471,VWAP
2025-10-17 11:45:00-04:00,112.45426288878492,250.10968745007543,28125.900543542615,39889.82846519557,9953333.853693014,VWAP
2025-10-17 11:46:00-04:00,136.0939556923974,250.23909105297136,34056.02777026888,40025.92242088797,9987389.881463284,VWAP
2025-10-17 11:47:00-04:00,93.82859727480644,250.27160528938788,23482.63366201729,40119.75101816277,10010872.5151253,VWAP
2025-10-17 11:48:00-04:00,190.67757275728508,250.50415944097062,47765.525087808215,40310.428590920055,10058638.040213108,VWAP
2025-10-17 11:49:00-04:00,166.1432299730172,250.52909405349186,41623.712888260954,40476.57182089307,10100261.75310137,VWAP
2025-10-17 11:50:00-04:00,340.72208720096046,250.57862556493694,85377.67231043326,40817.293908094034,10185639.425411802,VWAP
2025-10-17 11:51:00-04:00,153.90970140745387,250.5667270671045,38564.65014554104,40971.203609501485,10224204.075557344,VWAP
2025-10-17 11:52:00-04:00,161.1865201916146,250.4971653666506,40376.76640331384,41132.3901296931,10264580.841960657,VWAP
2025-10-17 11:53:00-04:00,147.16867578719544,250.69380248649412,36894.274939994066,41279.558805480294,10301475.11690065,VWAP
2025-10-17 11:54:00-04:00,101.05059071196321,250.63425844297333,25326.73986831731,41380.60939619226,10326801.856768968,VWAP
2025-10-17 11:55:00-04:00,113.96694405384847,250.73567919098107,28575.579122662235,41494.57634024611,10355377.43589163,VWAP
2025-10-17 11:56:00-04:00,165.54513527842866,250.8060368598476,41519.719300610035,41660.12147552454,10396897.155192241,VWAP
2025-10-17 11:57:00-04:00,168.37860889404192,250.81687499564853,42232.19649891811,41828.50008441858,10439129.351691158,VWAP
2025-10-17 11:58:00-04:00,118.91617765156873,250.74739031101325,29817.921211891695,41947.416262070146,10468947.27290305,VWAP
2025-10-17 11:59:00-04:00,145.8428992141908,250.66509899037786,36557.724768568834,42093.25916128434,10505504.997671619,VWAP
2025-10-17 12:00:00-04:00,187.36811544722843,250.87922025958736,47006.766704909016,42280.62727673157,10552511.764376529,VWAP
2025-10-17 12:01:00-04:00,144.7139954781549,250.77466560596466,36290.60382453738,42425.34127220972,10588802.368201066,VWAP
2025-10-17 12:02:00-04:00,142.93715582298142,250.96116395480243,35871.67499772438,42568.2784280327,10624674.04319879,VWAP
2025-10-17 12:03:00-04:00,425.72878773058574,251.08639776503284,106894.70773614709,42994.00721576329,10731568.750934938,VWAP
2025-10-17 12:04:00-04:00,191.84385741173276,251.00406115025325,48153.587317075035,43185.85107317502,10779722.338252014,VWAP
2025-10-17 12:05:00-04:00,79.90545119703046,250.99994585264955,20056.263923786177,43265.75652437205,10799778.6021758,VWAP
2025-10-17 12:06:00-04:00,201.14422991258473,251.09574251323266,50506.459762152845,43466.90075428464,10850285.061937952,VWAP
