ts,qty,px,notional,cum_qty,cum_cost,strategy
2025-10-17 11:06:00-04:00,7441.3,258.0375878348578,1920135.1023555272,1336600.0999999996,342362925.76173073,POV
2025-10-17 11:07:00-04:00,3353.9,257.972981682707,865215.583265631,1339953.9999999995,343228141.34499633,POV
2025-10-17 11:08:00-04:00,3522.6000000000004,257.9058131742146,908499.0174874883,1343476.5999999996,344136640.3624838,POV
2025-10-17 11:09:00-04:00,2379.7000000000003,257.7705270182888,613416.523145422,1345856.2999999996,344750056.88562924,POV
2025-10-17 11:10:00-04:00,3651.3,257.86564235904865,941544.8199455944,1349507.5999999996,345691601.7055748,POV
2025-10-17 11:11:00-04:00,3087.2000000000003,257.6825570640737,795517.5901682085,1352594.7999999996,346487119.29574305,POV
2025-10-17 11:12:00-04:00,4346.7,257.4369312134557,1119001.1089055277,1356941.4999999995,347606120.4046486,POV
2025-10-17 11:13:00-04:00,5712.1,257.35786838650927,1470053.8800105797,1362653.5999999996,349076174.2846592,POV
2025-10-17 11:14:00-04:00,5964.900000000001,257.23338699957884,1534371.430113788,1368618.4999999995,350610545.714773,POV
2025-10-17 11:15:00-04:00,6805.200000000001,257.3263079786809,1751156.9910565196,1375423.6999999995,352361702.7058295,POV
2025-10-17 11:16:00-04:00,3090.2000000000003,257.4302791550611,795511.0486449699,1378513.8999999994,353157213.75447446,POV
2025-10-17 11:17:00-04:00,7964.700000000001,257.47941121607386,2050746.2665126636,1386478.5999999994,355207960.02098715,POV
2025-10-17 11:18:00-04:00,4168.7,257.4136650430211,1073080.3454648422,1390647.2999999993,356281040.366452,POV
2025-10-17 11:19:00-04:00,5905.3,257.3136904012137,1519514.5359262873,1396552.5999999994,357800554.90237826,POV
2025-10-17 11:20:00-04:00,7401.900000000001,257.1013604999818,1903038.5602848155,1403954.4999999993,359703593.46266305,POV
2025-10-17 11:21:00-04:00,4916.700000000001,257.0092358300007,1263637.3098053646,1408871.1999999993,360967230.77246845,POV
2025-10-17 11:22:00-04:00,12818.400000000001,256.8063907259476,3291847.038881487,1421689.5999999992,364259077.8113499,POV
2025-10-17 11:23:00-04:00,5518.700000000001,257.0600623012702,1418637.36582202,1427208.299999999,365677715.17717195,POV
2025-10-17 11:24:00-04:00,7477.3,257.1266671301676,1922613.2281324023,1434685.5999999992,367600328.4053044,POV
2025-10-17 11:25:00-04:00,4824.0,257.0500464222915,1240009.423941134,1439509.5999999992,368840337.8292455,POV
2025-10-17 11:26:00-04:00,7131.400000000001,257.32297972801746,1835073.097632384,1446640.999999999,370675410.9268779,POV
2025-10-17 11:27:00-04:00,4366.8,257.17362138751685,1123025.7698750086,1451007.799999999,371798436.6967529,POV
2025-10-17 11:28:00-04:00,2459.9,257.08405194557434,632401.0593809184,1453467.699999999,372430837.7561338,POV
2025-10-17 11:29:00-04:00,6764.700000000001,257.08605369367126,1739110.027421578,1460232.399999999,374169947.7835554,POV
2025-10-17 11:30:00-04:00,5342.8,257.27054970625517,1374545.09297058,1465575.199999999,375544492.876526,POV
2025-10-17 11:31:00-04:00,7751.700000000001,257.0751994789898,1992769.8238012856,1473326.899999999,377537262.7003273,POV
2025-10-17 11:32:00-04:00,5441.5,257.1642319589355,1399359.1682045474,1478768.399999999,378936621.8685318,POV
2025-10-17 11:33:00-04:00,4206.400000000001,257.13583240994205,1081616.1654491804,1482974.7999999989,380018238.033981,POV
2025-10-17 11:34:00-04:00,3095.0,257.2651535047176,796235.650097101,1486069.7999999989,380814473.6840781,POV
