ts,qty,px,notional,cum_qty,cum_cost,strategy
2025-10-17 10:14:00-04:00,98.27455038548905,250.4074777880313,24608.68229278311,9186.04928852836,2283863.231337709,Greedy
2025-10-17 10:15:00-04:00,516.2725792541069,250.87860050723228,129521.74216352949,9702.321867782466,2413384.9735012385,Greedy
2025-10-17 10:16:00-04:00,150.84524285883992,250.22929060609184,37745.89811187115,9853.167110641307,2451130.8716131095,Greedy
2025-10-17 10:17:00-04:00,91.88032106006882,250.13783912443253,22982.744968024705,9945.047431701376,2474113.616581134,Greedy
2025-10-17 10:18:00-04:00,70.13041705184968,250.08534525543035,17538.589561319146,10015.177848753225,2491652.206142453,Greedy
2025-10-17 10:19:00-04:00,64.60609930074469,250.058303399285,16155.291580389949,10079.78394805397,2507807.4977228427,Greedy
2025-10-17 10:20:00-04:00,101.35569824269689,250.11939095081775,25351.025513858214,10181.139646296666,2533158.523236701,Greedy
2025-10-17 10:21:00-04:00,69.77628722010792,249.85068979976597,17433.65349361056,10250.915933516773,2550592.1767303115,Greedy
2025-10-17 10:22:00-04:00,66.00094233406264,249.95465720181252,16497.242916107225,10316.916875850837,2567089.4196464187,Greedy
2025-10-17 10:23:00-04:00,64.1542955023993,249.91755836112037,16033.284890337438,10381.071171353236,2583122.704536756,Greedy
2025-10-17 10:24:00-04:00,79.71497771495706,250.35226146354952,19956.824943455955,10460.786149068193,2603079.529480212,Greedy
2025-10-17 10:25:00-04:00,105.66751592847919,250.23772710201285,26441.99901445837,10566.453664996672,2629521.52849467,Greedy
2025-10-17 10:26:00-04:00,90.85504471937116,250.37372222728038,22747.715729514974,10657.308709716044,2652269.244224185,Greedy
2025-10-17 10:27:00-04:00,138.35812802933216,250.4262072811114,34648.50124890009,10795.666837745377,2686917.7454730854,Greedy
2025-10-17 10:28:00-04:00,71.69117892835524,250.24585853536422,17940.42062033867,10867.358016673732,2704858.166093424,Greedy
2025-10-17 10:29:00-04:00,524.7232322940373,250.16548743979794,131267.64317782415,11392.08124896777,2836125.809271248,Greedy
2025-10-17 10:30:00-04:00,99.8004952511962,250.1823736203368,24968.324790429415,11491.881744218967,2861094.1340616774,Greedy
2025-10-17 10:31:00-04:00,73.03421508634614,250.14569077259952,18269.194182808664,11564.915959305312,2879363.328244486,Greedy
2025-10-17 10:32:00-04:00,90.73837352933666,250.2393324027387,22706.310015291543,11655.654332834649,2902069.6382597773,Greedy
2025-10-17 10:33:00-04:00,71.01579595591541,250.15166995508974,17764.719951562147,11726.670128790563,2919834.3582113395,Greedy
2025-10-17 10:34:00-04:00,83.79426219571164,250.24644067826608,20969.215863738227,11810.464390986275,2940803.5740750777,Greedy
2025-10-17 10:35:00-04:00,87.61779537276097,250.1965380787935,21921.669076360926,11898.082186359035,2962725.2431514384,Greedy
2025-10-17 10:36:00-04:00,125.78533267375339,249.90098985867732,31433.879144873998,12023.867519032789,2994159.1222963124,Greedy
2025-10-17 10:37:00-04:00,75.13591491583601,249.9957392327027,18783.658592309876,12099.003433948625,3012942.780888622,Greedy
2025-10-17 10:38:00-04:00,72.35028111482657,249.97724575448294,18085.924002646927,12171.353715063451,3031028.704891269,Greedy
2025-10-17 10:39:00-04:00,82.89538799485526,249.7666597783494,20704.504170505283,12254.249103058306,3051733.2090617744,Greedy
2025-10-17 10:40:00-04:00,166.04443175676232,249.6283045196255,41449.38997436524,12420.293534815068,3093182.5990361394,Greedy
2025-10-17 10:41:00-04:00,76.52540632116917,249.94594303093334,19127.214848769974,12496.818941136236,3112309.8138849093,Greedy
2025-10-17 10:42:00-04:00,102.44342591888451,250.1954886790421,25630.88300973056,12599.26236705512,3137940.6968946396,Greedy
2025-10-17 10:43:00-04:00,66.58953787739539,250.17408518884463,16658.97672162531,12665.851904932515,3154599.673616265,Greedy
2025-10-17 10:44:00-04:00,62.15009922238197,249.91658511026532,15532.340561921857,12728.002004154898,3170132.0141781867,Greedy
2025-10-17 10:45:00-04:00,62.50810350339285,249.899634821462,15620.752238880024,12790.51010765829,3185752.7664170666,Greedy
2025-10-17 10:46:00-04:00,73.0287679014657,250.06466138479985,18261.91411662916,12863.538875559756,3204014.6805336955,Greedy
2025-10-17 10:47:00-04:00,45.184607883085235,250.10500319560137,11300.896498991027,12908.723483442842,3215315.5770326867,Greedy
2025-10-17 10:48:00-04:00,70.89190993725981,250.35375700350994,17748.055993947455,12979.615393380102,3233063.6330266343,Greedy
2025-10-17 10:49:00-04:00,67.9355686391448,250.42132293455214,17012.514972925714,13047.550962019246,3250076.14799956,Greedy
2025-10-17 10:50:00-04:00,59.858459750833816,250.51011424073243,14995.149590455663,13107.40942177008,3265071.2975900155,Greedy
2025-10-17 10:51:00-04:00,71.36820552086677,250.2621796526847,17860.762671552882,13178.777627290947,3282932.0602615685,Greedy
2025-10-17 10:52:00-04:00,58.506574732113016,250.0486752936103,14629.491507731473,13237.28420202306,3297561.5517693,Greedy
2025-10-17 10:53:00-04:00,71.0331338502998,250.16898859224665,17770.287251867183,13308.31733587336,3315331.8390211673,Greedy
2025-10-17 10:54:00-04:00,60.90800015262121,250.00534266934372,15227.325449460506,13369.225336025982,3330559.164470628,Greedy
2025-10-17 10:55:00-04:00,73.58277865756295,249.76338530153296,18378.283897406312,13442.808114683545,3348937.4483680343,Greedy
2025-10-17 10:56:00-04:00,103.17924677409754,249.4614419472899,25739.24367930163,13545.987361457643,3374676.692047336,Greedy
2025-10-17 10:57:00-04:00,74.21487401179787,249.6153997622429,18525.175444759418,13620.20223546944,3393201.8674920956,Greedy
2025-10-17 10:58:00-04:00,94.13929545633664,249.75880164177173,23512.117620575325,13714.341530925776,3416713.985112671,Greedy
2025-10-17 10:59:00-04:00,70.44591926834443,249.66030375428602,17587.54960278478,13784.78745019412,3434301.5347154555,Greedy
2025-10-17 11:00:00-04:00,79.1461371224985,249.6689373193057,19760.331948302253,13863.933587316618,3454061.8666637577,Greedy
2025-10-17 11:01:00-04:00,84.53071601292285,249.8507629315233,21120.063886976706,13948.464303329542,3475181.9305507345,Greedy
2025-10-17 11:02:00-04:00,90.15465463052796,250.06159771312778,22544.216978185053,14038.618957960069,3497726.1475289194,Greedy
2025-10-17 11:03:00-04:00,90.13355326554296,249.88235996234943,22522.785001786,14128.752511225612,3520248.9325307054,Greedy
2025-10-17 11:04:00-04:00,68.37184379712161,250.10963604795512,17100.456968025726,14197.124355022734,3537349.389498731,Greedy
2025-10-17 11:05:00-04:00,76.82890384861861,250.19380957780533,19222.116139572798,14273.953258871352,3556571.5056383037,Greedy
2025-10-17 11:06:00-04:00,101.41957017718418,250.2114453573561,25376.337241555062,14375.372829048536,3581947.842879859,Greedy
2025-10-17 11:07:00-04:00,61.1324753577004,250.2341902521386,15297.435469242977,14436.505304406237,3597245.2783491015,Greedy
2025-10-17 11:08:00-04:00,63.403235430544804,250.16250180851247,15861.111998059207,14499.908539836782,3613106.390347161,Greedy
2025-10-17 11:09:00-04:00,53.63895652713665,250.11012101672773,13415.645908213146,14553.547496363919,3626522.036255374,Greedy
2025-10-17 11:10:00-04:00,65.87655926940296,250.12043723853756,16477.073808233505,14619.424055633322,3642999.110063608,Greedy
2025-10-17 11:11:00-04:00,63.68327317970938,249.987474975195,15920.020660351105,14683.107328813032,3658919.130723959,Greedy
2025-10-17 11:12:00-04:00,81.40241942371519,249.71284514738286,20327.2297561765,14764.509748236747,3679246.3604801353,Greedy
2025-10-17 11:13:00-04:00,96.56425068944971,249.59902581487032,24102.342900629566,14861.073998926197,3703348.703380765,Greedy
2025-10-17 11:14:00-04:00,101.4224138998218,249.4762895113057,25302.487493007422,14962.496412826018,3728651.1908737724,Greedy
2025-10-17 11:15:00-04:00,107.80578269592553,249.53982770084963,26901.836439096493,15070.302195521943,3755553.0273128687,Greedy
2025-10-17 11:16:00-04:00,68.70340380484791,249.7532064506435,17158.895394334104,15139.00559932679,3772711.922707203,Greedy
2025-10-17 11:17:00-04:00,116.72835196659082,249.65795156113643,29142.161241086415,15255.733951293381,3801854.083948289,Greedy
2025-10-17 11:18:00-04:00,80.49768788165075,249.67795203926892,20098.497854186833,15336.231639175032,3821952.5818024757,Greedy
2025-10-17 11:19:00-04:00,100.08438291056149,249.53419897398047,24974.4763193921,15436.316022085593,3846927.058121868,Greedy
2025-10-17 11:20:00-04:00,119.32589889841583,249.308331545898,29748.940764578558,15555.64192098401,3876675.9988864465,Greedy
2025-10-17 11:21:00-04:00,96.12311591378632,249.27832774936783,23961.4095930473,15651.765036897796,3900637.4084794936,Greedy
2025-10-17 11:22:00-04:00,178.77942852803164,248.970497928607,44510.803340015846,15830.544465425828,3945148.2118195095,Greedy
2025-10-17 11:23:00-04:00,100.4823698334485,249.29097690573906,25049.34813758414,15931.026835259276,3970197.5599570936,Greedy
2025-10-17 11:24:00-04:00,118.82129308563209,249.30770184669035,29623.063509630974,16049.848128344907,3999820.6234667245,Greedy
2025-10-17 11:25:00-04:00,94.03877629098653,249.29621298639265,23443.51080321751,16143.886904635894,4023264.134269942,Greedy
2025-10-17 11:26:00-04:00,111.96095538250272,249.48614880613923,27932.707575036588,16255.847860018397,4051196.8418449787,Greedy
2025-10-17 11:27:00-04:00,87.93271070046028,249.41973025572577,21932.152983563574,16343.780570718858,4073128.994828542,Greedy
2025-10-17 11:28:00-04:00,71.0097328918495,249.4746612732065,17715.12906029502,16414.79030361071,4090844.123888837,Greedy
2025-10-17 11:29:00-04:00,114.26002393132389,249.27063623282228,28481.668861338607,16529.050327542034,4119325.7927501756,Greedy
