Date,px_SPY,px_QQQ,px_IWM,px_EFA,px_EEM,px_TLT,px_LQD,px_GLD,ret_SPY,ret_QQQ,ret_IWM,ret_EFA,ret_EEM,ret_TLT,ret_LQD,ret_GLD,w_SPY,w_QQQ,w_IWM,w_EFA,w_EEM,w_TLT,w_LQD,w_GLD,port_ret_hrp,port_ret_ew
2010-01-05,85.50495147705078,40.393577575683594,51.45294952392578,35.7965087890625,31.00930404663086,57.35206985473633,59.04126739501953,109.69999694824219,0.0026469624658629343,0.0,-0.0034387360890114627,0.0008812256695001075,0.007258131717702954,0.006458147858730223,0.004775002676294493,-0.0009108023746454696,,,,,,,,,0.0,0.0022087414905542224
2010-01-06,85.56514739990234,40.1499137878418,51.404541015625,35.94780731201172,31.07417869567871,56.5843505859375,58.867305755615234,111.51000213623047,0.0007040051109521439,-0.00603224082801912,-0.0009408305791734906,0.0042266279049940625,0.0020921027105378354,-0.013386077795332185,-0.002946441482029716,0.01649959196299955,,,,,,,,,0.0,2.7092125616134943e-05
2010-01-07,85.92633819580078,40.176025390625,51.7838134765625,35.809112548828125,30.893972396850586,56.679508209228516,58.94027328491211,110.81999969482422,0.004221237348079887,0.0006503526488546019,0.007378189814440939,-0.0038582259546398046,-0.005799229662445948,0.0016816950677289721,0.0012395255458061971,-0.006187807624317698,,,,,,,,,0.0,-8.42828520616068e-05
2010-01-08,86.21228790283203,40.5067024230957,52.06625747680664,36.09281539916992,31.139057159423828,56.65414810180664,59.06937789916992,111.37000274658203,0.0033278470028554885,0.008230705483073253,0.005454291240485354,0.007922643990547096,0.007933093207470598,-0.0004474299129106907,0.002190431212182098,0.0049630306196752905,,,,,,,,,0.0,0.004946826605422311
2010-01-11,86.33268737792969,40.341365814208984,51.8564567565918,36.38912582397461,31.07417869567871,56.343204498291016,59.131134033203125,112.8499984741211,0.00139654657156707,-0.004081709914565912,-0.004029494924007171,0.008209678893919214,-0.0020835076480625325,-0.005488452548202849,0.0010454847541923051,0.01328899785435711,,,,,,,,,0.0,0.0010321928798996544
2010-01-12,85.52751922607422,39.83666229248047,51.291568756103516,35.960411071777344,30.576818466186523,57.307640075683594,59.24334716796875,110.48999786376953,-0.009326341809919203,-0.012510818896239506,-0.010893301159001334,-0.011781397395229876,-0.016005579241949563,0.017117158776828623,0.0018976996907011934,-0.020912721685971136,,,,,,,,,0.0,-0.0078019127150976
2010-01-13,86.24990844726562,40.33264923095703,51.95330047607422,36.26302719116211,30.670520782470703,56.641422271728516,58.99640655517578,111.54000091552734,0.008446278200609614,0.012450514424000358,0.012901374163798884,0.008415257511398933,0.003064488752739347,-0.011625287711642507,-0.004168242082825513,0.00950315025847348,,,,,,,,,0.0,0.004873441689569075
2010-01-14,86.48319244384766,40.367454528808594,52.146949768066406,36.54042434692383,30.591245651245117,57.4345588684082,59.209686279296875,112.02999877929688,0.002704744860392072,0.0008629559058284109,0.0037273722789059605,0.007649586293483113,-0.0025847337835519513,0.014002766259553656,0.0036151307609155747,0.004393023666376061,,,,,,,,,0.0,0.004296355780237862
2010-01-15,85.51248168945312,39.89756774902344,51.38840103149414,35.96672058105469,30.238052368164062,57.78992462158203,59.18721008300781,110.86000061035156,-0.011224270600611819,-0.011640238040023454,-0.014546368290879075,-0.0157005228078978,-0.01154556722232325,0.006187315793406256,-0.0003796033673112431,-0.01044361493969348,,,,,,,,,0.0,-0.008661608684416733
2010-01-19,86.58100128173828,40.54150390625,52.33257293701172,36.31977462768555,30.85073471069336,57.62495422363281,59.23775863647461,111.5199966430664,0.012495481024227484,0.01613973466446028,0.01837324934354201,0.00981613116033797,0.020261964463503368,-0.0028546567421479097,0.0008540452134153664,0.005953418988644765,,,,,,,,,0.0,0.010129921014497917
2010-01-20,85.70059967041016,39.95848083496094,51.57400894165039,35.39302444458008,30.10829734802246,58.20868682861328,59.198448181152344,108.94000244140625,-0.0101685311823001,-0.014380894024979218,-0.014495064025885851,-0.025516407868870217,-0.024065467796251738,0.010129858024964244,-0.0006636047046192362,-0.02313481240425197,,,,,,,,,0.0,-0.01278686549777426
2010-01-21,84.05265045166016,39.58430862426758,50.72666931152344,34.6364860534668,29.200069427490234,58.475181579589844,59.355587005615234,107.37000274658203,-0.019229144546102694,-0.009364024929746195,-0.016429586288039255,-0.021375352996404695,-0.030165369699720945,0.00457826426768948,0.002654441616138925,-0.01441159959280014,,,,,,,,,0.0,-0.01296779652112319
2010-01-22,82.17896270751953,38.426963806152344,49.814788818359375,33.96192169189453,28.55133628845215,58.37362289428711,59.26573944091797,107.16999816894531,-0.022291834154810064,-0.02923746449889264,-0.01797635258810326,-0.019475542655538747,-0.02221683549927933,-0.001736782726608599,-0.0015137170606831507,-0.001862760291706178,,,,,,,,,0.0,-0.014538911184452746
2010-01-25,82.60037231445312,38.55750274658203,49.87126541137695,34.37800598144531,28.760374069213867,58.10713195800781,59.26017761230469,107.4800033569336,0.00512794994058785,0.003397066213406852,0.0011337314552011257,0.01225149428602812,0.007321471004012814,-0.004565262922979874,-9.384559554559413e-05,0.002892648999579084,,,,,,,,,0.0,0.003433156672536297
2010-01-26,82.25420379638672,38.59231948852539,49.37903594970703,34.18256759643555,28.162109375,58.126190185546875,59.10304641723633,107.55999755859375,-0.00419088326561734,0.0009029822852426594,-0.00987000144491279,-0.005684983157989154,-0.020801700728026007,0.00032798430927272193,-0.0026515478251913915,0.0007442705541653716,,,,,,,,,0.0,-0.005152984909131991
