Date,SPY,TLT,SHY,ret_SPY,ret_TLT,ret_SHY,p_risk_off,w_regime_SPY,w_regime_TLT,w_regime_SHY,w_bench_SPY,w_bench_TLT,w_bench_SHY,ret_regime,ret_benchmark
2010-01-15,85.51248931884766,57.99626541137695,67.2848129272461,0.0,0.0,0.0,0.002167304365307354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,86.58101654052734,57.830718994140625,67.30093383789062,0.012495569129036932,-0.0028544323683961093,0.00023959211511770384,0.001963752364966286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-20,85.70059967041016,58.41651153564453,67.30093383789062,-0.010168705627348174,0.010129435561111677,0.0,0.0020631931264195654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-21,84.05266571044922,58.68397521972656,67.3573989868164,-0.01922896649846806,0.0045785630988737225,0.0008389950288325565,0.008610013169661592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-22,82.17896270751953,58.582115173339844,67.41383361816406,-0.022292011646416476,-0.0017357386919568674,0.0008378386368319557,0.1831170047959726,0.4535057684021463,0.11337644210053657,0.0,0.46796298912427564,0.31197532608285045,0.0,0.0,0.0
2010-01-25,82.600341796875,58.314605712890625,67.3573989868164,0.0051275785854731915,-0.004566401531554076,-0.000837137250898734,0.07706536001831386,0.47522868658010586,0.11880717164502647,0.0,0.5024024105030795,0.3349349403353864,0.0,0.0018076641075973681,0.0009749123949958493
2010-01-26,82.25421905517578,58.333744049072266,67.365478515625,-0.004190330622969807,0.0003281911272086102,0.00011995013064813875,0.15891103945696228,0.5201327871962124,0.1300331967990531,0.0,0.5499985089896433,0.36666567265976224,0.0,-0.0019523738587076901,-0.001995309530174683
2010-01-27,82.6455078125,58.301910400390625,67.34126281738281,0.0047570661033415895,-0.0005457158493865633,-0.0003594674717046775,0.08091985822250926,0.5364016443640526,0.13410041109101314,0.0,0.5674217048898587,0.37828113659323914,0.0,0.0024033448747680405,0.002416283995006629
2010-01-28,81.69738006591797,58.27008056640625,67.37355041503906,-0.011472223617199795,-0.000545948387724926,0.00047946231337836487,0.19815783231630366,0.5588166967267396,0.1397041741816849,0.0,0.5871122691360657,0.3914081794240439,0.0,-0.006226931516006477,-0.00671611066037904
2010-01-29,80.80944061279297,58.77946472167969,67.43807220458984,-0.010868640492615045,0.008741778805212652,0.0009576723974513701,0.4549501062337573,0.36807758289653136,0.36807758289653136,0.0,0.622678268548914,0.415118845699276,0.0,-0.004852314789132434,-0.0029595084549673685
2010-02-01,82.06609344482422,58.24588394165039,67.40897369384766,0.015550817113716198,-0.009077673343161563,-0.0004314849133574272,0.10310893886129537,0.598394932353727,0.14959873308843175,0.0,0.5995526115094799,0.39970174100632,0.0,0.002382619112807489,0.005914842595041306
2010-02-02,83.05937194824219,58.41206741333008,67.41707611083984,0.012103396929522114,0.002853136744326301,0.00012019789870976183,0.012608924006497123,0.5624220835389021,0.14060552088472553,0.0,0.562126040071508,0.37475069338100536,0.0,0.00766943702917096,0.00839702696126713
2010-02-03,82.6455078125,57.73469543457031,67.36866760253906,-0.004982750603990671,-0.011596439036588246,-0.0007180452059533105,0.08476523388258529,0.5827402632140474,0.14568506580351184,0.0,0.5656083582001077,0.3770722388000718,0.0,-0.004432932327598611,-0.007146707435397194
2010-02-04,80.0946044921875,58.64849853515625,67.46549987792969,-0.030865601625920225,0.015827624857249534,0.0014373488275278845,0.7443200348345933,0.1296584587662257,0.3889753762986771,0.1296584587662257,0.539217131496462,0.359478087664308,0.0,-0.015680780246906983,-0.011489684320684566
2010-02-05,80.26012420654297,58.77629089355469,67.57041931152344,0.0020665526149343805,0.0021789536235412577,0.0015551568399194693,0.7368190696590272,0.13271644022011914,0.39814932066035735,0.13271644022011914,0.5513798219454307,0.36758654796362045,0.0,0.0013171445716697444,0.0018976066548112552
2010-02-08,79.68070983886719,58.85299301147461,67.52198791503906,-0.007219205968143072,0.0013049839782988126,-0.000716754416767662,0.8241203055910025,0.13697209423977172,0.4109162827193151,0.13697209423977172,0.5695654152723532,0.3797102768482355,0.0,-0.0005336539275809163,-0.0035008299455714254
2010-02-09,80.6815185546875,58.26505661010742,67.45744323730469,0.012560238454754957,-0.009989915062647015,-0.0009559060644895867,0.6319744084258373,0.3536534594645948,0.3536534594645948,0.0,0.5748186022349504,0.38321240148996694,0.0,-0.002515549052475541,0.0033606040172742308
2010-02-10,80.52350616455078,57.70915603637695,67.38471984863281,-0.001958470700196502,-0.00954089133475644,-0.0010780632230018572,0.584772967471931,0.3638262333335713,0.3638262333335713,0.0,0.5886327981724684,0.39242186544831226,0.0,-0.004066789165296931,-0.004781953271151889
2010-02-11,81.36627197265625,57.39600372314453,67.40897369384766,0.01046608435533436,-0.005426388717849617,0.0003599309349260338,0.42890245632744295,0.36929447815337546,0.36929447815337546,0.0,0.5907283514622974,0.39381890097486494,0.0,0.001833573480933705,0.004031246936683337
2010-02-12,81.29854583740234,57.632450103759766,67.46549987792969,-0.0008323612918712531,0.004119561733875399,0.0008385557735792748,0.4213779159957117,0.3761440447588387,0.3761440447588387,0.0,0.6037027981884359,0.40246853212562395,0.0,0.001213944971815466,0.0011306618607647852
2010-02-16,82.57780456542969,57.74103927612305,67.47356414794922,0.01573532115304821,0.0018841672038545365,0.00011953176118351116,0.29981155078288046,0.5887322864290793,0.14718307160726982,0.0,0.5708082465483293,0.3805388310322196,0.0,0.006627465617146664,0.010257775419303465
