Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,ret_SPY,ret_QQQ,ret_IWM,ret_EFA,ret_EEM,ret_TLT,ret_LQD,ret_GLD,w_base_SPY,w_base_QQQ,w_base_IWM,w_base_EFA,w_base_EEM,w_base_TLT,w_base_LQD,w_base_GLD,base_ret,sigma_ann,leverage,port_ret,base_eq,port_eq
2010-01-05,85.50495147705078,40.393558502197266,51.45296096801758,35.7964973449707,31.009315490722656,57.352108001708984,59.041297912597656,109.69999694824219,0.0026438232852301624,0.0,-0.0034445874818489486,0.0008809445599742283,0.0072323492526038535,0.006437379078425565,0.004764609832593081,-0.0009112174071557178,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.002249606421096839,,1.0,0.002249606421096839,1.0022496064210968,1.0022496064210968
2010-01-06,85.5651626586914,40.1499137878418,51.4045524597168,35.94781494140625,31.07419204711914,56.58436965942383,58.86732482910156,111.51000213623047,0.0007039357450739914,-0.0060500361010920045,-0.000941273228599826,0.0042182527363539,0.0020899779211744907,-0.013476807042080097,-0.002950983663478013,0.016364952672509148,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,-5.875555657262194e-06,,1.0,-5.875555657262194e-06,1.0022437176477519,1.0022437176477519
2010-01-07,85.92634582519531,40.176021575927734,51.78382873535156,35.80912399291992,30.893978118896484,56.679542541503906,58.94028091430664,110.81999969482422,0.0042122633795829145,0.0006500463116192456,0.00735117615455394,-0.0038655807576968293,-0.005816354938105395,0.0016805512476132378,0.0012385634029508097,-0.006207031449164013,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.00013460288848553032,,1.0,-0.00013460288848553032,1.00210881274839,1.00210881274839
2010-01-08,86.21226501464844,40.50668716430664,52.06624984741211,36.09281921386719,31.139047622680664,56.65414810180664,59.06936264038086,111.37000274658203,0.0033219676979596713,0.008196736200225985,0.005439029265148054,0.007891210736826526,0.007901300181261561,-0.00044813576577507064,0.0021876479525912984,0.004950755381378791,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.004822064965529952,,1.0,0.004822064965529952,1.0069410465459927,1.0069410465459927
2010-01-11,86.33269500732422,40.341365814208984,51.8564453125,36.389122009277344,31.07419204711914,56.34326934814453,59.13113021850586,112.8499984741211,0.0013959261657525701,-0.004089686131723891,-0.004037709369023368,0.008175952270805364,-0.0020849452431561666,-0.005502418463010805,0.0010451324229441283,0.013201473675457542,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0010890362078373231,,1.0,0.0010890362078373231,1.008037641804839,1.008037641804839
2010-01-12,85.52752685546875,39.83665084838867,51.29156494140625,35.96041488647461,30.576824188232422,57.30767822265625,59.243343353271484,110.48999786376953,-0.009370103613143499,-0.012590025386577608,-0.010952921281137229,-0.011851137099846643,-0.01613529443398276,0.016971825475670776,0.001895901455638338,-0.021134489951311508,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.007610172887096181,,1.0,-0.007610172887096181,1.0003663010740034,1.0003663010740034
2010-01-13,86.24993133544922,40.3326530456543,51.953285217285156,36.263031005859375,30.670528411865234,56.64142608642578,58.99638748168945,111.54000091552734,0.008410984147024791,0.012374026017469841,0.01281864104328001,0.008380045747824916,0.003059864394647338,-0.011693987990787136,-0.004177212328454694,0.00945827937853938,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.004550171236602635,,1.0,0.004550171236602635,1.004918139043217,1.004918139043217
2010-01-14,86.48316192626953,40.36747360229492,52.14695739746094,36.54042434692383,30.591238021850586,57.434532165527344,59.20967483520508,112.02999877929688,0.0027004753768222756,0.0008629616891044911,0.0037208828482993006,0.007620371370368861,-0.002588578126482055,0.013905100956531413,0.00360874190046534,0.004383402504944733,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0043975662938990755,,1.0,0.0043975662938990755,1.0093373331796012,1.0093373331796012
2010-01-15,85.51248931884766,39.897560119628906,51.388397216796875,35.96672439575195,30.238046646118164,57.789894104003906,59.18718338012695,110.86000061035156,-0.011287295997629343,-0.011709179696722138,-0.014653424558057626,-0.01582497543216288,-0.011612674611034102,0.006168189795735302,-0.00037993331390140384,-0.010498532177149578,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.008438542794848155,,1.0,-0.008438542794848155,1.0008199968991272,1.0008199968991272
2010-01-19,86.58098602294922,40.54149627685547,52.33256530761719,36.31977462768555,30.850738525390625,57.62492370605469,59.23771667480469,111.5199966430664,0.012417791345825435,0.016010876855196532,0.01820642902453473,0.009768159862399983,0.020059735110354193,-0.0028587405574036495,0.0008534235236234977,0.0059357674133195815,0.12,0.12,0.12,0.12,0.12,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.009699619114402562,,1.0,0.009699619114402562,1.0105275696711262,1.0105275696711262
